circpedia	hg19	hg38	circname	gene_Ensembl	gene_Refseq	transcript_Ensembl	transcript_Refseq
CIRCHSA_EXOC2_5	chr6:592468-619543|-	chr6:592468-619543|-	circEXOC2(5-11)	ENSG00000112685.14	EXOC2	ENST00000230449.9	EXOC2-201
CIRCHSA_PSMD13_9	chr11:238997-244761|+	chr11:238997-244761|+	circPSMD13(2-6)	ENSG00000185627.19	PSMD13	ENST00000532097.6	PSMD13-212
CIRCHSA_PTPRD_104	chr9:8404536-8449837|-	chr9:8404536-8449837|-	circPTPRD(34,35,36)	ENSG00000153707.19	PTPRD	ENST00000381196.9	PTPRD-203
CIRCHSA_PTPRD_48	chr9:8436591-8460571|-	chr9:8436591-8460571|-	circPTPRD(33,34,35)	ENSG00000153707.19	PTPRD	ENST00000381196.9	PTPRD-203
CIRCHSA_CLUL1_2	chr18:617987-619361|+	chr18:617987-619361|+	circCLUL1(3,4)	ENSG00000079101.18	CLUL1	ENST00000692774.1	CLUL1-213
CIRCHSA_KANK1_2	chr9:710803-713464|+	chr9:710803-713464|+	circKANK1(7)	ENSG00000107104.21	KANK1	ENST00000382303.5	KANK1-206
CIRCHSA_KANK1_5	chr9:734747-740934|+	chr9:734747-740934|+	circKANK1(11,12,13)	ENSG00000107104.21	KANK1	ENST00000382303.5	KANK1-206
CIRCHSA_SPATA6L_1	chr9:4600652-4605440|-	chr9:4600652-4605440|-	circSPATA6L(10,11,12)	ENSG00000106686.17	SPATA6L	ENST00000485616.5	SPATA6L-208
CIRCHSA_SPATA6L_4	chr9:4600652-4635399|-	chr9:4600652-4635399|-	circSPATA6L(5-12)	ENSG00000106686.17	SPATA6L	ENST00000485616.5	SPATA6L-208
CIRCHSA_SPATA6L_6	chr9:4622407-4635399|-	chr9:4622407-4635399|-	circSPATA6L(5-9)	ENSG00000106686.17	SPATA6L	ENST00000485616.5	SPATA6L-208
CIRCHSA_KDM4C_33	chr9:7015852-7049200|+	chr9:7015852-7049200|+	circKDM4C(15,16,17)	ENSG00000107077.19	KDM4C	ENST00000536108.5	KDM4C-214
CIRCHSA_SPATA6L_30	chr9:4604178-4618898|-	chr9:4604178-4618898|-	circSPATA6L(8-11)	ENSG00000106686.17	SPATA6L	ENST00000461761.5	SPATA6L-205
CIRCHSA_SPATA6L_33	chr9:4600652-4618898|-	chr9:4600652-4618898|-	circSPATA6L(8-12)	ENSG00000106686.17	SPATA6L	ENST00000461761.5	SPATA6L-205
CIRCHSA_RFX3_2	chr9:3330258-3395596|-	chr9:3330258-3395596|-	circRFX3(3,4,5)	ENSG00000080298.16	RFX3	ENST00000382004.7	RFX3-204
CIRCHSA_GLIS3_23	chr9:4286037-4286523|-	chr9:4286037-4286523|-	circGLIS3(2)	ENSG00000107249.24	GLIS3	ENST00000381971.8	GLIS3-202
CIRCHSA_PTPRD_55	chr9:8465465-8471085|-	chr9:8465465-8471085|-	circPTPRD(31,32)	ENSG00000153707.19	PTPRD	ENST00000381196.9	PTPRD-203
CIRCHSA_PTPRD_57	chr9:8504260-8521546|-	chr9:8504260-8521546|-	circPTPRD(20-23)	ENSG00000153707.19	PTPRD	ENST00000381196.9	PTPRD-203
CIRCHSA_PTPRD_58	chr9:8504260-8525035|-	chr9:8504260-8525035|-	circPTPRD(18-23)	ENSG00000153707.19	PTPRD	ENST00000381196.9	PTPRD-203
CIRCHSA_ERMP1_4	chr9:5797816-5813035|-	chr9:5797816-5813035|-	circERMP1(5-13)	ENSG00000099219.15	ERMP1	ENST00000688202.1	ERMP1-210
CIRCHSA_ERMP1_7	chr9:5825091-5831028|-	chr9:5825091-5831028|-	circERMP1(2,3)	ENSG00000099219.15	ERMP1	ENST00000688202.1	ERMP1-210
CIRCHSA_PHRF1_73	chr11:581964-605300|+	chr11:581964-605300|+	circPHRF1(3-11)	ENSG00000070047.13	PHRF1	ENST00000413872.6	PHRF1-202
CIRCHSA_KDM4C_41	chr9:6887959-6893232|+	chr9:6887959-6893232|+	circKDM4C(7,8)	ENSG00000107077.19	KDM4C	ENST00000536108.5	KDM4C-214
CIRCHSA_SMARCA2_203	chr9:2054596-2056845|+	chr9:2054596-2056845|+	circSMARCA2(6,7)	ENSG00000080503.24	SMARCA2	ENST00000357248.8	SMARCA2-204
CIRCHSA_MIER2_2	chr19:325634-336173|-	chr19:325634-336173|-	circMIER2(2-7)	ENSG00000105556.12	MIER2	ENST00000264819.7	MIER2-201
CIRCHSA_SPATA6L_47	chr9:4629090-4646528|-	chr9:4629090-4646528|-	circSPATA6L(5,6,7)	ENSG00000106686.17	SPATA6L	ENST00000486047.5	SPATA6L-210
CIRCHSA_KDM4C_2	chr9:6849506-6893232|+	chr9:6849506-6893232|+	circKDM4C(5-8)	ENSG00000107077.19	KDM4C	ENST00000536108.5	KDM4C-214
CIRCHSA_KDM4C_5	chr9:6880011-6893232|+	chr9:6880011-6893232|+	circKDM4C(6,7,8)	ENSG00000107077.19	KDM4C	ENST00000536108.5	KDM4C-214
CIRCHSA_GLIS3_1	chr9:4117767-4118881|-	chr9:4117767-4118881|-	circGLIS3(3)	ENSG00000107249.24	GLIS3	ENST00000324333.14	GLIS3-201
CIRCHSA_GLIS3_2	chr9:4117767-4125941|-	chr9:4117767-4125941|-	circGLIS3(2,3)	ENSG00000107249.24	GLIS3	ENST00000324333.14	GLIS3-201
CIRCHSA_GLIS3_3	chr9:3932359-3937189|-	chr9:3932359-3937189|-	circGLIS3(4,5)	ENSG00000107249.24	GLIS3	ENST00000324333.14	GLIS3-201
CIRCHSA_GLIS3_7	chr9:3856008-3932470|-	chr9:3856008-3932470|-	circGLIS3(5-8)	ENSG00000107249.24	GLIS3	ENST00000324333.14	GLIS3-201
CIRCHSA_SLC1A1_4	chr9:4544566-4576763|+	chr9:4544566-4576763|+	circSLC1A1(2-10)	ENSG00000106688.12	SLC1A1	ENST00000262352.8	SLC1A1-201
CIRCHSA_RIC1_5	chr9:5732387-5738538|+	chr9:5732387-5738538|+	circRIC1(7,8)	ENSG00000107036.12	RIC1	ENST00000251879.10	RIC1-201
CIRCHSA_SMARCA2_17	chr9:2096656-2110417|+	chr9:2096656-2110417|+	circSMARCA2(20-24)	ENSG00000080503.24	SMARCA2	ENST00000357248.8	SMARCA2-204
CIRCHSA_ERMP1_74	chr9:5859467-5872216|-	chr9:5859467-5872216|-	circERMP1(4,5,6)	ENSG00000099219.15	ERMP1	ENST00000690753.1	ERMP1-223
CIRCHSA_PTPRD_70	chr9:8436591-8465675|-	chr9:8436591-8465675|-	circPTPRD(32-35)	ENSG00000153707.19	PTPRD	ENST00000381196.9	PTPRD-203
CIRCHSA_PTPRD_257	chr9:8436591-8485327|-	chr9:8436591-8485327|-	circPTPRD(12-18)	ENSG00000153707.19	PTPRD	ENST00000537002.5	PTPRD-213
CIRCHSA_COLEC12_1	chr18:346294-357522|-	chr18:346294-357522|-	circCOLEC12(3,4,5)	ENSG00000158270.12	COLEC12	ENST00000400256.5	COLEC12-201
CIRCHSA_USP14_10	chr18:196636-203190|+	chr18:196636-203190|+	circUSP14(6-11)	ENSG00000101557.15	USP14	ENST00000582707.5	USP14-208
CIRCHSA_YES1_5	chr18:756556-756835|-	chr18:756556-756835|-	circYES1(2)	ENSG00000176105.14	YES1	ENST00000577961.5	YES1-203
CIRCHSA_YES1_8	chr18:751704-756835|-	chr18:751704-756835|-	circYES1(2,3)	ENSG00000176105.14	YES1	ENST00000577961.5	YES1-203
CIRCHSA_UHRF2_1	chr9:6420911-6421142|+	chr9:6420911-6421142|+	circUHRF2(2)	ENSG00000147854.17	UHRF2	ENST00000468435.6	UHRF2-205
CIRCHSA_UHRF2_2	chr9:6420911-6434173|+	chr9:6420911-6434173|+	circUHRF2(2,3)	ENSG00000147854.17	UHRF2	ENST00000468435.6	UHRF2-205
CIRCHSA_UHRF2_9	chr9:6475390-6477808|+	chr9:6475390-6477808|+	circUHRF2(5,6)	ENSG00000147854.17	UHRF2	ENST00000468435.6	UHRF2-205
CIRCHSA_PTPRD_88	chr9:8375935-8492979|-	chr9:8375935-8492979|-	circPTPRD(27-39)	ENSG00000153707.19	PTPRD	ENST00000381196.9	PTPRD-203
CIRCHSA_ENOSF1_18	chr18:693881-697355|-	chr18:693881-697355|-	circENOSF1(3,4,5)	ENSG00000132199.20	ENOSF1	ENST00000647584.2	ENOSF1-222
