circbank	hg19	hg38	aliasID	exonNumber	Exons	circType	splicedLength	Assembly	geneID	geneSymbol	bestTranscriptID	Biotype	Tissue	Age	samples	HighConfidence	source
hsa_PTPRD_0008800	chr9:10340962-10354804|-	chr9:10340962-10354804|-	"hsa_circ_0137585	hsa_circPTPRD_014	hsa-PTPRD_0108"	1.0	10340962-10354804	Intron-Exon-Intron	13842	hg19	ENSG00000153707.11	PTPRD	ENST00000463477.1	protein_coding					
hsa_CBWD1_0001300	chr9:162431-172172|-	chr9:162431-172172|-	"hsa_circ_0005769	hsa_circCBWD1_002	hsa-CBWD1_0008"	3.0	"162431-162469	163977-164037	172080-172172"	Exon-Exon	190	hg19	ENSG00000172785.14	CBWD1	ENST00000431099.2	protein_coding					
hsa_SMARCA2_0006100	chr9:2054596-2056845|+	chr9:2054596-2056845|+	hsa-SMARCA2_0074	2.0	"2054596-2054723	2056671-2056845"	Exon-Exon	301	hg19	ENSG00000080503.15	SMARCA2	ENST00000450198.1	protein_coding					
hsa_SMARCA2_0016300	chr9:2096656-2110417|+	chr9:2096656-2110417|+	hsa-SMARCA2_0045			Exon-Exon	573	hg19	ENSG00000080503.15	SMARCA2	ENST00000382203.1	protein_coding					
hsa_SMARCA2_0022800	chr9:2191265-2192802|+	chr9:2191265-2192802|+	"hsa_circ_0006082	hsa_circSMARCA2_035	hsa-SMARCA2_0089"	2.0	"2191265-2191408	2192703-2192802"	Exon-Exon	242	hg19	ENSG00000080503.15	SMARCA2	ENST00000324954.5	protein_coding					
hsa_DOCK8_0001400	chr9:271626-289581|+	chr9:271626-289581|+	"hsa_circ_0086188	hsa_circDOCK8_002	hsa-DOCK8_0027"	3.0	"271626-271729	286460-286636	289509-289581"	Exon-Exon	351	hg19	ENSG00000107099.11	DOCK8	ENST00000432829.2	protein_coding					
hsa_KIAA0020_0007500	chr9:2804321-2812362|-	chr9:2804321-2812362|-	"hsa_circ_0138579	hsa_circKIAA0020_017	hsa-PUM3_0009"	5.0	"2804321-2804463	2807813-2807904	2810343-2810431	2811360-2811583	2812219-2812362"	Exon-Exon	687	hg19	ENSG00000080608.9	KIAA0020	ENST00000397885.2	protein_coding					
hsa_CARM1P1_0002500	chr9:2943564-2948282|-	chr9:2943564-2948282|-	"hsa_circ_0138598	hsa_circTCONS_l2_00029182_004	hsa-CARM1P1_0004"	2.0	"2943564-2943655	2948104-2948282"	Exon-Exon	269	hg19	ENSG00000227835.4	CARM1P1	ENST00000426329.2	transcribed_unprocessed_pseudogene					
hsa_CARM1P1_0002900	chr9:2943564-2993159|-	chr9:2943564-2993159|-	hsa-CARM1P1_0021	3.0	"2943564-2943655	2948104-2948282	2992462-2993159"	Intron-Exon-Intron	966	hg19	ENSG00000227835.4	CARM1P1	ENST00000426329.2	transcribed_unprocessed_pseudogene					
hsa_CARM1P1_0005500	chr9:3012923-3053412|-	chr9:3012923-3053412|-	"hsa_circ_0138607	hsa_circCARM1P1_001	hsa-CARM1P1_0001"			Exon-Intergenic	338	hg19	ENSG00000227835.4	CARM1P1	ENST00000426329.2	transcribed_unprocessed_pseudogene					
hsa_RFX3_0010100	chr9:3293076-3330517|-	chr9:3293076-3330517|-	hsa-RFX3_0133			Exon-Exon	516	hg19	ENSG00000080298.11	RFX3	ENST00000382004.3	protein_coding					
hsa_RFX3_0012400	chr9:3330258-3395596|-	chr9:3330258-3395596|-	"hsa_circ_0086242	hsa_circRFX3_015	hsa-RFX3_0001"	3.0	"3330258-3330517	3346666-3346764	3395471-3395596"	Exon-Exon	482	hg19	ENSG00000080298.11	RFX3	ENST00000457373.1	protein_coding					
hsa_RFX3_0015800	chr9:3395471-3420870|-	chr9:3395471-3420870|-	"hsa_circ_0138663	hsa_circRFX3_011	hsa-RFX3_0045"	1.0	3395471-3420870	Intron-Exon-Intron	25399	hg19	ENSG00000080298.11	RFX3	ENST00000449190.1	protein_coding					
hsa_RFX3_0019000	chr9:3484973-3490345|-	chr9:3484973-3490345|-	"hsa_circ_0138684	hsa_circRFX3_005	hsa-RFX3_0064"			Intron-Exon-Intron	3989	hg19	ENSG00000080298.11	RFX3	ENST00000449190.1	protein_coding					
hsa_RP11-509J21.1_0003000	chr9:3546777-3633465|+	chr9:3546777-3633465|+	hsa-RFX3-AS1_0011			Intron-Exon-Intron	27066	hg19	ENSG00000232104.2	RP11-509J21.1	ENST00000423112.2	lincRNA					
hsa_GLIS3_0000800	chr9:3856008-3932470|-	chr9:3856008-3932470|-	hsa-GLIS3_0009			Exon-Exon	601	hg19	ENSG00000107249.17	GLIS3	ENST00000381971.3	protein_coding					
hsa_GLIS3_0001300	chr9:3879426-3932470|-	chr9:3879426-3932470|-	"hsa_circ_0138779	hsa_circGLIS3_015	hsa-GLIS3_0012"	3.0	"3879426-3879595	3898690-3898835	3932359-3932470"	Exon-Exon	425	hg19	ENSG00000107249.17	GLIS3	ENST00000467497.2	retained_intron					
hsa_GLIS3_0002200	chr9:3932359-3937189|-	chr9:3932359-3937189|-	"hsa_circ_0138784	hsa_circGLIS3_009	hsa-GLIS3_0002"	2.0	"3932359-3932470	3937027-3937189"	Exon-Exon	273	hg19	ENSG00000107249.17	GLIS3	ENST00000467497.2	retained_intron					
hsa_GLIS3_0004400	chr9:4117767-4118881|-	chr9:4117767-4118881|-	"hsa_circ_0006370	hsa_circGLIS3_008	hsa-GLIS3_0004"	1.0	4117767-4118881	Exon-Exon	1114	hg19	ENSG00000107249.17	GLIS3	ENST00000381971.3	protein_coding					
hsa_GLIS3_0004500	chr9:4117767-4125941|-	chr9:4117767-4125941|-	"hsa_circ_0007368	hsa_circGLIS3_007	hsa-GLIS3_0001"	2.0	"4117767-4118881	4125733-4125941"	Exon-Exon	1322	hg19	ENSG00000107249.17	GLIS3	ENST00000381971.3	protein_coding					
hsa_GLIS3_0007400	chr9:4286037-4286523|-	chr9:4286037-4286523|-	"hsa_circ_0002874	hsa_circGLIS3_003	hsa-GLIS3_0003"	1.0	4286037-4286523	Exon-Exon	486	hg19	ENSG00000107249.17	GLIS3	ENST00000481827.1	protein_coding					
hsa_GLIS3_0007600	chr9:4286037-4292532|-	chr9:4286037-4292532|-	hsa-GLIS3_0074	1.0	4286037-4292532	Exon-Intron	6495	hg19	ENSG00000107249.17	GLIS3	ENST00000465708.1	retained_intron					
hsa_GLIS3_0008100	chr9:4286037-4310528|-	chr9:4286037-4310528|-	hsa-GLIS3_0020			Exon-Intergenic	11594	hg19	ENSG00000107249.17	GLIS3	ENST00000477901.1	protein_coding					
hsa_SLC1A1_0001100	chr9:4544566-4576763|+	chr9:4544566-4576763|+	hsa-SLC1A1_0005	9.0	"4544566-4544707	4561448-4561541	4564343-4564458	4566046-4566089	4567668-4567767	4572203-4572388	4573906-4574014	4576000-4576123	4576568-4576763"	Exon-Exon	1102	hg19	ENSG00000106688.7	SLC1A1	ENST00000262352.3	protein_coding					
hsa_SPATA6L_0004600	chr9:4600652-4605440|-	chr9:4600652-4605440|-	hsa-SPATA6L_0021			Exon-Exon	342	hg19	ENSG00000106686.12	SPATA6L	ENST00000381895.5	protein_coding					
hsa_SPATA6L_0004800	chr9:4600652-4618898|-	chr9:4600652-4618898|-	hsa-SPATA6L_0012			Exon-Exon	565	hg19	ENSG00000106686.12	SPATA6L	ENST00000381895.5	protein_coding					
hsa_SPATA6L_0005100	chr9:4600652-4629168|-	chr9:4600652-4629168|-	hsa-SPATA6L_0001			Exon-Exon	1220	hg19	ENSG00000106686.12	SPATA6L	ENST00000381895.5	protein_coding					
hsa_SPATA6L_0004500	chr9:4600652-4635399|-	chr9:4600652-4635399|-	"hsa_circ_0138801	hsa_circSPATA6L_008	hsa-SPATA6L_0011"	11.0	"4600652-4600809	4604178-4604269	4605346-4605440	4617922-4618110	4618863-4618898	4622407-4622510	4625326-4625566	4626425-4626555	4627752-4627856	4629090-4629168	4635274-4635399"	Exon-Exon	1345	hg19	ENSG00000106686.12	SPATA6L	ENST00000381895.5	protein_coding					
hsa_SPATA6L_0006500	chr9:4604178-4618898|-	chr9:4604178-4618898|-	hsa-SPATA6L_0024			Exon-Exon	408	hg19	ENSG00000106686.12	SPATA6L	ENST00000381895.5	protein_coding					
hsa_SPATA6L_0008700	chr9:4622407-4635399|-	chr9:4622407-4635399|-	"hsa_circ_0138811	hsa_circSPATA6L_004	hsa-SPATA6L_0004"	6.0	"4622407-4622510	4625326-4625566	4626425-4626555	4627752-4627856	4629090-4629168	4635274-4635399"	Exon-Exon	780	hg19	ENSG00000106686.12	SPATA6L	ENST00000381895.5	protein_coding					
hsa_SPATA6L_0009700	chr9:4629090-4646528|-	chr9:4629090-4646528|-	"hsa_circ_0138812	hsa_circSPATA6L_003	hsa-SPATA6L_0003"	3.0	"4629090-4629168	4635274-4635399	4646486-4646528"	Exon-Exon	245	hg19	ENSG00000106686.12	SPATA6L	ENST00000381895.5	protein_coding					
hsa_RP11-6J24.6_0000100	chr9:4676461-4676749|-	chr9:4676461-4676749|-	"hsa_circ_0138815	hsa_circ_chr9_00071	hsa-CDC37L1-AS1_0001"	1.0	4676461-4676749	Intergenic-Exon	288	hg19	ENSG00000273061.1	RP11-6J24.6	ENST00000609131.1	lincRNA					
hsa_AK3_0001700	chr9:4718418-4722625|-	chr9:4718418-4722625|-	hsa-AK3_0001			Exon-Exon	412	hg19	ENSG00000147853.12	AK3	ENST00000381809.3	protein_coding					
hsa_RCL1_0000600	chr9:4799158-4827033|+	chr9:4799158-4827033|+	"hsa_circ_0138819	hsa_circRCL1_001	hsa-RCL1_0016"	2.0	"4799158-4823619	4826857-4827033"	Intron-Exon	24637	hg19	ENSG00000120158.7	RCL1	ENST00000381732.3	protein_coding					
hsa_RCL1_0002500	chr9:4823547-4833228|+	chr9:4823547-4833228|+	"hsa_circ_0006134	hsa_circRCL1_006	hsa-RCL1_0007"	3.0	"4823547-4823619	4826857-4827033	4833153-4833228"	Exon-Exon	323	hg19	ENSG00000120158.7	RCL1	ENST00000381750.4	protein_coding					
hsa_RCL1_0007300	chr9:4860124-4860901|+	chr9:4860124-4860901|+	"hsa_circ_0007592	hsa_circRCL1_017	hsa-RCL1_0006"	1.0	4860124-4860901	Exon-Exon	777	hg19	ENSG00000120158.7	RCL1	ENST00000381750.4	protein_coding					
hsa_RCL1_0008300	chr9:4860124-4928312|+	chr9:4860124-4928312|+	hsa-RCL1_0017			Exon-Intergenic	68188	hg19	ENSG00000120158.7	RCL1	ENST00000381750.4	protein_coding					
hsa_JAK2_0002200	chr9:5021962-5055788|+	chr9:5021962-5055788|+	"hsa_circ_0008571	hsa_circJAK2_004	hsa-JAK2_0015"	6.0	"5021962-5022213	5029782-5029906	5044402-5044520	5050685-5050831	5054562-5054884	5055668-5055788"	Exon-Exon	1081	hg19	ENSG00000096968.8	JAK2	ENST00000381652.3	protein_coding					
hsa_chr9_0474800	chr9:5524535-5577511|-	chr9:5524535-5577511|-	hsa-PDCD1LG2_0012	1.0	5524535-5577511	Intergenic-Intergenic	52976	hg19									
hsa_KIAA1432_0006200	chr9:5732387-5738538|+	chr9:5732387-5738538|+	"hsa_circ_0003084	hsa_circKIAA1432_016	hsa-RIC1_0010"	2.0	"5732387-5732479	5738449-5738538"	Exon-Exon	181	hg19	ENSG00000107036.7	KIAA1432	ENST00000414202.2	protein_coding					
hsa_ERMP1_0005000	chr9:5797816-5813035|-	chr9:5797816-5813035|-	hsa-ERMP1_0010			Exon-Exon	1512	hg19	ENSG00000099219.9	ERMP1	ENST00000339450.5	protein_coding					
hsa_ERMP1_0007800	chr9:5825091-5831028|-	chr9:5825091-5831028|-	"hsa_circ_0086293	hsa_circERMP1_001	hsa-ERMP1_0008"	2.0	"5825091-5825219	5830726-5831028"	Exon-Exon	430	hg19	ENSG00000099219.9	ERMP1	ENST00000475005.1	retained_intron					
hsa_chr9_0478800	chr9:5859467-5872216|-	chr9:5859467-5872216|-	"hsa_circ_0138860	hsa_circ_chr9_00068	hsa-intergenic_000057"	1.0	5859467-5872216	Intergenic-Intergenic	12749	hg19									
hsa_UHRF2_0000300	chr9:6420911-6421142|+	chr9:6420911-6421142|+	"hsa_circ_0086296	hsa_circUHRF2_002	hsa-UHRF2_0006"	1.0	6420911-6421142	Exon-Exon	231	hg19	ENSG00000147854.12	UHRF2	ENST00000381373.3	protein_coding					
hsa_UHRF2_0000400	chr9:6420911-6434173|+	chr9:6420911-6434173|+	"hsa_circ_0002359	hsa_circUHRF2_003	hsa-UHRF2_0004"	2.0	"6420911-6421142	6433913-6434173"	Exon-Exon	491	hg19	ENSG00000147854.12	UHRF2	ENST00000276893.5	protein_coding					
hsa_UHRF2_0000600	chr9:6420911-6475500|+	chr9:6420911-6475500|+	"hsa_circ_0086297	hsa_circUHRF2_005	hsa-UHRF2_0042"	4.0	"6420911-6421142	6433913-6434173	6460572-6460791	6475390-6475500"	Exon-Exon	820	hg19	ENSG00000147854.12	UHRF2	ENST00000276893.5	protein_coding					
hsa_UHRF2_0006900	chr9:6475390-6477808|+	chr9:6475390-6477808|+	"hsa_circ_0086306	hsa_circUHRF2_016	hsa-UHRF2_0031"	2.0	"6475390-6475500	6477621-6477808"	Exon-Exon	297	hg19	ENSG00000147854.12	UHRF2	ENST00000484159.1	retained_intron					
hsa_KDM4C_0006500	chr9:6849506-6893232|+	chr9:6849506-6893232|+	"hsa_circ_0003124	hsa_circKDM4C_012	hsa-KDM4C_0001"	4.0	"6849506-6849700	6880011-6880061	6887959-6888063	6893094-6893232"	Exon-Exon	486	hg19	ENSG00000107077.13	KDM4C	ENST00000381309.3	protein_coding					
hsa_KDM4C_0009000	chr9:6880011-6893232|+	chr9:6880011-6893232|+	"hsa_circ_0001839	hsa_circKDM4C_016	hsa-KDM4C_0003"	3.0	"6880011-6880061	6887959-6888063	6893094-6893232"	Exon-Exon	292	hg19	ENSG00000107077.13	KDM4C	ENST00000381309.3	protein_coding					
hsa_KDM4C_0010500	chr9:6887959-6893232|+	chr9:6887959-6893232|+	"hsa_circ_0086335	hsa_circKDM4C_019	hsa-KDM4C_0013"	2.0	"6887959-6888063	6893094-6893232"	Exon-Exon	242	hg19	ENSG00000107077.13	KDM4C	ENST00000381309.3	protein_coding					
hsa_KDM4C_0020200	chr9:7011697-7015929|+	chr9:7011697-7015929|+	"hsa_circ_0138893	hsa_circKDM4C_033	hsa-KDM4C_0016"	3.0	"7011697-7011879	7013787-7014001	7015852-7015929"	Exon-Exon	473	hg19	ENSG00000107077.13	KDM4C	ENST00000381309.3	protein_coding					
hsa_KDM4C_0022000	chr9:7015852-7049200|+	chr9:7015852-7049200|+	"hsa_circ_0086342	hsa_circKDM4C_037	hsa-KDM4C_0011"	3.0	"7015852-7015929	7046861-7046917	7049091-7049200"	Exon-Exon	242	hg19	ENSG00000107077.13	KDM4C	ENST00000420847.1	protein_coding					
hsa_KANK1_0011400	chr9:710803-713464|+	chr9:710803-713464|+	"hsa_circ_0005062	hsa_circKANK1_004	hsa-KANK1_0002"	1.0	710803-713464	Exon-Exon	2661	hg19	ENSG00000107104.14	KANK1	ENST00000354485.5	retained_intron					
hsa_KDM4C_0026600	chr9:7128065-7169890|+	chr9:7128065-7169890|+	"hsa_circ_0138897	hsa_circKDM4C_045	hsa-KDM4C_0028"	3.0	"7128065-7128236	7165237-7165357	7169797-7169890"	Exon-Exon	384	hg19	ENSG00000107077.13	KDM4C	ENST00000381309.3	protein_coding					
hsa_KANK1_0015600	chr9:734747-740934|+	chr9:734747-740934|+	"hsa_circ_0007075	hsa_circKANK1_007	hsa-KANK1_0003"			Exon-Exon	520	hg19	ENSG00000107104.14	KANK1	ENST00000382289.2	protein_coding					
hsa_PTPRD_0018500	chr9:8375935-8376726|-	chr9:8375935-8376726|-	"hsa_circ_0139049	hsa_circPTPRD_101	hsa-PTPRD_0049"	2.0	"8375935-8376090	8376606-8376726"	Exon-Exon	275	hg19	ENSG00000153707.11	PTPRD	ENST00000381196.4	protein_coding					
hsa_PTPRD_0020100	chr9:8375935-8492979|-	chr9:8375935-8492979|-	hsa-PTPRD_0092			Exon-Exon	2312	hg19	ENSG00000153707.11	PTPRD	ENST00000381196.4	protein_coding					
hsa_PTPRD_0022900	chr9:8404536-8449837|-	chr9:8404536-8449837|-	"hsa_circ_0139058	hsa_circPTPRD_094	hsa-PTPRD_0067"			Exon-Exon	335	hg19	ENSG00000153707.11	PTPRD	ENST00000381196.4	protein_coding					
hsa_PTPRD_0024900	chr9:8436591-8460571|-	chr9:8436591-8460571|-	"hsa_circ_0139069	hsa_circPTPRD_090	hsa-PTPRD_0031"			Exon-Exon	372	hg19	ENSG00000153707.11	PTPRD	ENST00000381196.4	protein_coding					
hsa_PTPRD_0025100	chr9:8436591-8465675|-	chr9:8436591-8465675|-	"hsa_circ_0139070	hsa_circPTPRD_087	hsa-PTPRD_0001"			Exon-Exon	582	hg19	ENSG00000153707.11	PTPRD	ENST00000381196.4	protein_coding					
hsa_PTPRD_0023800	chr9:8436591-8485327|-	chr9:8436591-8485327|-	"hsa_circ_0139073	hsa_circPTPRD_081	hsa-PTPRD_0007"	7.0	"8436591-8436689	8449724-8449837	8460410-8460571	8465465-8465675	8470994-8471085	8484118-8484378	8485226-8485327"	Intron-Exon-Intron	1034	hg19	ENSG00000153707.11	PTPRD	ENST00000381196.4	protein_coding					
hsa_PTPRD_0024000	chr9:8436591-8492979|-	chr9:8436591-8492979|-	"hsa_circ_0139075	hsa_circPTPRD_074	hsa-PTPRD_0107"	9.0	"8436591-8436689	8449724-8449837	8460410-8460571	8465465-8465675	8470994-8471085	8484118-8484378	8485226-8485324	8485761-8486349	8492861-8492979"	Exon-Exon	1737	hg19	ENSG00000153707.11	PTPRD	ENST00000381196.4	protein_coding					
hsa_PTPRD_0026500	chr9:8449724-8460571|-	chr9:8449724-8460571|-	hsa-PTPRD_0011			Exon-Exon	274	hg19	ENSG00000153707.11	PTPRD	ENST00000381196.4	protein_coding					
hsa_PTPRD_0027500	chr9:8460410-8492979|-	chr9:8460410-8492979|-	"hsa_circ_0139080	hsa_circPTPRD_072	hsa-PTPRD_0069"	7.0	"8460410-8460571	8465465-8465675	8470994-8471085	8484118-8484378	8485226-8485324	8485761-8486349	8492861-8492979"	Exon-Exon	1526	hg19	ENSG00000153707.11	PTPRD	ENST00000381196.4	protein_coding					
hsa_PTPRD_0028500	chr9:8465465-8471085|-	chr9:8465465-8471085|-	"hsa_circ_0139082	hsa_circPTPRD_085	hsa-PTPRD_0072"	2.0	"8465465-8465675	8470994-8471085"	Exon-Exon	301	hg19	ENSG00000153707.11	PTPRD	ENST00000381196.4	protein_coding					
hsa_PTPRD_0032600	chr9:8504260-8521546|-	chr9:8504260-8521546|-	"hsa_circ_0139094	hsa_circPTPRD_055	hsa-PTPRD_0050"	4.0	"8504260-8504405	8507300-8507434	8517847-8518429	8521276-8521546"	Exon-Exon	1131	hg19	ENSG00000153707.11	PTPRD	ENST00000381196.4	protein_coding					
hsa_PTPRD_0032700	chr9:8504260-8525035|-	chr9:8504260-8525035|-	"hsa_circ_0139095	hsa_circPTPRD_050	hsa-PTPRD_0036"	6.0	"8504260-8504405	8507300-8507434	8517847-8518429	8521276-8521546	8523512-8523524	8524924-8525035"	Exon-Exon	1254	hg19	ENSG00000153707.11	PTPRD	ENST00000381196.4	protein_coding					
hsa_PTPRD_0035500	chr9:8633316-8636844|-	chr9:8633316-8636844|-	"hsa_circ_0139121	hsa_circPTPRD_043	hsa-PTPRD_0015"	2.0	"8633316-8633458	8636698-8636844"	Exon-Exon	288	hg19	ENSG00000153707.11	PTPRD	ENST00000381196.4	protein_coding					
hsa_PTPRD_0035800	chr9:8633316-8733946|-	chr9:8633316-8733946|-	hsa-PTPRD_0030	3.0	"8633316-8633458	8636698-8636844	8733779-8733946"	Exon-Exon	455	hg19	ENSG00000153707.11	PTPRD	ENST00000381196.4	protein_coding					
