hg19	hg38	circBase	circAtlas	circBank	ArrayStar	HGNC	strand	spliced_length	circBase_type	CSCD_type	algorithm
chr10:103432671-103436193	chr10:101672914-101676436	hsa_circ_0000255	hsa-FBXW4_000015,hsa-FBXW4_0003	hsa_circFBXW4_007	ASCRP3007962	FBXW4	-	415	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:103552595-103570071	chr10:101792838-101810314	hsa_circ_0019607	hsa-MGEA5_000065,hsa-MGEA5_0001	hsa_circMGEA5_021	ASCRP3011205	MGEA5,OGA	-	1826	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:103557736-103567658	chr10:101797979-101807901	hsa_circ_0019608	hsa-MGEA5_000015,hsa-MGEA5_0026	hsa_circMGEA5_028	ASCRP3010133	MGEA5,OGA	-	1504	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:103558598-103567658	chr10:101798841-101807901	hsa_circ_0019612	hsa-MGEA5_000030,hsa-MGEA5_0046	hsa_circMGEA5_027	ASCRP3010316	MGEA5,OGA	-	1329	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:103649168-103699695	chr10:101889411-101939938	hsa_circ_0019627	hsa-C10orf76_000082,hsa-C10orf76_0064	hsa_circC10orf76_060	ASCRP3006795	ARMH3,C10orf76	-	155	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:103699619-103717489	chr10:101939862-101957732	hsa_circ_0004117	hsa-C10orf76_0001,hsa-C10orf76_000114	hsa_circC10orf76_058	ASCRP3002121	ARMH3,C10orf76	-	286	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:103716353-103717489	chr10:101956596-101957732	hsa_circ_0019632	hsa-C10orf76_000052,hsa-C10orf76_0041	hsa_circC10orf76_057	ASCRP3001282	ARMH3,C10orf76	-	210	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:103783233-103799882	chr10:102023476-102040125	hsa_circ_0019658	hsa-C10orf76_000115,hsa-C10orf76_0006	hsa_circC10orf76_004	ASCRP3002635	ARMH3,C10orf76	-	680	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:103868785-103871293	chr10:102109028-102111536	hsa_circ_0019664	hsa-LDB1_0002	hsa_circLDB1_004	ASCRP3005950	LDB1	-	980	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:103902801-103904847	chr10:102143044-102145090	hsa_circ_0019682	hsa-PPRC1_000001,hsa-PPRC1_0001	hsa_circPPRC1_009	ASCRP3003579	PPRC1	+	183	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:103916775-103917971	chr10:102157018-102158214	hsa_circ_0000257	hsa-NOLC1_000003,hsa-NOLC1_0001	hsa_circNOLC1_003	ASCRP3006206	NOLC1	+	487	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:104119940-104120152	chr10:102360183-102360395	hsa_circ_0003839	hsa-GBF1_000011,hsa-GBF1_0009	hsa_circGBF1_014	ASCRP3002747	GBF1	+	212	exonic	Exon	circexplorer2,circrna_finder,ciri,find_circ
chr10:104247906-104250370	chr10:102488149-102490613	hsa_circ_0019753	hsa-ACTR1A_000002,hsa-ACTR1A_0001	hsa_circACTR1A_004	ASCRP3002703	ACTR1A	-	267	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:104352338-104359301	chr10:102592581-102599544	hsa_circ_0003779	hsa-SUFU_000015,hsa-SUFU_0001	hsa_circSUFU_004	ASCRP3004964	SUFU	+	568	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:104445572-104465246	chr10:102685815-102705489	hsa_circ_0092493	hsa-ARL3_000007,hsa-ARL3_0001	hsa_circARL3_002	ASCRP3006111	ARL3	-	498	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:104632204-104634418	chr10:102872447-102874661	hsa_circ_0019773	hsa-AS3MT_0002,hsa-C10orf32-ASMT_000001	hsa_circC10orf32-AS3MT_002	ASCRP3008452	BORCS7-ASMT,C10orf32-AS3MT	+	358	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:104638135-104638748	chr10:102878378-102878991	hsa_circ_0092499	hsa-AS3MT_0008,hsa-C10orf32-ASMT_000012	hsa_circC10orf32-AS3MT_007	ASCRP3009014	AS3MT,BORCS7-ASMT	+	275	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:104809463-104816721	chr10:103049706-103056964	hsa_circ_0092503	hsa-CNNM2_000016,hsa-CNNM2_0001	hsa_circCNNM2_002	ASCRP3005931	CNNM2	+	452	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:105106994-105108756	chr10:103347237-103348999	hsa_circ_0005052	hsa-PCGF6_0001	hsa_circPCGF6_006	ASCRP3010542	PCGF6	-	313	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:105108472-105108756	chr10:103348715-103348999	hsa_circ_0019803	hsa-PCGF6_000003,hsa-PCGF6_0007	hsa_circPCGF6_004	ASCRP3004599	PCGF6	-	197	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:105382226-105420872	chr10:103622469-103661114	hsa_circ_0005620	hsa-SH3PXD2A_000019,hsa-SH3PXD2A_0001	hsa_circSH3PXD2A_009	ASCRP3003856	SH3PXD2A	-	4865	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:105767934-105778666	chr10:104008176-104018908	hsa_circ_0000259	hsa-SLK_000001,hsa-SLK_0007	hsa_circSLK_006	ASCRP3001800	SLK	+	528	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:1118055-1126416	chr10:1072115-1080476	hsa_circ_0017438	hsa-WDR37_000036,hsa-WDR37_0003	hsa_circWDR37_007	ASCRP3000690	WDR37	+	436	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:1118055-1132297	chr10:1072115-1086357	hsa_circ_0017439	hsa-WDR37_000034,hsa-WDR37_0009	hsa_circWDR37_008	ASCRP3010251	WDR37	+	644	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:1118055-1142186	chr10:1072115-1096246	hsa_circ_0000205	hsa-WDR37_000033,hsa-WDR37_0002	hsa_circWDR37_009	ASCRP3006857	WDR37	+	766	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:1118055-1151207	chr10:1072115-1105267	hsa_circ_0017441	hsa-WDR37_000035,hsa-WDR37_0004	hsa_circWDR37_011	ASCRP3013383	WDR37	+	1143	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:111883774-111890244	chr10:110124016-110130486	hsa_circ_0003357	hsa-ADD3_000038,hsa-ADD3_0005	hsa_circADD3_014	ASCRP3001897	ADD3	+	589	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:112356155-112358048	chr10:110596397-110598290	hsa_circ_0000260	hsa-SMC3_000043,hsa-SMC3_0001	hsa_circSMC3_016	ASCRP3008657	SMC3	+	305	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:1123846-1142186	chr10:1077906-1096246	hsa_circ_0017443	hsa-WDR37_000008,hsa-WDR37_0011	hsa_circWDR37_013	ASCRP3006482	WDR37	+	588	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:1125950-1126416	chr10:1080010-1080476	hsa_circ_0004277	hsa-WDR37_000011,hsa-WDR37_0021	hsa_circWDR37_016	ASCRP3005021	WDR37	+	161	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:1125950-1132297	chr10:1080010-1086357	hsa_circ_0017446	hsa-WDR37_000018,hsa-WDR37_0024	hsa_circWDR37_017	ASCRP3010252	WDR37	+	369	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:112723882-112745523	chr10:110964124-110985765	hsa_circ_0020028	hsa-SHOC2_000023,hsa-SHOC2_0002	hsa_circSHOC2_007	ASCRP3001415	SHOC2	+	1075	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:1130342-1132297	chr10:1084402-1086357	hsa_circ_0017454	hsa-WDR37_000031,hsa-WDR37_0035	hsa_circWDR37_025	ASCRP3005969	WDR37	+	208	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:1130342-1142186	chr10:1084402-1096246	hsa_circ_0000206	hsa-WDR37_000002,hsa-WDR37_0008	hsa_circWDR37_026	ASCRP3003921	WDR37	+	330	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:1130342-1151207	chr10:1084402-1105267	hsa_circ_0007796	hsa-WDR37_000003,hsa-WDR37_0006	hsa_circWDR37_029	ASCRP3010138	WDR37	+	707	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:1139391-1142186	chr10:1093451-1096246	hsa_circ_0017461	hsa-WDR37_0045	hsa_circWDR37_034	ASCRP3002098	WDR37	+	122	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:114286845-114298089	chr10:112527086-112538330	hsa_circ_0002533	hsa-VTI1A_000017,hsa-VTI1A_0001	hsa_circVTI1A_003	ASCRP3000702	VTI1A	+	163	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:114799783-114849299	chr10:113040024-113089540	hsa_circ_0020050	hsa-TCF7L2_0008	hsa_circTCF7L2_004	ASCRP3008229	TCF7L2	+	243	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:11523768-11527910	chr10:11481769-11485911	hsa_circ_0017683	hsa-USP6NL_000005,hsa-USP6NL_0007	hsa_circUSP6NL_024	ASCRP3008848	USP6NL	-	414	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:115636279-115644139	chr10:113876520-113884380	hsa_circ_0092728	hsa-NHLRC2_000018,hsa-NHLRC2_0002	hsa_circNHLRC2_002	ASCRP3001710	NHLRC2	+	708	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:116590610-116608496	chr10:114830851-114848737	hsa_circ_0020080	hsa-FAM160B1_000001,hsa-FAM160B1_0003	hsa_circFAM160B1_004	ASCRP3001454	FAM160B1,FHIP2A	+	1758	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:116730126-116734144	chr10:114970367-114974385	hsa_circ_0020092	hsa-TRUB1_000007,hsa-TRUB1_0001	hsa_circTRUB1_006	ASCRP3011201	TRUB1	+	270	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:116879948-116925405	chr10:115120184-115165645	hsa_circ_0020094	hsa-ATRNL1_000147,hsa-ATRNL1_0002	hsa_circATRNL1_006	ASCRP3003671	ATRNL1	+	799	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:1170157-1170964	chr10:1124217-1125024	hsa_circ_0017469	hsa-WDR37_000017,hsa-WDR37_0010	hsa_circWDR37_047	ASCRP3008218	WDR37	+	250	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:11789347-11797607	chr10:11747348-11755608	hsa_circ_0017695	hsa-ECHDC3_000001,hsa-ECHDC3_0001	hsa_circECHDC3_003	ASCRP3002457	ECHDC3	+	421	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:118464661-118466796	chr10:116705150-116707285	hsa_circ_0020117	hsa-HSPA12A_0031	hsa_circHSPA12A_002	ASCRP3003664	HSPA12A	-	214	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:118674885-118681027	chr10:116915374-116921516	hsa_circ_0092810	hsa-AC023283_0011	hsa_circKIAA1598_014	ASCRP3002903	KIAA1598,SHTN1	-	193	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:12021055-12056183	chr10:11979056-12014184	hsa_circ_0017713	hsa-UPF2_000003,hsa-UPF2_0003	hsa_circUPF2_009	ASCRP3008597	UPF2	-	808	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:12039670-12046726	chr10:11997671-12004727	hsa_circ_0007448	hsa-UPF2_000005,hsa-UPF2_0004	hsa_circUPF2_014	ASCRP3001470	UPF2	-	538	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:12039670-12056183	chr10:11997671-12014184	hsa_circ_0000213	hsa-UPF2_000076,hsa-UPF2_0018	hsa_circUPF2_008	ASCRP3007674	UPF2	-	699	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:120828957-120830597	chr10:119069445-119071085	hsa_circ_0020151	hsa-EIF3A_0013	hsa_circEIF3A_014	ASCRP3001701	EIF3A	-	409	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:120867459-120892121	chr10:119107947-119132609	hsa_circ_0003722	hsa-FAM45A_0006	hsa_circFAM45B_003	ASCRP3001738	DENND10,FAM45B	+	862	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:120931893-120934104	chr10:119172381-119174592	hsa_circ_0020174	hsa-PRDX3_0003	hsa_circPRDX3_005	ASCRP3003338	PRDX3	-	382	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:120933248-120934104	chr10:119173736-119174592	hsa_circ_0020175	hsa-PRDX3_000001,hsa-PRDX3_0002	hsa_circPRDX3_004	ASCRP3004470	PRDX3	-	278	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:12123470-12133683	chr10:12081471-12091684	hsa_circ_0003074	hsa-DHTKD1_000001,hsa-DHTKD1_0017	hsa_circDHTKD1_008	ASCRP3001273	DHTKD1	+	1005	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:12123470-12136270	chr10:12081471-12094271	hsa_circ_0004630	hsa-DHTKD1_000002,hsa-DHTKD1_0004	hsa_circDHTKD1_009	ASCRP3008270	DHTKD1	+	1204	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:12123470-12139995	chr10:12081471-12097996	hsa_circ_0017726	hsa-DHTKD1_000015,hsa-DHTKD1_0026	hsa_circDHTKD1_010	ASCRP3007542	DHTKD1	+	1517	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:12123470-12143180	chr10:12081471-12101181	hsa_circ_0017728	hsa-DHTKD1_000005,hsa-DHTKD1_0018	hsa_circDHTKD1_012	ASCRP3005335	DHTKD1	+	1742	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:121275020-121286936	chr10:119515508-119527424	hsa_circ_0005516	hsa-RGS10_000001,hsa-RGS10_0001	hsa_circRGS10_002	ASCRP3008550	RGS10	-	350	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:12136071-12162266	chr10:12094072-12120267	hsa_circ_0008826	hsa-DHTKD1_000050,hsa-DHTKD1_0020	hsa_circDHTKD1_044	ASCRP3013430	DHTKD1	+	1499	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:12159671-12160917	chr10:12117672-12118918	hsa_circ_0092911	hsa-DHTKD1_0035	hsa_circDHTKD1_061	ASCRP3001119	DHTKD1	+	253	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:121662310-121663789	chr10:119902798-119904277	hsa_circ_0020197	hsa-SEC23IP_0001	hsa_circSEC23IP_005	ASCRP3003236	SEC23IP	+	405	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:12214763-12215812	chr10:12172764-12173813	hsa_circ_0092944	hsa-NUDT5_0001	hsa_circNUDT5_009	ASCRP3003170	NUDT5	-	198	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:122273422-122280607	chr10:120513910-120521095	hsa_circ_0008896	hsa-PLPP4_0001,hsa-PPAPDC1A_000011	hsa_circPPAPDC1A_006	ASCRP3004840	PLPP4,PPAPDC1A	+	280	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:12251965-12252321	chr10:12209966-12210322	hsa_circ_0017777	hsa-CDC123_0008	hsa_circCDC123_007	ASCRP3003974	CDC123	+	91	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:12257738-12259466	chr10:12215739-12217467	hsa_circ_0092950	hsa-CDC123_0007	hsa_circCDC123_009	ASCRP3007255	CDC123	+	203	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:123274636-123279683	chr10:121515122-121520169	hsa_circ_0020235	hsa-FGFR2_0009	hsa_circFGFR2_011	ASCRP3006489	FGFR2	-	533	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:123600596-123683844	chr10:121841081-121924329	hsa_circ_0020246	hsa-ATE1_0018	hsa_circATE1_007	ASCRP3008749	ATE1	-	1051	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:123629520-123683844	chr10:121870005-121924329	hsa_circ_0020249	hsa-ATE1_000001,hsa-ATE1_0007	hsa_circATE1_006	ASCRP3012927	ATE1	-	869	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:123658355-123662135	chr10:121898840-121902620	hsa_circ_0020250	hsa-ATE1_0016	hsa_circATE1_025	ASCRP3007550	ATE1	-	359	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:123658355-123673408	chr10:121898840-121913893	hsa_circ_0020252	hsa-ATE1_000002,hsa-ATE1_0013	hsa_circATE1_015	ASCRP3009360	ATE1	-	709	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:123658355-123683844	chr10:121898840-121924329	hsa_circ_0008742	hsa-ATE1_0008	hsa_circATE1_005	ASCRP3007551	ATE1	-	836	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:123661905-123683844	chr10:121902390-121924329	hsa_circ_0002850	hsa-ATE1_000041,hsa-ATE1_0003	hsa_circATE1_004	ASCRP3000971	ATE1	-	707	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:123681863-123683844	chr10:121922348-121924329	hsa_circ_0020255	hsa-ATE1_0033	hsa_circATE1_001	ASCRP3009864	ATE1	-	127	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:123718838-123721032	chr10:121959323-121961517	hsa_circ_0020256	hsa-NSMCE4A_000002,hsa-NSMCE4A_0001	hsa_circNSMCE4A_005	ASCRP3009181	NSMCE4A	-	326	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:125771848-125806240	chr10:124012332-124046724	hsa_circ_0020303	hsa-CHST15_0005	hsa_circCHST15_007	ASCRP3004734	CHST15	-	2007	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:126097110-126100769	chr10:124408541-124412200	hsa_circ_0008898	hsa-OAT_000011,hsa-OAT_0002	hsa_circOAT_001	ASCRP3001364	OAT	-	549	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:126176990-126186697	chr10:124488421-124498128	hsa_circ_0003766	hsa-LHPP_000001,hsa-LHPP_0007	hsa_circLHPP_005	ASCRP3008484	LHPP	+	311	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:126185529-126186697	chr10:124496960-124498128	hsa_circ_0020313	hsa-LHPP_0005	hsa_circLHPP_008	ASCRP3008485	LHPP	+	157	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:126370175-126370948	chr10:124681606-124682379	hsa_circ_0000267	hsa-FAM53B_0001,hsa-RP11-12J10_000020	hsa_circFAM53B_016	ASCRP3007657	AC068896.1,FAM53B	-	773	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:126370175-126384781	chr10:124681606-124696212	hsa_circ_0003570	hsa-FAM53B_0002,hsa-RP11-12J10_000021	hsa_circFAM53B_015	ASCRP3008691	AC068896.1,FAM53B	-	828	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:126370175-126395456	chr10:124681606-124706887	hsa_circ_0002282	hsa-FAM53B_0003,hsa-RP11-12J10_000003	hsa_circFAM53B_011	ASCRP3013085	AC068896.1,FAM53B	-	1080	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:126384726-126395456	chr10:124696157-124706887	hsa_circ_0008456	hsa-FAM53B_0004,hsa-RP11-12J10_000022	hsa_circFAM53B_010	ASCRP3011140	AC068896.1,FAM53B	-	307	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:126395204-126395456	chr10:124706635-124706887	hsa_circ_0005734	hsa-FAM53B_0005,hsa-RP11-12J10_000008	hsa_circFAM53B_009	ASCRP3001522	AC068896.1,FAM53B	-	252	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:126463243-126478907	chr10:124774674-124790338	hsa_circ_0008969	hsa-METTL10_000002,hsa-METTL10_0007	hsa_circMETTL10_002	ASCRP3010616	AC068896.1	-	289	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:126727565-126799662	chr10:125038996-125111093	hsa_circ_0005418	hsa-CTBP2_000017,hsa-CTBP2_0002	hsa_circCTBP2_010	ASCRP3010224	CTBP2	-	263	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:127483448-127486714	chr10:125794879-125798145	hsa_circ_0093055	hsa-UROS_000010,hsa-UROS_0007	hsa_circUROS_011	ASCRP3003890	UROS	-	266	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:127500782-127505094	chr10:125812213-125816525	hsa_circ_0008369	hsa-UROS_000001,hsa-UROS_0001	hsa_circUROS_004	ASCRP3006648	UROS	-	345	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:128768965-128788867	chr10:126970701-126990603	hsa_circ_0007142	hsa-DOCK1_000115,hsa-DOCK1_0009	hsa_circDOCK1_006	ASCRP3002332	DOCK1	+	427	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:128768965-128798571	chr10:126970701-127000307	hsa_circ_0002669	hsa-DOCK1_000001,hsa-DOCK1_0022	hsa_circDOCK1_009	ASCRP3013229	DOCK1	+	939	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:128768965-128836080	chr10:126970701-127037816	hsa_circ_0020390	hsa-DOCK1_000055,hsa-DOCK1_0066	hsa_circDOCK1_017	ASCRP3000251	DOCK1	+	1901	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:128768965-128860040	chr10:126970701-127061776	hsa_circ_0020394	hsa-DOCK1_000004,hsa-DOCK1_0010	hsa_circDOCK1_021	ASCRP3010029	DOCK1	+	2336	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:128850944-128860040	chr10:127052680-127061776	hsa_circ_0020460	hsa-DOCK1_000030,hsa-DOCK1_0040	hsa_circDOCK1_097	ASCRP3004787	DOCK1	+	244	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:128904494-128926028	chr10:127106230-127127764	hsa_circ_0020467	hsa-DOCK1_000117,hsa-DOCK1_0003	hsa_circDOCK1_107	ASCRP3003337	DOCK1	+	402	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:128923737-128926028	chr10:127125473-127127764	hsa_circ_0002456	hsa-DOCK1_000037,hsa-DOCK1_0013	hsa_circDOCK1_115	ASCRP3003251	DOCK1	+	224	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:128973475-128975403	chr10:127175211-127177139	hsa_circ_0093074	hsa-FAM196A_0003	hsa_circFAM196A_002	ASCRP3000023	FAM196A,INSYN2A	-	1452	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:131967696-131969900	chr10:130169432-130171636	hsa_circ_0020508	hsa-GLRX3_0021	hsa_circGLRX3_016	ASCRP3012663	GLRX3	+	111	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:13214375-13214765	chr10:13172375-13172765	hsa_circ_0002109	hsa-MCM10_0002	hsa_circMCM10_003	ASCRP3009211	MCM10	+	246	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:13233298-13234568	chr10:13191298-13192568	hsa_circ_0004477	hsa-MCM10_0003	hsa_circMCM10_012	ASCRP3007408	MCM10	+	330	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr10:13364834-13387028	chr10:13322834-13345028	hsa_circ_0017803	hsa-SEPHS1_0003	hsa_circSEPHS1_002	ASCRP3000131	SEPHS1	-	1042	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
