circpedia	hg19	hg38	circname	gene_Ensembl	gene_Refseq	transcript_Ensembl	transcript_Refseq
CIRCHSA_GLIS3_14	chr9:3898690-3932470|-	chr9:3898690-3932470|-	circGLIS3(5,6)	ENSG00000107249.24	GLIS3	ENST00000324333.14	GLIS3-201
CIRCHSA_EXOC2_1	chr6:629834-637861|-	chr6:629834-637861|-	circEXOC2(2,3,4)	ENSG00000112685.14	EXOC2	ENST00000230449.9	EXOC2-201
CIRCHSA_PSMD13_9	chr11:238997-244761|+	chr11:238997-244761|+	circPSMD13(2-6)	ENSG00000185627.19	PSMD13	ENST00000532097.6	PSMD13-212
CIRCHSA_PTPRD_104	chr9:8404536-8449837|-	chr9:8404536-8449837|-	circPTPRD(34,35,36)	ENSG00000153707.19	PTPRD	ENST00000381196.9	PTPRD-203
CIRCHSA_PTPRD_48	chr9:8436591-8460571|-	chr9:8436591-8460571|-	circPTPRD(33,34,35)	ENSG00000153707.19	PTPRD	ENST00000381196.9	PTPRD-203
CIRCHSA_SIRT3_2	chr11:224077-233215|-	chr11:224077-233215|-	circSIRT3(3,4,5)	ENSG00000142082.15	SIRT3	ENST00000382743.9	SIRT3-201
CIRCHSA_KANK1_2	chr9:710803-713464|+	chr9:710803-713464|+	circKANK1(7)	ENSG00000107104.21	KANK1	ENST00000382303.5	KANK1-206
CIRCHSA_KANK1_5	chr9:734747-740934|+	chr9:734747-740934|+	circKANK1(11,12,13)	ENSG00000107104.21	KANK1	ENST00000382303.5	KANK1-206
CIRCHSA_SPATA6L_4	chr9:4600652-4635399|-	chr9:4600652-4635399|-	circSPATA6L(5-12)	ENSG00000106686.17	SPATA6L	ENST00000485616.5	SPATA6L-208
CIRCHSA_SPATA6L_6	chr9:4622407-4635399|-	chr9:4622407-4635399|-	circSPATA6L(5-9)	ENSG00000106686.17	SPATA6L	ENST00000485616.5	SPATA6L-208
CIRCHSA_GLIS3_23	chr9:4286037-4286523|-	chr9:4286037-4286523|-	circGLIS3(2)	ENSG00000107249.24	GLIS3	ENST00000381971.8	GLIS3-202
CIRCHSA_GLIS3_29	chr9:3879426-3932918|-	chr9:3879426-3932918|-	circGLIS3(3-6)	ENSG00000107249.24	GLIS3	ENST00000682864.1	GLIS3-222
CIRCHSA_PTPRD_55	chr9:8465465-8471085|-	chr9:8465465-8471085|-	circPTPRD(31,32)	ENSG00000153707.19	PTPRD	ENST00000381196.9	PTPRD-203
CIRCHSA_PTPRD_58	chr9:8504260-8525035|-	chr9:8504260-8525035|-	circPTPRD(18-23)	ENSG00000153707.19	PTPRD	ENST00000381196.9	PTPRD-203
CIRCHSA_ERMP1_4	chr9:5797816-5813035|-	chr9:5797816-5813035|-	circERMP1(5-13)	ENSG00000099219.15	ERMP1	ENST00000688202.1	ERMP1-210
CIRCHSA_ERMP1_7	chr9:5825091-5831028|-	chr9:5825091-5831028|-	circERMP1(2,3)	ENSG00000099219.15	ERMP1	ENST00000688202.1	ERMP1-210
CIRCHSA_MIER2_2	chr19:325634-336173|-	chr19:325634-336173|-	circMIER2(2-7)	ENSG00000105556.12	MIER2	ENST00000264819.7	MIER2-201
CIRCHSA_UHRF2_16	chr9:6475390-6486925|+	chr9:6475390-6486925|+	circUHRF2(5-9)	ENSG00000147854.17	UHRF2	ENST00000468435.6	UHRF2-205
CIRCHSA_KDM4C_2	chr9:6849506-6893232|+	chr9:6849506-6893232|+	circKDM4C(5-8)	ENSG00000107077.19	KDM4C	ENST00000536108.5	KDM4C-214
CIRCHSA_KDM4C_5	chr9:6880011-6893232|+	chr9:6880011-6893232|+	circKDM4C(6,7,8)	ENSG00000107077.19	KDM4C	ENST00000536108.5	KDM4C-214
CIRCHSA_PTPRD_124	chr9:9938506-10341017|-	chr9:9938506-10341017|-	circPTPRD(3,4,5)	ENSG00000153707.19	PTPRD	ENST00000381196.9	PTPRD-203
CIRCHSA_PTPRD_65	chr9:8436591-8449837|-	chr9:8436591-8449837|-	circPTPRD(34,35)	ENSG00000153707.19	PTPRD	ENST00000381196.9	PTPRD-203
CIRCHSA_PTPRD_66	chr9:8389231-8436689|-	chr9:8389231-8436689|-	circPTPRD(35,36,37)	ENSG00000153707.19	PTPRD	ENST00000381196.9	PTPRD-203
CIRCHSA_GLIS3_1	chr9:4117767-4118881|-	chr9:4117767-4118881|-	circGLIS3(3)	ENSG00000107249.24	GLIS3	ENST00000324333.14	GLIS3-201
CIRCHSA_GLIS3_2	chr9:4117767-4125941|-	chr9:4117767-4125941|-	circGLIS3(2,3)	ENSG00000107249.24	GLIS3	ENST00000324333.14	GLIS3-201
CIRCHSA_GLIS3_3	chr9:3932359-3937189|-	chr9:3932359-3937189|-	circGLIS3(4,5)	ENSG00000107249.24	GLIS3	ENST00000324333.14	GLIS3-201
CIRCHSA_GLIS3_4	chr9:3879426-3937189|-	chr9:3879426-3937189|-	circGLIS3(4-7)	ENSG00000107249.24	GLIS3	ENST00000324333.14	GLIS3-201
CIRCHSA_THOC1_26	chr18:218885-224994|-	chr18:218885-224994|-	circTHOC1(14-17)	ENSG00000079134.13	THOC1	ENST00000579232.5	THOC1-206
CIRCHSA_SLC1A1_4	chr9:4544566-4576763|+	chr9:4544566-4576763|+	circSLC1A1(2-10)	ENSG00000106688.12	SLC1A1	ENST00000262352.8	SLC1A1-201
CIRCHSA_SMARCA2_17	chr9:2096656-2110417|+	chr9:2096656-2110417|+	circSMARCA2(20-24)	ENSG00000080503.24	SMARCA2	ENST00000357248.8	SMARCA2-204
CIRCHSA_PTPRD_70	chr9:8436591-8465675|-	chr9:8436591-8465675|-	circPTPRD(32-35)	ENSG00000153707.19	PTPRD	ENST00000381196.9	PTPRD-203
CIRCHSA_PTPRD_257	chr9:8436591-8485327|-	chr9:8436591-8485327|-	circPTPRD(12-18)	ENSG00000153707.19	PTPRD	ENST00000537002.5	PTPRD-213
CIRCHSA_USP14_10	chr18:196636-203190|+	chr18:196636-203190|+	circUSP14(6-11)	ENSG00000101557.15	USP14	ENST00000582707.5	USP14-208
CIRCHSA_YES1_5	chr18:756556-756835|-	chr18:756556-756835|-	circYES1(2)	ENSG00000176105.14	YES1	ENST00000577961.5	YES1-203
CIRCHSA_YES1_8	chr18:751704-756835|-	chr18:751704-756835|-	circYES1(2,3)	ENSG00000176105.14	YES1	ENST00000577961.5	YES1-203
CIRCHSA_UHRF2_1	chr9:6420911-6421142|+	chr9:6420911-6421142|+	circUHRF2(2)	ENSG00000147854.17	UHRF2	ENST00000468435.6	UHRF2-205
CIRCHSA_UHRF2_2	chr9:6420911-6434173|+	chr9:6420911-6434173|+	circUHRF2(2,3)	ENSG00000147854.17	UHRF2	ENST00000468435.6	UHRF2-205
CIRCHSA_UHRF2_9	chr9:6475390-6477808|+	chr9:6475390-6477808|+	circUHRF2(5,6)	ENSG00000147854.17	UHRF2	ENST00000468435.6	UHRF2-205
CIRCHSA_PTPRD_88	chr9:8375935-8492979|-	chr9:8375935-8492979|-	circPTPRD(27-39)	ENSG00000153707.19	PTPRD	ENST00000381196.9	PTPRD-203
