circbank	hg19	hg38	aliasID	exonNumber	Exons	circType	splicedLength	Assembly	geneID	geneSymbol	bestTranscriptID	Biotype	Tissue	Age	samples	HighConfidence	source
hsa_CHD1L_0000400	chr1:146724277-146731572|+	chr1:147252622-147259918|+	"hsa_circ_0004220	hsa_circCHD1L_003	hsa-CHD1L_0002"	5.0	"146724277-146724390	146726524-146726631	146727467-146727582	146728184-146728216	146731490-146731572"	Exon-Exon	449	hg19	ENSG00000131778.13	CHD1L	ENST00000369258.4	protein_coding					
hsa_SNX27_0003100	chr1:151630710-151641111|+	chr1:151658234-151668635|+	"hsa_circ_0002394	hsa_circSNX27_012	hsa-SNX27_0002"	5.0	"151630710-151630903	151633273-151633338	151634641-151634746	151638408-151638487	151640947-151641111"	Exon-Exon	606	hg19	ENSG00000143376.8	SNX27	ENST00000368843.3	protein_coding					
hsa_FLG-AS1_0006800	chr1:152287381-152307915|+	chr1:152314905-152335439|+	"hsa_circ_0110827	hsa_circFLG-AS1_002	hsa-FLG-AS1_0003"	3.0	"152287381-152287433	152305058-152305224	152307814-152307915"	Exon-Exon	319	hg19	ENSG00000237975.2	FLG-AS1	ENST00000420707.1	antisense					
hsa_ASH1L_0024300	chr1:155385534-155429689|-	chr1:155415743-155459898|-	"hsa_circ_0014586	hsa_circASH1L_012	hsa-ASH1L_0005"	3.0	"155385534-155385714	155408117-155408859	155429587-155429689"	Exon-Exon	1024	hg19	ENSG00000116539.6	ASH1L	ENST00000368346.3	protein_coding					
hsa_ASH1L_0029000	chr1:155447676-155452240|-	chr1:155477885-155482449|-	"hsa_circ_0014590	hsa_circASH1L_006	hsa-ASH1L_0069"	1.0	155447676-155452240	Exon-Exon	4564	hg19	ENSG00000116539.6	ASH1L	ENST00000368346.3	protein_coding					
hsa_ASH1L_0031500	chr1:155490890-155491409|-	chr1:155521099-155521618|-	"hsa_circ_0014592	hsa_circASH1L_003	hsa-ASH1L_0003"	1.0	155490890-155491409	Exon-Exon	519	hg19	ENSG00000116539.6	ASH1L	ENST00000548830.1	protein_coding					
hsa_DAP3_0003200	chr1:155686796-155695810|+	chr1:155717005-155726019|+	"hsa_circ_0014611	hsa_circDAP3_006	hsa-DAP3_0002"			Exon-Exon	253	hg19	ENSG00000132676.11	DAP3	ENST00000497826.1	protein_coding					
hsa_KIAA0907_0000400	chr1:155885663-155887463|-	chr1:155915872-155917672|-	hsa-KIAA0907_0015	3.0	"155885663-155885755	155886415-155886528	155887289-155887463"	Exon-Exon	379	hg19	ENSG00000132680.6	KIAA0907	ENST00000368321.3	protein_coding					
hsa_CCT3_0002300	chr1:156286956-156294880|-	chr1:156317165-156325089|-	hsa-CCT3_0015			Exon-Exon	670	hg19	ENSG00000163468.10	CCT3	ENST00000368261.3	protein_coding					
hsa_FBXO42_0007100	chr1:16632297-16641930|-	chr1:16305802-16315435|-	"hsa_circ_0010146	hsa_circFBXO42_002	hsa-FBXO42_0001"	2.0	"16632297-16632414	16641663-16641930"	Exon-Exon	384	hg19	ENSG00000037637.6	FBXO42	ENST00000375592.3	protein_coding					
hsa_DCAF6_0002800	chr1:167935866-167944253|+	chr1:167966628-167975015|+	"hsa_circ_0009109	hsa_circDCAF6_003	hsa-DCAF6_0017"	2.0	"167935866-167935959	167944067-167944253"	Exon-Exon	279	hg19	ENSG00000143164.11	DCAF6	ENST00000367840.3	protein_coding					
hsa_SUCO_0003600	chr1:172525008-172539870|+	chr1:172555868-172570730|+	"hsa_circ_0111166	hsa_circSUCO_001	hsa-SUCO_0023"	6.0	"172525008-172525163	172526419-172526557	172526783-172526934	172538158-172538282	172539186-172539311	172539802-172539870"	Exon-Exon	761	hg19	ENSG00000094975.9	SUCO	ENST00000263688.3	protein_coding					
hsa_ARHGEF10L_0002400	chr1:17907047-18014242|+	chr1:17580552-17687747|+	"hsa_circ_0010218	hsa_circARHGEF10L_020	hsa-ARHGEF10L_0021"	26.0	"17907047-17907127	17913954-17914140	17914940-17914974	17928621-17928713	17930002-17930086	17934296-17934472	17939552-17939669	17942588-17942697	17945833-17945940	17948358-17948436	17949490-17949670	17950881-17950998	17952450-17952543	17953824-17953998	17958815-17958961	17961042-17961057	17961329-17961511	17964382-17964498	17965056-17965184	17966696-17966797	17975048-17975170	17981130-17981217	17982373-17982597	17983048-17983203	17990941-17991090	18014067-18014242"	Exon-Exon	3227	hg19	ENSG00000074964.12	ARHGEF10L	ENST00000361221.3	protein_coding					
hsa_CEP350_0020600	chr1:180010272-180044356|+	chr1:180041137-180075221|+	hsa-CEP350_0005			Exon-Exon	1657	hg19	ENSG00000135837.11	CEP350	ENST00000367607.3	protein_coding					
hsa_ACBD6_0002600	chr1:180366650-180382606|-	chr1:180397515-180413471|-	"hsa_circ_0009175	hsa_circACBD6_006	hsa-ACBD6_0001"	2.0	"180366650-180366740	180382500-180382606"	Exon-Exon	196	hg19	ENSG00000135847.5	ACBD6	ENST00000367595.3	protein_coding					
hsa_ELK4_0002800	chr1:205585605-205593019|-	chr1:205616477-205623891|-	"hsa_circ_0000175	hsa_circELK4_006	hsa-ELK4_0002"			Exon-Exon	1373	hg19	ENSG00000158711.9	ELK4	ENST00000357992.4	protein_coding					
hsa_HP1BP3_0001800	chr1:21071236-21076375|-	chr1:20744743-20749882|-	"hsa_circ_0007296	hsa_circHP1BP3_041	hsa-HP1BP3_0025"	4.0	"21071236-21071584	21072035-21072149	21074036-21074148	21076215-21076375"	Exon-Exon	734	hg19	ENSG00000127483.13	HP1BP3	ENST00000375003.2	protein_coding					
hsa_HP1BP3_0002200	chr1:21071236-21107033|-	chr1:20744743-20780540|-	"hsa_circ_0111814	hsa_circHP1BP3_008	hsa-HP1BP3_0017"	12.0	"21071236-21071584	21072035-21072149	21074036-21074148	21076215-21076375	21083658-21083749	21091869-21092024	21094076-21094157	21097422-21097566	21099943-21100103	21103089-21103243	21106304-21106404	21106837-21107033"	Exon-Exon	1815	hg19	ENSG00000127483.13	HP1BP3	ENST00000312239.5	protein_coding					
hsa_HP1BP3_0006200	chr1:21076215-21100103|-	chr1:20749722-20773610|-	"hsa_circ_0000023	hsa_circHP1BP3_029	hsa-HP1BP3_0002"			Exon-Exon	710	hg19	ENSG00000127483.13	HP1BP3	ENST00000419948.1	protein_coding					
hsa_HP1BP3_0008100	chr1:21083658-21100103|-	chr1:20757165-20773610|-	"hsa_circ_0000024	hsa_circHP1BP3_027	hsa-HP1BP3_0004"	5.0	"21083658-21083749	21091869-21092024	21094076-21094157	21097422-21097566	21099943-21100103"	Exon-Exon	631	hg19	ENSG00000127483.13	HP1BP3	ENST00000438032.1	protein_coding					
hsa_EIF4G3_0005000	chr1:21154109-21212864|-	chr1:20827616-20886371|-	"hsa_circ_0111849	hsa_circEIF4G3_086	hsa-EIF4G3_0388"	14.0	"21154109-21154191	21155639-21155765	21167348-21167521	21175907-21176023	21177750-21177971	21180052-21180170	21181470-21181564	21183895-21183990	21186877-21187010	21188720-21188825	21190968-21191205	21191608-21191755	21205815-21206013	21212693-21212864"	Exon-Exon	2016	hg19	ENSG00000075151.15	EIF4G3	ENST00000602326.1	protein_coding					
hsa_LPGAT1_0001800	chr1:211952259-211966532|-	chr1:211778917-211793190|-	"hsa_circ_0002274	hsa_circLPGAT1_006	hsa-LPGAT1_0002"	4.0	"211952259-211952386	211956570-211956844	211960973-211961069	211966413-211966532"	Exon-Exon	616	hg19	ENSG00000123684.8	LPGAT1	ENST00000366997.4	protein_coding					
hsa_EIF4G3_0028700	chr1:21295966-21307720|-	chr1:20969473-20981227|-	"hsa_circ_0000025	hsa_circEIF4G3_054	hsa-EIF4G3_0011"	4.0	"21295966-21296089	21299494-21299592	21306826-21306941	21307540-21307720"	Exon-Exon	516	hg19	ENSG00000075151.15	EIF4G3	ENST00000411888.1	protein_coding					
hsa_PTPN14_0005500	chr1:214625147-214638300|-	chr1:214451804-214464957|-	"hsa_circ_0007015	hsa_circPTPN14_002	hsa-PTPN14_0008"	2.0	"214625147-214625317	214637972-214638300"	Exon-Exon	498	hg19	ENSG00000152104.7	PTPN14	ENST00000366956.5	protein_coding					
hsa_USP48_0018300	chr1:22074630-22078108|-	chr1:21748137-21751615|-	"hsa_circ_0002166	hsa_circUSP48_015	hsa-USP48_0027"	2.0	"22074630-22074764	22077999-22078108"	Exon-Exon	243	hg19	ENSG00000090686.11	USP48	ENST00000308271.9	protein_coding					
hsa_SKI_0001700	chr1:2234416-2236024|+	chr1:2302977-2304585|+	"hsa_circ_0007120	hsa_circSKI_002	hsa-SKI_0001"	4.0	"2234416-2234542	2234723-2234839	2235278-2235541	2235731-2236024"	Exon-Exon	798	hg19	ENSG00000157933.9	SKI	ENST00000378536.4	protein_coding					
hsa_chr1_0596900	chr1:224142178-224149975|-	chr1:223954476-223962273|-	"hsa_circ_0001978	hsa_circTCONS_l2_00001804_001	hsa-GTF2IP20_0001"	1.0	224142178-224149975	Intergenic-Intergenic	7797	hg19									
hsa_DNAH14_0001600	chr1:225140371-225195246|+	chr1:224952669-225007544|+	"hsa_circ_0016601	hsa_circDNAH14_003	hsa-DNAH14_0003"	9.0	"225140371-225140481	225142660-225142800	225147854-225148004	225152180-225152311	225155132-225155285	225156460-225156576	225161792-225161855	225190484-225190629	225195114-225195246"	Exon-Exon	1140	hg19	ENSG00000185842.10	DNAH14	ENST00000430092.1	protein_coding					
hsa_CDC42BPA_0033800	chr1:227327276-227335260|-	chr1:227139575-227147559|-	"hsa_circ_0003659	hsa_circCDC42BPA_023	hsa-CDC42BPA_0135"	4.0	"227327276-227327443	227330645-227330725	227333189-227333438	227335059-227335260"	Exon-Exon	697	hg19	ENSG00000143776.14	CDC42BPA	ENST00000366765.3	protein_coding					
hsa_NUP133_0007900	chr1:229599289-229634053|-	chr1:229463542-229498306|-	hsa-NUP133_0061			Exon-Exon	2037	hg19	ENSG00000069248.9	NUP133	ENST00000537506.1	protein_coding					
hsa_EPHB2_0000500	chr1:23107913-23111569|+	chr1:22781420-22785076|+	"hsa_circ_0004085	hsa_circEPHB2_001	hsa-EPHB2_0002"	2.0	"23107913-23107978	23110884-23111569"	Exon-Exon	750	hg19	ENSG00000133216.12	EPHB2	ENST00000544305.1	protein_coding					
hsa_B3GALNT2_0006400	chr1:235643369-235658138|-	chr1:235480053-235494828|-	"hsa_circ_0002343	hsa_circB3GALNT2_007	hsa-B3GALNT2_0002"	4.0	"235643369-235643465	235647637-235647831	235652472-235652573	235657990-235658138"	Exon-Exon	539	hg19	ENSG00000162885.8	B3GALNT2	ENST00000313984.3	protein_coding					
hsa_FMN2_0012400	chr1:240421244-240519208|+	chr1:240257944-240355908|+	"hsa_circ_0004061	hsa_circFMN2_022	hsa-FMN2_0016"	8.0	"240421244-240421332	240458121-240458183	240492375-240492467	240492638-240492768	240493902-240494049	240497186-240497246	240497408-240497529	240519115-240519208"	Exon-Exon	793	hg19	ENSG00000155816.15	FMN2	ENST00000319653.9	protein_coding					
hsa_SDCCAG8_0017600	chr1:243579003-243589860|+	chr1:243415701-243426558|+	"hsa_circ_0017241	hsa_circSDCCAG8_031	hsa-SDCCAG8_0001"	3.0	"243579003-243579131	243581269-243581378	243589728-243589860"	Exon-Exon	369	hg19	ENSG00000054282.11	SDCCAG8	ENST00000366541.3	protein_coding					
hsa_AKT3_0005900	chr1:243708811-243859018|-	chr1:243545509-243695716|-	hsa-AKT3_0027			Exon-Exon	1205	hg19	ENSG00000117020.12	AKT3	ENST00000366539.1	protein_coding					
hsa_SMYD3_0014300	chr1:246490502-246498776|-	chr1:246327200-246335474|-	"hsa_circ_0017306	hsa_circSMYD3_010	hsa-SMYD3_0017"	3.0	"246490502-246490639	246493781-246493839	246498668-246498776"	Exon-Exon	303	hg19	ENSG00000185420.14	SMYD3	ENST00000453676.1	protein_coding					
hsa_ZNF124_0003200	chr1:247319707-247323115|-	chr1:247156405-247159813|-	"hsa_circ_0112879	hsa_circZNF124_008	hsa-ZNF124_0005"			Exon-Exon	1000	hg19	ENSG00000196418.8	ZNF124	ENST00000340684.6	protein_coding					
hsa_ARID1A_0003300	chr1:27087346-27089776|+	chr1:26760855-26763285|+	"hsa_circ_0006913	hsa_circARID1A_008	hsa-ARID1A_0002"	4.0	"27087346-27087587	27087874-27087964	27088642-27088810	27089463-27089776"	Exon-Exon	812	hg19	ENSG00000117713.13	ARID1A	ENST00000324856.7	protein_coding					
hsa_EYA3_0008300	chr1:28362054-28374937|-	chr1:28035543-28048426|-	"hsa_circ_0008057	hsa_circEYA3_007	hsa-EYA3_0001"	4.0	"28362054-28362191	28365349-28365416	28369081-28369161	28374893-28374937"	Exon-Exon	328	hg19	ENSG00000158161.11	EYA3	ENST00000373871.3	protein_coding					
hsa_PHACTR4_0008600	chr1:28800065-28807116|+	chr1:28473553-28480604|+	"hsa_circ_0011137	hsa_circPHACTR4_012	hsa-PHACTR4_0002"	3.0	"28800065-28800663	28802618-28802803	28806962-28807116"	Exon-Exon	937	hg19	ENSG00000204138.8	PHACTR4	ENST00000373839.3	protein_coding					
hsa_PUM1_0015900	chr1:31465236-31468067|-	chr1:30992389-30995220|-	"hsa_circ_0000043	hsa_circPUM1_021	hsa-PUM1_0014"	2.0	"31465236-31465507	31467900-31468067"	Exon-Exon	438	hg19	ENSG00000134644.11	PUM1	ENST00000373747.3	protein_coding					
hsa_PUM1_0020600	chr1:31532050-31532424|-	chr1:31059203-31059577|-	"hsa_circ_0000045	hsa_circPUM1_004	hsa-PUM1_0073"	1.0	31532050-31532424	Exon-Exon	374	hg19	ENSG00000134644.11	PUM1	ENST00000524516.1	retained_intron					
hsa_PTP4A2_0003200	chr1:32381495-32385259|-	chr1:31915894-31919658|-	"hsa_circ_0007364	hsa_circPTP4A2_004	hsa-PTP4A2_0001"	2.0	"32381495-32381588	32384570-32385259"	Exon-Exon	782	hg19	ENSG00000184007.13	PTP4A2	ENST00000344035.6	protein_coding					
hsa_KHDRBS1_0001600	chr1:32495898-32510991|+	chr1:32030297-32045390|+	"hsa_circ_0004289	hsa_circKHDRBS1_004	hsa-KHDRBS1_0004"	8.0	"32495898-32496023	32497124-32497241	32498788-32498935	32502510-32502644	32503435-32503637	32504152-32504220	32505115-32505174	32508127-32510991"	Exon-Intergenic	3716	hg19	ENSG00000121774.13	KHDRBS1	ENST00000327300.7	protein_coding					
hsa_TXLNA_0002200	chr1:32653554-32655850|+	chr1:32187953-32190249|+	"hsa_circ_0003238	hsa_circTXLNA_010	hsa-TXLNA_0001"	2.0	"32653554-32653725	32655655-32655850"	Exon-Exon	366	hg19	ENSG00000084652.11	TXLNA	ENST00000373610.3	protein_coding					
hsa_RNF19B_0002800	chr1:33413822-33415375|-	chr1:32948221-32949774|-	"hsa_circ_0000048	hsa_circRNF19B_003	hsa-RNF19B_0001"			Exon-Exon	348	hg19	ENSG00000116514.12	RNF19B	ENST00000356990.5	protein_coding					
hsa_ZMYM4_0007700	chr1:35824525-35827390|+	chr1:35358924-35361789|+	"hsa_circ_0011536	hsa_circZMYM4_006	hsa-ZMYM4_0001"	3.0	"35824525-35825047	35826794-35826856	35827219-35827390"	Exon-Exon	755	hg19	ENSG00000146463.7	ZMYM4	ENST00000314607.6	protein_coding					
hsa_CLSPN_0002300	chr1:36213507-36219537|-	chr1:35747906-35753936|-	hsa-CLSPN_0001			Exon-Exon	1048	hg19	ENSG00000092853.9	CLSPN	ENST00000251195.5	protein_coding					
hsa_TP73-AS1_0000200	chr1:3653489-3662750|-	chr1:3736925-3746186|-	hsa-TP73-AS1_0016			Exon-Exon	4280	hg19	ENSG00000227372.6	TP73-AS1	ENST00000452079.1	antisense					
hsa_MACF1_0038900	chr1:39816456-39824936|+	chr1:39350784-39359264|+	"hsa_circ_0011821	hsa_circMACF1_080	hsa-MACF1_0050"	5.0	"39816456-39816690	39818678-39818903	39823046-39823565	39824368-39824545	39824812-39824936"	Exon-Exon	1279	hg19	ENSG00000127603.19	MACF1	ENST00000372915.3	protein_coding					
hsa_TRIT1_0003600	chr1:40319641-40323089|-	chr1:39853969-39857417|-	"hsa_circ_0000057	hsa_circTRIT1_004	hsa-TRIT1_0005"	2.0	"40319641-40319740	40322948-40323089"	Exon-Exon	240	hg19	ENSG00000043514.11	TRIT1	ENST00000316891.5	protein_coding					
hsa_HIVEP3_0000800	chr1:42041214-42050989|-	chr1:41575543-41585318|-	"hsa_circ_0011950	hsa_circHIVEP3_015	hsa-HIVEP3_0001"	2.0	"42041214-42041360	42045407-42050989"	Exon-Exon	5728	hg19	ENSG00000127124.9	HIVEP3	ENST00000372583.1	protein_coding					
hsa_ERI3_0004500	chr1:44773981-44785416|-	chr1:44308309-44319744|-	"hsa_circ_0012144	hsa_circERI3_019	hsa-ERI3_0003"	3.0	"44773981-44774073	44778840-44778900	44785299-44785416"	Exon-Exon	269	hg19	ENSG00000117419.10	ERI3	ENST00000372257.2	protein_coding					
hsa_FAF1_0003100	chr1:51001040-51061888|-	chr1:50535368-50596216|-	"hsa_circ_0012397	hsa_circFAF1_034	hsa-FAF1_0039"	7.0	"51001040-51001129	51005263-51005400	51032748-51032903	51048289-51048371	51049323-51049387	51050356-51050483	51061792-51061888"	Exon-Exon	750	hg19	ENSG00000185104.15	FAF1	ENST00000371778.4	protein_coding					
hsa_LRP8_0002800	chr1:53736699-53737018|-	chr1:53271027-53271346|-	"hsa_circ_0012593	hsa_circLRP8_005	hsa-LRP8_0003"	2.0	"53736699-53736825	53736898-53737018"	Exon-Exon	246	hg19	ENSG00000157193.10	LRP8	ENST00000475501.1	protein_coding					
hsa_OMA1_0003200	chr1:58971731-59002413|-	chr1:58506059-58536741|-	"hsa_circ_0000072	hsa_circOMA1_010	hsa-OMA1_0004"	6.0	"58971731-58971881	58992932-58993007	58996272-58996401	58999624-58999732	58999829-59000003	59002184-59002413"	Exon-Exon	865	hg19	ENSG00000162600.7	OMA1	ENST00000421528.2	protein_coding					
hsa_OMA1_0003300	chr1:58971731-59004982|-	chr1:58506059-58539310|-	"hsa_circ_0002316	hsa_circOMA1_006	hsa-OMA1_0005"	7.0	"58971731-58971881	58992932-58993007	58996272-58996401	58999624-58999732	58999829-59000003	59002184-59002413	59004466-59004982"	Exon-Exon	1381	hg19	ENSG00000162600.7	OMA1	ENST00000371226.3	protein_coding					
hsa_NPHP4_0006900	chr1:5987708-5993389|-	chr1:5927648-5933329|-	"hsa_circ_0007804	hsa_circNPHP4_034	hsa-NPHP4_0008"	2.0	"5987708-5987847	5993206-5993389"	Exon-Exon	322	hg19	ENSG00000131697.13	NPHP4	ENST00000378156.4	protein_coding					
hsa_USP1_0001500	chr1:62907158-62907970|+	chr1:62441487-62442299|+	"hsa_circ_0113805	hsa_circUSP1_006	hsa-USP1_0004"	2.0	"62907158-62907279	62907865-62907970"	Exon-Exon	226	hg19	ENSG00000162607.8	USP1	ENST00000339950.4	protein_coding					
hsa_USP1_0003100	chr1:62910408-62911100|+	chr1:62444737-62445429|+	"hsa_circ_0113810	hsa_circUSP1_014	hsa-USP1_0012"	1.0	62910408-62911100	Exon-Exon	692	hg19	ENSG00000162607.8	USP1	ENST00000339950.4	protein_coding					
hsa_DOCK7_0019300	chr1:63042932-63091072|-	chr1:62577261-62625401|-	"hsa_circ_0012814	hsa_circDOCK7_015	hsa-DOCK7_0044"	7.0	"63042932-63043034	63044498-63044637	63048854-63048925	63052177-63052295	63084376-63084539	63085570-63085664	63090929-63091072"	Exon-Exon	830	hg19	ENSG00000116641.11	DOCK7	ENST00000251157.5	protein_coding					
hsa_DNAJC6_0007400	chr1:65830317-65831879|+	chr1:65364634-65366196|+	"hsa_circ_0002454	hsa_circDNAJC6_002	hsa-DNAJC6_0001"	3.0	"65830317-65830468	65831567-65831617	65831730-65831879"	Exon-Exon	350	hg19	ENSG00000116675.11	DNAJC6	ENST00000263441.7	protein_coding					
hsa_MIER1_0004800	chr1:67423741-67428843|+	chr1:66958058-66963160|+	"hsa_circ_0113954	hsa_circMIER1_005	hsa-MIER1_0001"	4.0	"67423741-67423903	67424533-67424666	67425361-67425426	67428770-67428843"	Exon-Exon	433	hg19	ENSG00000198160.10	MIER1	ENST00000371018.3	protein_coding					
hsa_ZZZ3_0009000	chr1:78097534-78107340|-	chr1:77631849-77641655|-	"hsa_circ_0114166	hsa_circZZZ3_005	hsa-ZZZ3_0001"	4.0	"78097534-78099090	78105133-78105287	78107068-78107131	78107206-78107340"	Exon-Exon	1907	hg19	ENSG00000036549.8	ZZZ3	ENST00000370801.3	protein_coding					
hsa_LPHN2_0005400	chr1:82302569-82327803|+	chr1:81836884-81862118|+	"hsa_circ_0114238	hsa_circLPHN2_006	hsa-ADGRL2_0033"	1.0	82302569-82327803	Intron-Exon-Intron	25234	hg19	ENSG00000117114.15	LPHN2	ENST00000370725.1	protein_coding					
hsa_LPHN2_0009900	chr1:82372701-82372915|+	chr1:81907016-81907230|+	"hsa_circ_0114241	hsa_circLPHN2_011	hsa-ADGRL2_0008"	1.0	82372701-82372915	Exon-Exon	214	hg19	ENSG00000117114.15	LPHN2	ENST00000370725.1	protein_coding					
hsa_RERE_0009400	chr1:8555122-8674745|-	chr1:8495062-8614686|-	"hsa_circ_0009117	hsa_circRERE_022	hsa-RERE_0008"	7.0	"8555122-8555222	8557464-8557589	8568685-8568734	8601272-8601377	8616533-8616630	8617476-8617582	8674619-8674745"	Exon-Exon	708	hg19	ENSG00000142599.13	RERE	ENST00000337907.3	protein_coding					
hsa_RERE_0022300	chr1:8674619-8716500|-	chr1:8614560-8656441|-	"hsa_circ_0005039	hsa_circRERE_006	hsa-RERE_0009"	3.0	"8674619-8674745	8684368-8684439	8716031-8716500"	Exon-Exon	666	hg19	ENSG00000142599.13	RERE	ENST00000337907.3	protein_coding					
hsa_ZNF644_0001400	chr1:91382196-91406866|-	chr1:90916639-90941309|-	"hsa_circ_0114420	hsa_circZNF644_009	hsa-ZNF644_0008"	4.0	"91382196-91382547	91383608-91383711	91403041-91403647	91403828-91406866"	Exon-Exon	4098	hg19	ENSG00000122482.16	ZNF644	ENST00000337393.5	protein_coding					
hsa_ZNF644_0005200	chr1:91403041-91447927|-	chr1:90937484-90982370|-	"hsa_circ_0114428	hsa_circZNF644_003	hsa-ZNF644_0001"	3.0	"91403041-91403647	91403828-91406866	91447866-91447927"	Exon-Exon	3705	hg19	ENSG00000122482.16	ZNF644	ENST00000370440.1	protein_coding					
hsa_EVI5_0005800	chr1:93070863-93104794|-	chr1:92605306-92639237|-	hsa-EVI5_0062			Intron-Exon-Intron	3579	hg19	ENSG00000067208.10	EVI5	ENST00000540033.1	protein_coding					
hsa_GCLM_0001200	chr1:94360169-94367225|-	chr1:93894613-93901669|-	"hsa_circ_0003513	hsa_circGCLM_003	hsa-GCLM_0001"	4.0	"94360169-94360284	94362173-94362376	94363394-94363454	94367140-94367225"	Exon-Exon	463	hg19	ENSG00000023909.5	GCLM	ENST00000370238.3	protein_coding					
hsa_ARHGAP29_0007100	chr1:94685813-94697199|-	chr1:94220257-94231643|-	"hsa_circ_0003310	hsa_circARHGAP29_002	hsa-ARHGAP29_0001"	2.0	"94685813-94685948	94696962-94697199"	Exon-Exon	372	hg19	ENSG00000137962.8	ARHGAP29	ENST00000260526.6	protein_coding					
hsa_RP11-57H12.6_0003500	chr1:95609446-95616975|+	chr1:95143890-95151419|+	"hsa_circ_0000095	hsa_circTMEM56-RWDD3_001	hsa-TMEM56-RWDD3_0004"	4.0	"95609446-95609612	95614257-95614347	95615763-95615822	95616880-95616975"	Exon-Exon	410	hg19	ENSG00000271092.1	RP11-57H12.6	ENST00000604534.1	protein_coding					
hsa_LZIC_0001600	chr1:9991948-9994918|-	chr1:9931890-9934860|-	"hsa_circ_0000014	hsa_circLZIC_005	hsa-LZIC_0003"	3.0	"9991948-9992030	9992860-9992956	9994819-9994918"	Exon-Exon	277	hg19	ENSG00000162441.7	LZIC	ENST00000541052.1	protein_coding					
hsa_FAM178A_0001600	chr10:102675755-102685776|+	chr10:100915998-100926019|+	hsa-SLF2_0013			Exon-Exon	1902	hg19	ENSG00000119906.7	FAM178A	ENST00000238961.4	protein_coding					
hsa_C10orf76_0006800	chr10:103699619-103717489|-	chr10:101939862-101957732|-	"hsa_circ_0004117	hsa_circC10orf76_058	hsa-C10orf76_0001"	3.0	"103699619-103699695	103716353-103716480	103717406-103717489"	Exon-Exon	286	hg19	ENSG00000120029.8	C10orf76	ENST00000370033.4	protein_coding					
