circRNA_DB	hg19	hg38	gene_symbol	genomic_length	transcript_id	spliced_length	exon_number	exon_sizes	exon_offsets	samples	pubmed_id
hsa_circ_00752	chr8:143425326-143427253|-	chr8:142343965-142345892|-	TSNARE1	1927	NM_145003	657	2	507,150	0,1777	H9 hESCs,normal brain tissue,glioblastoma,Hs68	25242744,26873924,23249747
hsa_circ_00790	chr11:45883610-45893784|+	chr11:45862059-45872233|+	CRY2	10174	NM_001127457	1132	7	89,141,312,152,203,93,142	0,5552,7446,7993,8270,8782,10032	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,cd_19,Hs68	25242744,26873924,23446348,23249747
hsa_circ_00816	chr9:135209994-135229142|-	chr9:132334607-132353755|-	SETX	19148	NM_015046	952	6	120,220,110,211,184,107	0,1688,8082,11653,14644,19041	H9 hESCs	25242744
hsa_circ_00854	chr1:22074630-22078108|-	chr1:21748137-21751615|-	USP48	3478	NM_032236	243	2	134,109	0,3369	H9 hESCs,normal brain tissue,glioblastoma,Hs68	25242744,26873924,23249747
hsa_circ_00905	chr19:34685382-34706566|+	chr19:34194477-34215661|+	LSM14A	21184	NM_015578	660	5	164,130,123,177,66	0,2156,14451,20646,21118	H9 hESCs,normal brain tissue,glioblastoma,Hs68	25242744,26873924,23249747
hsa_circ_00938	chr8:117668094-117671219|-	chr8:116655855-116658980|-	EIF3H	3125	NM_003756	418	3	150,100,168	0,1359,2957	H9 hESCs,normal brain tissue,glioblastoma,Hs68	25242744,26873924,23249747
hsa_circ_00941	chr9:86292641-86293514|-	chr9:83677726-83678599|-	UBQLN1	873	NM_053067	394	2	235,159	0,714	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,cd_19,Hs68	25242744,26873924,23446348,23249747
hsa_circ_01018	chr8:141828375-141900868|-	chr8:140818276-140890769|-	PTK2	72493	NM_153831	899	8	78,141,55,63,80,88,167,227	0,603,12195,27983,28322,46035,61194,72266	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68	25242744,26873924,23249747
hsa_circ_01155	chr1:42041214-42050989|-	chr1:41575543-41585318|-	HIVEP3	9775	NM_001127714	5728	2	146,5582	0,4193	normal brain tissue	26873924
hsa_circ_01213	chr9:22046749-22056386|+	chr9:22046750-22056387|+	CDKN2B-AS1	9637	NR_047543	409	3	150,123,136	0,2355,9501	oligodendroma,Hs68	26873924,23249747
hsa_circ_01293	chr16:3900297-3901010|-	chr16:3850296-3851009|-	CREBBP	713	NM_001079846	713	1	713	0	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68	25242744,26873924,23249747
hsa_circ_01306	chr3:15073885-15076316|+	chr3:15032378-15034809|+	NR2C2	2431	NM_003298	262	2	122,140	0,2291	glioblastoma,leukemia,leukocyte	26873924,22319583
hsa_circ_01321	chr2:10928822-10930959|-	chr2:10788696-10790833|-	PDIA6	2137	NM_005742	414	4	73,85,141,115	0,200,1052,2022	H9 hESCs	25242744
hsa_circ_01335	chr2:168986050-169038600|-	chr2:168129540-168182090|-	STK39	52550	NM_013233	881	9	66,49,134,102,110,56,142,109,113	0,169,8547,10748,11108,32246,34198,37758,52437	normal brain tissue,glioblastoma,cd_19	26873924,23446348
hsa_circ_01358	chr1:32495898-32510991|+	chr1:32030297-32045390|+	KHDRBS1	15093	NR_073499	1105	9	125,117,147,134,202,68,59,193,60	0,1226,2890,6612,7537,8254,9217,12229,15033	normal brain tissue,Hs68	26873924,23249747
hsa_circ_01461	chr2:242644067-242651486|+	chr2:241704652-241712071|+	ING5	7419	NM_032329	445	4	72,167,112,94	0,4563,6724,7325	H9 hESCs,cd_19,Hs68,leukemia,leukocyte	25242744,23446348,23249747,22319583
hsa_circ_01572	chr21:17205666-17214859|+	chr21:15833347-15842540|+	USP25	9193	NM_013396	344	2	201,143	0,9050	normal brain tissue,glioblastoma,oligodendroma,Hs68,leukemia,leukocyte	26873924,23249747,22319583
hsa_circ_01662	chr13:21742126-21742538|-	chr13:21167987-21168399|-	SKA3	412	NM_145061	412	1	412	0	H9 hESCs,glioblastoma,oligodendroma,cd_19,neutr	25242744,26873924,23446348
hsa_circ_01665	chr7:72361165-72361649|+	chr7:72890626-72891110|+	POM121	484	NM_001257190	305	2	127,178	0,306	H9 hESCs,Hs68	25242744,23249747
hsa_circ_01710	chr17:26918715-26920084|-	chr17:28591697-28593066|-	SPAG5	1369	NM_006461	1260	2	175,1085	0,284	Hs68	23249747
hsa_circ_01764	chr9:20923658-20933102|+	chr9:20923659-20933103|+	FOCAD	9444	NM_017794	555	4	109,117,239,90	0,2641,5698,9354	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68,leukemia	25242744,26873924,23249747,22319583
hsa_circ_01775	chr20:39830696-39833706|-	chr20:41202056-41205066|-	ZHX3	3010	NM_015035	3010	1	3010	0	normal brain tissue,glioblastoma	26873924
hsa_circ_01803	chr16:47531309-47644831|+	chr16:47497398-47610920|+	PHKB	113522	NM_001031835	1382	13	90,139,100,108,81,116,64,96,198,58,78,159,95	0,2357,5592,14266,18122,50034,82896,90269,91506,96101,96738,98974,113427	normal brain tissue,glioblastoma,Hs68	26873924,23249747
hsa_circ_01892	chr9:95009658-95014167|-	chr9:92247376-92251885|-	IARS	4509	NM_002161	562	5	175,84,103,122,78	0,2481,2810,3336,4431	H9 hESCs	25242744
hsa_circ_01945	chr6:83667030-83754378|-	chr6:82957311-83044659|-	UBE3D	87348	NM_198920	784	6	139,164,109,70,70,232	0,61661,65141,66657,81104,87116	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68	25242744,26873924,23249747
hsa_circ_02010	chr7:155499553-155511137|+	chr7:155706859-155718443|+	RBM33	11584	NM_053043	521	3	209,253,59	0,4343,11525	H9 hESCs,glioblastoma,Hs68	25242744,26873924,23249747
hsa_circ_02087	chr4:41015599-41016415|-	chr4:41013582-41014398|-	APBB2	816	NM_173075	816	1	816	0	H9 hESCs,normal brain tissue,Hs68	25242744,26873924,23249747
hsa_circ_02135	chr22:46096161-46136418|+	chr22:45700281-45740538|+	ATXN10	40257	NM_001167621	782	6	97,159,81,166,109,170	0,2407,18131,29143,38449,40087	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,HEK293,Hs68,leukemia	25242744,26873924,23446348,23249747,22319583
hsa_circ_02269	chr7:140055467-140058585|-	chr7:140355667-140358785|-	SLC37A3	3118	NM_032295	243	2	97,146	0,2972	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68	25242744,26873924,23249747
hsa_circ_02432	chr15:80412669-80415142|+	chr15:80120327-80122800|+	ZFAND6	2473	NM_001242912	381	3	171,109,101	0,1384,2372	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,cd_19,neutr,Hs68,leukemia,leukocyte	25242744,26873924,23446348,23249747,22319583
hsa_circ_02467	chr2:44139570-44153100|-	chr2:43912431-43925961|-	LRPPRC	13530	NM_133259	539	5	127,109,143,91,69	0,5593,5824,12635,13461	H9 hESCs,Hs68	25242744,23249747
hsa_circ_02506	chr11:72695132-72700142|-	chr11:72984087-72989097|-	FCHSD2	5010	NM_014824	318	3	129,55,134	0,974,4876	normal brain tissue,glioblastoma,oligodendroma,Hs68	26873924,23249747
hsa_circ_02507	chr1:21083658-21100103|-	chr1:20757165-20773610|-	HP1BP3	16445	NM_016287	631	5	91,155,81,144,160	0,8211,10418,13764,16285	H9 hESCs,normal brain tissue,glioblastoma,cd_19,neutr,Hs68,leukemia,leukocyte	25242744,26873924,23446348,23249747,22319583
hsa_circ_02581	chr10:128768965-128926028|+	chr10:126970701-127127764|+	DOCK1	157063	NM_001380	2738	26	84,41,56,97,149,136,158,82,136,73,80,126,125,99,73,104,184,98,90,101,135,109,71,107,128,96	0,7246,11216,16819,19753,26046,27390,28652,29470,38030,41593,48008,52498,53983,55650,60948,61435,67017,71923,72362,81979,90966,135529,139546,154772,156967	H9 hESCs	25242744
hsa_circ_02610	chr17:62289933-62291602|-	chr17:64212573-64214242|-	TEX2	1669	NM_018469	1669	1	1669	0	normal brain tissue,oligodendroma,Hs68	26873924,23249747
hsa_circ_02620	chr1:63042932-63091072|-	chr1:62577261-62625401|-	DOCK7	48140	NM_001272001	830	7	102,139,71,118,163,94,143	0,1566,5922,9245,41444,42638,47997	normal brain tissue,glioblastoma,oligodendroma	26873924
hsa_circ_02666	chr15:63966540-63981898|-	chr15:63674341-63689699|-	HERC1	15358	NM_003922	1909	6	776,521,84,240,177,111	0,3503,5735,6195,12017,15247	H9 hESCs	25242744
hsa_circ_02684	chr17:61841375-61843554|-	chr17:63764015-63766194|-	CCDC47	2179	NM_020198	566	3	175,108,283	0,724,1896	normal brain tissue,glioblastoma,Hs68	26873924,23249747
hsa_circ_02718	chr15:75706545-75715164|-	chr15:75414204-75422823|-	SIN3A	8619	NM_001145357	284	2	107,177	0,8442	H9 hESCs,normal brain tissue	25242744,26873924
hsa_circ_02749	chr13:30104674-30110339|-	chr13:29530537-29536202|-	SLC7A1	5665	NM_003045	718	3	175,159,384	0,2286,5281	H9 hESCs,normal brain tissue,oligodendroma,Hs68	25242744,26873924,23249747
hsa_circ_02822	chr11:93429485-93433352|+	chr11:93696319-93700186|+	KIAA1731	3867	NM_033395	3603	2	98,3505	0,362	leukemia	22319583
hsa_circ_02879	chr10:93185037-93221941|+	chr10:91425280-91462184|+	HECTD2	36904	NM_173497	462	4	130,139,103,90	0,35146,35973,36814	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68	25242744,26873924,23249747
hsa_circ_02895	chr21:38480691-38536517|+	chr21:37108391-37164215|+	TTC3	55826	NM_001001894	2490	22	55,163,46,124,64,61,85,135,81,113,121,123,102,93,65,137,327,252,47,57,74,165	0,13425,14591,16227,17688,20611,24290,26988,30242,32169,36133,39089,40154,41686,42428,43501,44559,48265,51309,52412,53600,55661	normal brain tissue	26873924
hsa_circ_02918	chr8:52773404-52773806|-	chr8:51860844-51861246|-	PCMTD1	402	NM_052937	402	1	402	0	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,HEK293,cd_19,cd_34,neutr	25242744,26873924,23446348
hsa_circ_02982	chr6:161469647-161471011|+	chr6:161048615-161049979|+	MAP3K4	1364	NM_005922	1364	1	1364	0	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma	25242744,26873924
hsa_circ_03019	chr16:56419830-56448256|-	chr16:56385918-56414344|-	AMFR	28426	NM_001144	1125	9	104,191,111,134,133,41,153,165,93	0,3266,15814,17066,18990,19285,22045,23505,28333	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68	25242744,26873924,23249747
hsa_circ_03024	chr2:128922303-128928858|+	chr2:128164729-128171284|+	UGGT1	6555	NM_020120	279	3	96,103,80	0,5558,6475	H9 hESCs,normal brain tissue,glioblastoma,Hs68	25242744,26873924,23249747
hsa_circ_03042	chr14:45564423-45566208|+	chr14:45095220-45097005|+	PRPF39	1785	NM_017922	588	3	343,126,119	0,882,1666	cd_19,Hs68,leukocyte	23446348,23249747,22319583
hsa_circ_03063	chr10:5810175-5842668|-	chr10:5768212-5800705|-	GDI2	32493	NM_001494	946	7	172,100,132,199,135,100,108	0,5629,16929,17639,26672,28550,32385	normal brain tissue	26873924
hsa_circ_03189	chr1:225140371-225195246|+	chr1:224952669-225007544|+	DNAH14	54875	NM_001373	1140	9	110,140,150,131,153,116,63,145,132	0,2289,7483,11809,14761,16089,21421,50113,54743	H9 hESCs	25242744
hsa_circ_03190	chr8:61653817-61655656|+	chr8:60741258-60743097|+	CHD7	1839	NM_017780	1839	1	1839	0	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,leukemia	25242744,26873924,22319583
hsa_circ_03234	chr3:196118683-196134264|-	chr3:196391812-196407393|-	UBXN7	15581	NM_015562	395	4	113,66,68,148	0,1741,11139,15433	normal brain tissue,glioblastoma	26873924
hsa_circ_03242	chr1:172525008-172539870|+	chr1:172555868-172570730|+	SUCO	14862	NM_014283	761	6	155,138,151,124,125,68	0,1411,1775,13150,14178,14794	normal brain tissue,oligodendroma	26873924
hsa_circ_03262	chr5:142434003-142437312|+	chr5:143054438-143057747|+	ARHGAP26	3309	NM_015071	253	3	88,59,106	0,1589,3203	H9 hESCs,normal brain tissue	25242744,26873924
hsa_circ_03280	chr3:50095160-50099541|+	chr3:50057727-50062108|+	RBM6	4381	NM_005777	893	7	276,161,98,43,82,86,147	0,674,1921,3228,3412,3734,4234	normal brain tissue	26873924
hsa_circ_03283	chr1:95609446-95616975|+	chr1:95143890-95151419|+	TMEM56	7529	NM_152487	410	4	166,90,59,95	0,4811,6317,7434	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,cd_19,neutr,leukocyte	25242744,26873924,23446348,22319583
hsa_circ_03316	chr20:54956488-54961589|-	chr20:56381432-56386533|-	AURKA	5101	NM_198435	663	4	139,192,55,277	0,1552,2837,4824	H9 hESCs,glioblastoma,Hs68	25242744,26873924,23249747
hsa_circ_03318	chr10:69714351-69726559|-	chr10:67954594-67966802|-	HERC4	12208	NM_022079	555	5	144,168,99,24,120	0,368,2283,4518,12088	H9 hESCs,normal brain tissue,oligodendroma	25242744,26873924
hsa_circ_03360	chr12:49333437-49334971|-	chr12:48939654-48941188|-	ARF3	1534	NM_001659	477	3	125,111,241	0,342,1293	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68	25242744,26873924,23249747
hsa_circ_03370	chr6:76412360-76412788|+	chr6:75702644-75703072|+	SENP6	428	NM_001100409	428	1	428	0	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,cd_19,neutr,Hs68	25242744,26873924,23446348,23249747
hsa_circ_03523	chr4:52729602-52758017|+	chr4:51863436-51891851|+	DCUN1D4	28415	NM_015115	481	6	71,40,115,92,71,92	0,233,10834,14326,23131,28323	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68	25242744,26873924,23249747
hsa_circ_03681	chr3:51474985-51477919|-	chr3:51440969-51443903|-	VPRBP	2934	NM_001171904	753	3	102,513,138	0,415,2796	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68	25242744,26873924,23249747
hsa_circ_03723	chr20:62407030-62422143|-	chr20:63775677-63790790|-	ZBTB46	15113	NM_025224	1255	2	285,970	0,14143	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68	25242744,26873924,23249747
hsa_circ_03726	chr12:69644908-69656342|+	chr12:69251128-69262562|+	CPSF6	11434	NM_007007	1599	8	210,104,146,174,505,116,154,190	0,1922,5568,6603,7461,8299,8915,11244	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,HEK293,cd_19,leukemia,leukocyte	25242744,26873924,23446348,22319583
hsa_circ_03752	chr4:25128885-25160729|-	chr4:25127263-25159107|-	SEPSECS	31844	NM_016955	1006	8	94,92,130,103,154,159,119,155	0,17510,17740,24696,27734,28773,29592,31689	normal brain tissue,oligodendroma	26873924
hsa_circ_03760	chr22:32134372-32134897|-	chr22:31738386-31738911|-	PRR14L	525	NM_173566	525	1	525	0	H9 hESCs	25242744
hsa_circ_03798	chr14:68228082-68229536|-	chr14:67761365-67762819|-	ZFYVE26	1454	NM_015346	577	3	219,210,148	0,837,1306	normal brain tissue,oligodendroma,cd_19,Hs68	26873924,23446348,23249747
hsa_circ_03841	chr8:68044185-68049838|+	chr8:67131950-67137603|+	CSPP1	5653	NM_024790	278	2	130,148	0,5505	normal brain tissue,glioblastoma,oligodendroma,Hs68	26873924,23249747
hsa_circ_04029	chr6:18160113-18166609|+	chr6:18159882-18166378|+	KDM1B	6496	NM_153042	430	4	100,128,90,112	0,1444,2952,6384	normal brain tissue,glioblastoma,oligodendroma,cd_19,cd_34,Hs68	26873924,23446348,23249747
hsa_circ_04102	chr2:239090705-239093928|-	chr2:238182064-238185287|-	ILKAP	3223	NM_030768	411	4	122,88,94,107	0,1588,1955,3116	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,HEK293,cd_19,cd_34,neutr,Hs68	25242744,26873924,23446348,23249747
hsa_circ_04106	chrX:10534927-10535643|-	chrX:10566887-10567603|-	MID1	716	NM_001193279	716	1	716	0	H9 hESCs,normal brain tissue,glioblastoma,Hs68	25242744,26873924,23249747
hsa_circ_04110	chr1:235643369-235658138|-	chr1:235480053-235494828|-	B3GALNT2	14769	NM_152490	539	4	96,194,101,148	0,4268,9103,14621	H9 hESCs,Hs68	25242744,23249747
hsa_circ_04135	chr17:80521229-80526077|+	chr17:82563353-82568201|+	FOXK2	4848	NM_004514	343	2	195,148	0,4700	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,HEK293,cd_19,cd_34,Hs68,leukemia,leukocyte	25242744,26873924,23446348,23249747,22319583
hsa_circ_04136	chr6:18236682-18258636|-	chr6:18236451-18258405|-	DEK	21954	NM_003472	902	7	149,136,189,121,95,110,102	0,929,13199,19279,19909,21501,21852	normal brain tissue	26873924
hsa_circ_04225	chr2:109455640-109473426|+	chr2:108839184-108856970|+	CCDC138	17786	NM_144978	487	3	117,193,177	0,7553,17609	H9 hESCs,normal brain tissue,cd_19,Hs68,leukocyte	25242744,26873924,23446348,23249747,22319583
hsa_circ_04236	chr7:27668989-27689252|-	chr7:27629370-27649633|-	HIBADH	20263	NM_152740	393	3	122,110,161	0,2965,20102	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68	25242744,26873924,23249747
hsa_circ_04314	chr22:50191452-50198008|-	chr22:49797804-49804360|-	BRD1	6556	NM_014577	731	4	313,129,132,157	0,753,1183,6399	normal brain tissue,oligodendroma,leukemia	26873924,22319583
hsa_circ_04345	chr11:85685750-85695016|-	chr11:85974707-85983973|-	PICALM	9266	NM_001008660	560	7	105,60,24,100,31,132,108	0,1915,3362,6421,7037,7164,9158	H9 hESCs,normal brain tissue,glioblastoma,Hs68,leukocyte	25242744,26873924,23249747,22319583
hsa_circ_04363	chr6:13639794-13644961|-	chr6:13639562-13644729|-	RANBP9	5167	NM_005493	598	4	191,109,113,185	0,1636,2916,4982	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,neutr,Hs68,leukemia,leukocyte	25242744,26873924,23446348,23249747,22319583
hsa_circ_04451	chr9:86293355-86301070|-	chr9:83678440-83686155|-	UBQLN1	7715	NM_013438	690	4	159,263,116,152	0,1334,4510,7563	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma	25242744,26873924
hsa_circ_04499	chr2:44428324-44436466|+	chr2:44201185-44209327|+	PPM1B	8142	NM_001033557	978	2	860,118	0,8024	H9 hESCs,normal brain tissue,glioblastoma,Hs68	25242744,26873924,23249747
hsa_circ_04513	chr9:33986757-34017187|-	chr9:33986759-34017189|-	UBAP2	30430	NM_018449	561	5	78,154,111,78,140	0,2213,9463,12027,30290	normal brain tissue,glioblastoma,oligodendroma	26873924
hsa_circ_04586	chr13:30801548-30815223|-	chr13:30227411-30241086|-	KATNAL1	13675	NM_032116	655	5	135,127,159,106,128	0,3056,3902,13048,13547	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68	25242744,26873924,23249747
hsa_circ_04626	chr13:25478063-25487229|-	chr13:24903925-24913091|-	CENPJ	9166	NR_047594	2891	7	133,1615,103,109,297,124,510	0,1420,3165,4092,5864,8020,8656	glioblastoma	26873924
hsa_circ_04692	chr4:15626874-15646331|-	chr4:15625251-15644708|-	FBXL5	19457	NR_036464	1870	9	726,83,149,126,183,187,96,104,216	0,1621,2633,5414,11242,13256,15536,16272,19241	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma	25242744,26873924
hsa_circ_04719	chr17:33310020-33310571|+	chr17:34983001-34983552|+	LIG3	551	NM_013975	551	1	551	0	Hs68	23249747
hsa_circ_04802	chr10:103916775-103917971|+	chr10:102157018-102158214|+	NOLC1	1196	NM_004741	487	4	56,140,125,166	0,170,412,1030	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,HEK293,cd_19,Hs68,leukemia	25242744,26873924,23446348,23249747,22319583
hsa_circ_04822	chr18:39607406-39629569|+	chr18:42027442-42049605|+	PIK3C3	22163	NM_002647	779	8	106,117,132,129,70,65,85,75	0,1882,6383,10249,11338,13234,16290,22088	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68,leukemia	25242744,26873924,23249747,22319583
hsa_circ_04835	chr4:73944358-73958017|-	chr4:73078641-73092300|-	ANKRD17	13659	NM_198889	2081	3	249,198,1634	0,6607,12025	H9 hESCs,normal brain tissue,Hs68	25242744,26873924,23249747
hsa_circ_04900	chr17:65941524-65944422|+	chr17:67945408-67948306|+	BPTF	2898	NM_182641	1226	3	917,83,226	0,2317,2672	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,HEK293,cd_19,neutr,leukocyte	25242744,26873924,23446348,22319583
hsa_circ_04921	chr13:41892941-41910892|+	chr13:41318805-41336756|+	NAA16	17951	NM_001110798	875	7	105,158,135,154,120,96,107	0,1861,4250,6892,9918,12468,17844	normal brain tissue	26873924
hsa_circ_04987	chr3:4452548-4461830|-	chr3:4410864-4420146|-	SUMF1	9282	NM_001164674	435	4	114,115,123,83	0,6263,7145,9199	H9 hESCs,normal brain tissue,oligodendroma,neutr,Hs68	25242744,26873924,23446348,23249747
hsa_circ_05044	chr1:31465236-31468067|-	chr1:30992389-30995220|-	PUM1	2831	NM_001020658	438	2	271,167	0,2664	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,cd_19,Hs68	25242744,26873924,23446348,23249747
hsa_circ_05104	chr3:93714717-93722752|+	chr3:93995873-94003908|+	ARL13B	8035	NM_182896	321	2	71,250	0,7785	normal brain tissue,glioblastoma,oligodendroma,Hs68	26873924,23249747
hsa_circ_05206	chr3:8977554-8983488|-	chr3:8935870-8941804|-	RAD18	5934	NM_020165	623	3	185,100,338	0,3683,5596	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,HEK293,cd_19,Hs68	25242744,26873924,23446348,23249747
hsa_circ_05348	chr7:56049902-56051561|+	chr7:55982209-55983868|+	GBAS	1659	NM_001483	212	2	71,141	0,1518	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,cd_34,Hs68,leukemia	25242744,26873924,23446348,23249747,22319583
hsa_circ_05364	chr9:26861063-26887511|-	chr9:26861065-26887513|-	CAAP1	26448	NM_001167575	436	4	74,76,85,201	0,23744,25038,26247	H9 hESCs	25242744
hsa_circ_05421	chr10:12039670-12056183|-	chr10:11997671-12014184|-	UPF2	16513	NM_080599	699	5	86,104,150,198,161	0,2234,4004,6858,16352	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,cd_19,Hs68	25242744,26873924,23446348,23249747
hsa_circ_05529	chr11:76174864-76183884|+	chr11:76463820-76472840|+	C11orf30	9020	NM_020193	537	2	260,277	0,8743	H9 hESCs,normal brain tissue,Hs68,leukemia	25242744,26873924,23249747,22319583
hsa_circ_05652	chr1:21295966-21307720|-	chr1:20969473-20981227|-	EIF4G3	11754	NM_001198801	516	4	123,98,115,180	0,3528,10860,11574	glioblastoma,oligodendroma,HEK293,Hs68	26873924,23446348,23249747
hsa_circ_05755	chr5:74109664-74137504|-	chr5:74813839-74841679|-	FAM169A	27840	NM_015566	673	5	180,172,86,100,135	0,20586,25125,26234,27705	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68	25242744,26873924,23249747
hsa_circ_05762	chr2:72945231-72960247|-	chr2:72718102-72733118|-	EXOC6B	15016	NM_015189	390	4	205,46,91,48	0,12904,13052,14968	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68	25242744,26873924,23249747
hsa_circ_05863	chr12:26217430-26220646|+	chr12:26064497-26067713|+	RASSF8	3216	NM_001164746	1035	2	890,145	0,3071	normal brain tissue	26873924
hsa_circ_05912	chr2:174987907-175006728|-	chr2:174123179-174142000|-	OLA1	18821	NM_013341	355	3	98,81,176	0,415,18645	normal brain tissue,glioblastoma	26873924
hsa_circ_05961	chr5:145144493-145205763|-	chr5:145764930-145826200|-	PRELID2	61270	NM_138492	672	6	70,106,161,74,58,203	0,31511,52963,55014,58146,61067	H9 hESCs,normal brain tissue,oligodendroma,Hs68	25242744,26873924,23249747
hsa_circ_06006	chr4:5664833-5667376|-	chr4:5663106-5665649|-	EVC2	2543	NM_001166136	275	2	140,135	0,2408	H9 hESCs,Hs68	25242744,23249747
hsa_circ_06025	chr4:144464661-144465125|+	chr4:143543508-143543972|+	SMARCA5	464	NM_003601	269	2	149,120	0,344	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,HEK293,cd_19,cd_34,neutr,leukemia,leukocyte	25242744,26873924,23446348,22319583
hsa_circ_06056	chr17:80521229-80545148|+	chr17:82563353-82587272|+	FOXK2	23919	NM_004514	1367	7	195,148,147,194,176,297,210	0,4700,8370,19387,20659,22550,23709	H9 hESCs	25242744
hsa_circ_06076	chr14:67736417-67770316|+	chr14:67269700-67303599|+	MPP5	33899	NM_022474	1277	7	83,520,209,78,147,162,78	0,9317,22810,31688,32271,32709,33821	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma	25242744,26873924
