circbase	hg19	hg38	chrom	chromStart	chromEnd	score	strand	thickStart	thickEnd	itemRGB	blockCount	blockSizes	blockStarts
hsa_circ_0004085	chr1:23107913-23111569|+	chr1:22781420-22785076|+	chr1	23107913	23111569	1000	+	23107913	23111569	255,0,0	2	65,685	0,2971
hsa_circ_0006913	chr1:27087346-27089776|+	chr1:26760855-26763285|+	chr1	27087346	27089776	1000	+	27087346	27089776	255,0,0	4	241,90,168,313	0,528,1296,2117
hsa_circ_0008057	chr1:28362054-28374937|-	chr1:28035543-28048426|-	chr1	28362054	28374937	1000	-	28362054	28374937	0,0,255	4	137,67,80,44	0,3295,7027,12839
hsa_circ_0011137	chr1:28800065-28807116|+	chr1:28473553-28480604|+	chr1	28800065	28807116	1000	+	28800065	28807116	255,0,0	3	598,185,154	0,2553,6897
hsa_circ_0000043	chr1:31465236-31468067|-	chr1:30992389-30995220|-	chr1	31465236	31468067	1000	-	31465236	31468067	0,0,255	2	271,167	0,2664
hsa_circ_0000045	chr1:31532050-31532424|-	chr1:31059203-31059577|-	chr1	31532050	31532424	1000	-	31532050	31532413	0,0,255	1	374	0
hsa_circ_0007364	chr1:32381495-32385259|-	chr1:31915894-31919658|-	chr1	32381495	32385259	1000	-	32381495	32384666	0,0,255	2	93,689	0,3075
hsa_circ_0004289	chr1:32495898-32510991|+	chr1:32030297-32045390|+	chr1	32495898	32510991	1000	+	32495898	32508225	255,0,0	8	125,117,147,134,202,68,59,2864	0,1226,2890,6612,7537,8254,9217,12229
hsa_circ_0003238	chr1:32653554-32655850|+	chr1:32187953-32190249|+	chr1	32653554	32655850	1000	+	32653554	32655850	255,0,0	2	171,195	0,2101
hsa_circ_0000048	chr1:33413822-33415375|-	chr1:32948221-32949774|-	chr1	33413822	33415375	1000	-	33413822	33415375	0,0,255	2	145,206	0,1347
hsa_circ_0011536	chr1:35824525-35827390|+	chr1:35358924-35361789|+	chr1	35824525	35827390	1000	+	35824525	35827390	255,0,0	3	522,62,171	0,2269,2694
hsa_circ_0011821	chr1:39816456-39824936|+	chr1:39350784-39359264|+	chr1	39816456	39824936	1000	+	39816456	39824936	255,0,0	5	234,225,519,177,124	0,2222,6590,7912,8356
hsa_circ_0000057	chr1:40319641-40323089|-	chr1:39853969-39857417|-	chr1	40319641	40323089	1000	-	40319641	40323089	0,0,255	2	97,143	0,3305
hsa_circ_0011950	chr1:42041214-42050989|-	chr1:41575543-41585318|-	chr1	42041214	42050989	1000	-	42041214	42050468	0,0,255	2	146,5582	0,4193
hsa_circ_0012144	chr1:44773981-44785416|-	chr1:44308309-44319744|-	chr1	44773981	44785416	1000	-	44773981	44785416	0,0,255	3	92,60,117	0,4859,11318
hsa_circ_0012397	chr1:51001040-51061888|-	chr1:50535368-50596216|-	chr1	51001040	51061888	1000	-	51001040	51061888	0,0,255	7	89,137,155,82,64,127,96	0,4223,31708,47249,48283,49316,60752
hsa_circ_0012593	chr1:53736699-53737018|-	chr1:53271027-53271346|-	chr1	53736699	53737018	1000	-	53736699	53737018	0,0,255	2	126,120	0,199
hsa_circ_0000072	chr1:58971731-59002413|-	chr1:58506059-58536741|-	chr1	58971731	59002413	1000	-	58971731	59002413	0,0,255	6	150,75,129,108,174,229	0,21201,24541,27893,28098,30453
hsa_circ_0002316	chr1:58971731-59004982|-	chr1:58506059-58539310|-	chr1	58971731	59004982	1000	-	58971731	59004966	0,0,255	7	150,75,129,108,174,229,516	0,21201,24541,27893,28098,30453,32735
hsa_circ_0012814	chr1:63042932-63091072|-	chr1:62577261-62625401|-	chr1	63042932	63091072	1000	-	63042932	63091072	0,0,255	7	102,139,71,118,163,94,143	0,1566,5922,9245,41444,42638,47997
hsa_circ_0002454	chr1:65830317-65831879|+	chr1:65364634-65366196|+	chr1	65830317	65831879	1000	+	65830317	65831879	255,0,0	3	151,50,149	0,1250,1413
hsa_circ_0003513	chr1:94360169-94367225|-	chr1:93894613-93901669|-	chr1	94360169	94367225	1000	-	94360169	94367225	0,0,255	4	115,203,60,85	0,2004,3225,6971
hsa_circ_0003310	chr1:94685813-94697199|-	chr1:94220257-94231643|-	chr1	94685813	94697199	1000	-	94685813	94697167	0,0,255	2	135,237	0,11149
hsa_circ_0000095	chr1:95609446-95616975|+	chr1:95143890-95151419|+	chr1	95609446	95616975	1000	+	95609446	95616975	255,0,0	4	166,90,59,95	0,4811,6317,7434
hsa_circ_0000098	chr1:101372407-101387397|+	chr1:100906851-100921841|+	chr1	101372407	101387397	1000	+	101372407	101387397	255,0,0	6	114,88,127,144,51,136	0,4211,5260,6811,11225,14854
hsa_circ_0000108	chr1:113143415-113153625|-	chr1:112600793-112611003|-	chr1	113143415	113153625	1000	-	113143415	113153625	0,0,255	2	55,163	0,10047
hsa_circ_0000109	chr1:113196219-113202401|+	chr1:112653597-112659779|+	chr1	113196219	113202401	1000	+	113196219	113202401	255,0,0	4	64,207,80,79	0,867,5424,6103
hsa_circ_0004220	chr1:146724277-146731572|+	chr1:147252622-147259918|+	chr1	146724277	146731572	1000	+	146724277	146731572	255,0,0	5	113,107,115,32,82	0,2247,3190,3907,7213
hsa_circ_0002394	chr1:151630710-151641111|+	chr1:151658234-151668635|+	chr1	151630710	151641111	1000	+	151630710	151641111	255,0,0	5	193,65,105,79,164	0,2563,3931,7698,10237
hsa_circ_0014586	chr1:155385534-155429689|-	chr1:155415743-155459898|-	chr1	155385534	155429689	1000	-	155385534	155429689	0,0,255	3	180,742,102	0,22583,44053
hsa_circ_0014590	chr1:155447676-155452240|-	chr1:155477885-155482449|-	chr1	155447676	155452240	1000	-	155447676	155452240	0,0,255	1	4564	0
hsa_circ_0014592	chr1:155490890-155491409|-	chr1:155521099-155521618|-	chr1	155490890	155491409	1000	-	155490890	155491310	0,0,255	1	519	0
hsa_circ_0014611	chr1:155686796-155695810|+	chr1:155717005-155726019|+	chr1	155686796	155695810	1000	+	155686796	155695810	255,0,0	4	123,102,109,93	0,4511,8376,8921
hsa_circ_0009109	chr1:167935866-167944253|+	chr1:167966628-167975015|+	chr1	167935866	167944253	1000	+	167935866	167944253	255,0,0	2	93,186	0,8201
hsa_circ_0009175	chr1:180366650-180382606|-	chr1:180397515-180413471|-	chr1	180366650	180382606	1000	-	180366650	180382606	0,0,255	2	90,106	0,15850
hsa_circ_0000175	chr1:205585605-205593019|-	chr1:205616477-205623891|-	chr1	205585605	205593019	1000	-	205585605	205593019	0,0,255	2	4361,216	0,7198
hsa_circ_0002274	chr1:211952259-211966532|-	chr1:211778917-211793190|-	chr1	211952259	211966532	1000	-	211952259	211966532	0,0,255	4	127,274,96,119	0,4311,8714,14154
hsa_circ_0007015	chr1:214625147-214638300|-	chr1:214451804-214464957|-	chr1	214625147	214638300	1000	-	214625147	214638146	0,0,255	2	170,328	0,12825
hsa_circ_0001978	chr1:224142178-224149975|-	chr1:223954476-223962273|-	chr1	224142178	224149975	1000	-	224149975	224149975	0,0,255	1	7797	0
hsa_circ_0016601	chr1:225140371-225195246|+	chr1:224952669-225007544|+	chr1	225140371	225195246	1000	+	225140404	225195246	255,0,0	9	110,140,150,131,153,116,63,145,132	0,2289,7483,11809,14761,16089,21421,50113,54743
hsa_circ_0003659	chr1:227327276-227335260|-	chr1:227139575-227147559|-	chr1	227327276	227335260	1000	-	227327276	227335260	0,0,255	4	167,80,249,201	0,3369,5913,7783
hsa_circ_0002343	chr1:235643369-235658138|-	chr1:235480053-235494828|-	chr1	235643369	235658138	1000	-	235643369	235658138	0,0,255	4	96,194,101,148	0,4268,9103,14621
hsa_circ_0004061	chr1:240421244-240519208|+	chr1:240257944-240355908|+	chr1	240421244	240519208	1000	+	240421244	240519208	255,0,0	8	88,62,92,130,147,60,121,93	0,36877,71131,71394,72658,75942,76164,97871
hsa_circ_0017241	chr1:243579003-243589860|+	chr1:243415701-243426558|+	chr1	243579003	243589860	1000	+	243579003	243589860	255,0,0	3	128,109,132	0,2266,10725
hsa_circ_0017306	chr1:246490502-246498776|-	chr1:246327200-246335474|-	chr1	246490502	246498776	1000	-	246490502	246498776	0,0,255	3	137,58,108	0,3279,8166
hsa_circ_0005772	chr10:909682-931700|-	chr10:863742-885760|-	chr10	909682	931700	1000	-	909682	931661	0,0,255	4	141,148,60,120	0,380,20704,21898
hsa_circ_0000211	chr10:7318853-7327916|-	chr10:7276891-7285954|-	chr10	7318853	7327916	1000	-	7318853	7327916	0,0,255	3	98,247,89	0,7012,8974
hsa_circ_0000213	chr10:12039670-12056183|-	chr10:11997671-12014184|-	chr10	12039670	12056183	1000	-	12039670	12056183	0,0,255	5	86,104,150,198,161	0,2234,4004,6858,16352
hsa_circ_0004630	chr10:12123470-12136270|+	chr10:12081471-12094271|+	chr10	12123470	12136270	1000	+	12123470	12136270	255,0,0	6	156,212,195,270,172,199	0,3068,6063,7514,10041,12601
hsa_circ_0007242	chr10:13169744-13178897|+	chr10:13127744-13136897|+	chr10	13169744	13178897	1000	+	13169744	13178866	255,0,0	4	159,131,80,153	0,4322,5757,9000
hsa_circ_0004373	chr10:13705452-13717044|-	chr10:13663452-13675044|-	chr10	13705452	13717044	1000	-	13705452	13717044	0,0,255	4	57,229,123,134	0,2644,6953,11458
hsa_circ_0000219	chr10:15858833-15889942|-	chr10:15816834-15847943|-	chr10	15858833	15889942	1000	-	15858833	15889942	0,0,255	9	81,71,80,74,115,52,174,61,80	0,4821,16795,17708,20369,21393,24591,26377,31029
hsa_circ_0017852	chr10:15879202-15889942|-	chr10:15837203-15847943|-	chr10	15879202	15889942	1000	-	15879202	15889942	0,0,255	5	115,52,174,61,80	0,1024,4222,6008,10660
hsa_circ_0018168	chr10:34558584-34573173|-	chr10:34269656-34284245|-	chr10	34558584	34573173	1000	-	34558584	34573173	0,0,255	2	243,111	0,14478
hsa_circ_0018170	chr10:34558584-34637043|-	chr10:34269656-34348115|-	chr10	34558584	34637043	1000	-	34558584	34637043	0,0,255	8	243,111,232,228,45,152,190,160	0,14478,47450,61460,66542,67618,71970,78299
hsa_circ_0004915	chr10:51632845-51656468|+	chr10:45939360-45962994|-	chr10	51632845	51656468	1000	+	51656468	51656468	255,0,0	1	23623	0
hsa_circ_0003259	chr10:69773782-69804320|-	chr10:68014025-68044563|-	chr10	69773782	69804320	1000	-	69773782	69804320	0,0,255	6	161,131,92,222,77,160	0,11520,18752,19939,24067,30378
hsa_circ_0006151	chr10:70227879-70229920|-	chr10:68468122-68470163|-	chr10	70227879	70229920	1000	-	70227879	70229920	0,0,255	2	184,183	0,1858
hsa_circ_0000240	chr10:70513608-70532856|+	chr10:68753851-68773099|+	chr10	70513608	70532856	1000	+	70513608	70532856	255,0,0	9	226,114,167,211,84,186,192,240,112	0,862,1518,2421,3442,7155,12036,17354,19136
hsa_circ_0002681	chr10:70547683-70548085|+	chr10:68787926-68788328|+	chr10	70547683	70548085	1000	+	70547683	70548085	255,0,0	2	121,186	0,216
hsa_circ_0004606	chr10:72462067-72468534|+	chr10:70702311-70708778|+	chr10	72462067	72468534	1000	+	72462067	72468534	255,0,0	2	157,191	0,6276
hsa_circ_0007221	chr10:75331178-75336119|-	chr10:73571420-73576361|-	chr10	75331178	75336119	1000	-	75331178	75335416	0,0,255	2	93,850	0,4091
hsa_circ_0019006	chr10:88211723-88233730|-	chr10:86451966-86473973|-	chr10	88211723	88233730	1000	-	88211723	88233730	0,0,255	11	165,116,176,77,98,112,228,112,137,153,96	0,1253,1689,7022,8432,9209,15312,19025,20241,20645,21911
hsa_circ_0007168	chr10:93185037-93221941|+	chr10:91425280-91462184|+	chr10	93185037	93221941	1000	+	93185037	93221941	255,0,0	4	130,139,103,90	0,35146,35973,36814
hsa_circ_0004224	chr10:93841076-93851701|-	chr10:92081319-92091944|-	chr10	93841076	93851701	1000	-	93841076	93851701	0,0,255	2	182,115	0,10510
hsa_circ_0005801	chr10:98303832-98325183|-	chr10:96544075-96565426|-	chr10	98303832	98325183	1000	-	98303832	98325183	0,0,255	7	131,95,167,132,78,161,123	0,3819,7169,8852,15583,17902,21228
hsa_circ_0004896	chr10:99196947-99197507|-	chr10:97437190-97437750|-	chr10	99196947	99197507	1000	-	99196947	99197507	0,0,255	2	85,51	0,509
hsa_circ_0004117	chr10:103699619-103717489|-	chr10:101939862-101957732|-	chr10	103699619	103717489	1000	-	103699619	103717489	0,0,255	3	76,127,83	0,16734,17787
hsa_circ_0000257	chr10:103916775-103917971|+	chr10:102157018-102158214|+	chr10	103916775	103917971	1000	+	103916775	103917971	255,0,0	4	56,140,125,166	0,170,412,1030
hsa_circ_0020022	chr10:112352830-112358048|+	chr10:110593072-110598290|+	chr10	112352830	112358048	1000	+	112352830	112358048	255,0,0	3	151,153,152	0,3325,5066
hsa_circ_0020203	chr10:121685547-121693299|+	chr10:119926035-119933787|+	chr10	121685547	121693299	1000	+	121685547	121693279	255,0,0	6	192,156,103,186,163,102	0,3571,4293,6097,6969,7650
hsa_circ_0020220	chr10:122618154-122650399|+	chr10:120858642-120890887|+	chr10	122618154	122650399	1000	+	122618154	122650399	255,0,0	17	154,174,187,166,115,196,104,177,85,107,76,109,125,148,107,115,172	0,1466,4092,6404,6987,7926,8423,12527,15196,19710,22183,25137,27171,28046,30435,31252,32073
hsa_circ_0000268	chr10:126631025-126631876|+	chr10:124942456-124943307|+	chr10	126631025	126631876	1000	+	126631025	126631876	255,0,0	1	851	0
hsa_circ_0004451	chr10:126631025-126650977|+	chr10:124942456-124962408|+	chr10	126631025	126650977	1000	+	126631062	126631876	255,0,0	1	19952	0
hsa_circ_0005418	chr10:126727565-126799662|-	chr10:125038996-125111093|-	chr10	126727565	126799662	1000	-	126727565	126727623	0,0,255	2	159,104	0,71993
hsa_circ_0002669	chr10:128768965-128798571|+	chr10:126970701-127000307|+	chr10	128768965	128798571	1000	+	128768965	128798571	255,0,0	9	84,41,56,97,149,136,158,82,136	0,7246,11216,16819,19753,26046,27390,28652,29470
hsa_circ_0020384	chr10:128768965-128810638|+	chr10:126970701-127012374|+	chr10	128768965	128810638	1000	+	128768965	128810638	255,0,0	11	84,41,56,97,149,136,158,82,136,73,80	0,7246,11216,16819,19753,26046,27390,28652,29470,38030,41593
hsa_circ_0020396	chr10:128768965-128908618|+	chr10:126970701-127110354|+	chr10	128768965	128908618	1000	+	128768965	128908618	255,0,0	24	84,41,56,97,149,136,158,82,136,73,80,126,125,99,73,104,184,98,90,101,135,109,71,107	0,7246,11216,16819,19753,26046,27390,28652,29470,38030,41593,48008,52498,53983,55650,60948,61435,67017,71923,72362,81979,90966,135529,139546
hsa_circ_0020397	chr10:128768965-128926028|+	chr10:126970701-127127764|+	chr10	128768965	128926028	1000	+	128768965	128926028	255,0,0	26	84,41,56,97,149,136,158,82,136,73,80,126,125,99,73,104,184,98,90,101,135,109,71,107,128,96	0,7246,11216,16819,19753,26046,27390,28652,29470,38030,41593,48008,52498,53983,55650,60948,61435,67017,71923,72362,81979,90966,135529,139546,154772,156967
hsa_circ_0005972	chr10:133784141-133787447|-	chr10:131970637-131973943|-	chr10	133784141	133787447	1000	-	133784141	133787447	0,0,255	4	150,107,85,151	0,226,2396,3155
hsa_circ_0008338	chr11:6962801-6977013|+	chr11:6941570-6955782|+	chr11	6962801	6977013	1000	+	6962801	6977013	255,0,0	4	83,133,96,93	0,1512,1975,14119
hsa_circ_0021148	chr11:9199678-9229179|-	chr11:9178131-9207632|-	chr11	9199678	9229179	1000	-	9199678	9229179	0,0,255	7	235,216,318,188,658,110,72	0,726,2635,15362,25528,28541,29429
hsa_circ_0004099	chr11:9225206-9229179|-	chr11:9203659-9207632|-	chr11	9225206	9229179	1000	-	9225206	9229179	0,0,255	3	658,110,72	0,3013,3901
hsa_circ_0007484	chr11:18305341-18307006|-	chr11:18283794-18285459|-	chr11	18305341	18307006	1000	-	18305341	18307006	0,0,255	2	107,114	0,1551
hsa_circ_0000280	chr11:18312988-18314523|-	chr11:18291441-18292976|-	chr11	18312988	18314523	1000	-	18312988	18314523	0,0,255	2	578,78	0,1457
hsa_circ_0021574	chr11:32953288-32956981|+	chr11:32931742-32935435|+	chr11	32953288	32956981	1000	+	32953288	32956981	255,0,0	1	3693	0
hsa_circ_0009018	chr11:44129232-44135851|+	chr11:44107682-44114301|+	chr11	44129232	44135851	1000	+	44129262	44135851	255,0,0	3	566,90,117	0,1511,6502
hsa_circ_0008355	chr11:44129232-44193292|+	chr11:44107682-44171742|+	chr11	44129232	44193292	1000	+	44129262	44193292	255,0,0	8	566,90,117,196,140,94,93,69	0,1511,6502,17106,19133,22362,36564,63991
hsa_circ_0000295	chr11:45883610-45893784|+	chr11:45862059-45872233|+	chr11	45883610	45893784	1000	+	45883610	45893782	255,0,0	7	89,141,312,152,203,93,142	0,5552,7446,7993,8270,8782,10032
hsa_circ_0007061	chr11:46515157-46534363|-	chr11:46493607-46512813|-	chr11	46515157	46534363	1000	-	46515157	46534363	0,0,255	4	101,81,180,87	0,516,14583,19119
hsa_circ_0008415	chr11:46515157-46570050|-	chr11:46493607-46548500|-	chr11	46515157	46570050	1000	-	46515157	46569930	0,0,255	11	101,81,180,87,1037,147,67,173,184,59,255	0,516,14583,19119,48337,49644,50367,51996,53505,54209,54638
hsa_circ_0021929	chr11:46837748-46842819|-	chr11:46816197-46821268|-	chr11	46837748	46842819	1000	-	46837748	46842782	0,0,255	3	207,194,94	0,2112,4977
hsa_circ_0022201	chr11:59410352-59415386|-	chr11:59642879-59647913|-	chr11	59410352	59415386	1000	-	59410352	59415386	0,0,255	2	156,160	0,4874
hsa_circ_0004162	chr11:59426338-59426942|-	chr11:59658865-59659469|-	chr11	59426338	59426942	1000	-	59426338	59426942	0,0,255	2	81,218	0,386
hsa_circ_0022601	chr11:63426232-63426724|-	chr11:63658760-63659252|-	chr11	63426232	63426724	1000	-	63426232	63426724	0,0,255	2	144,215	0,277
hsa_circ_0005918	chr11:72695132-72700142|-	chr11:72984087-72989097|-	chr11	72695132	72700142	1000	-	72695132	72700142	0,0,255	3	129,55,134	0,974,4876
hsa_circ_0004596	chr11:73418464-73429935|-	chr11:73707419-73718890|-	chr11	73418464	73429935	1000	-	73418464	73429935	0,0,255	3	94,112,106	0,8831,11365
hsa_circ_0001981	chr11:73789159-73789762|-	chr11:74078114-74078717|-	chr11	73789159	73789762	1000	-	73789159	73789762	0,0,255	1	603	0
hsa_circ_0007458	chr11:76174864-76183884|+	chr11:76463820-76472840|+	chr11	76174864	76183884	1000	+	76174864	76183884	255,0,0	2	260,277	0,8743
hsa_circ_0006629	chr11:85685750-85695016|-	chr11:85974707-85983973|-	chr11	85685750	85695016	1000	-	85685750	85695016	0,0,255	7	105,60,24,100,31,132,108	0,1915,3362,6421,7037,7164,9158
hsa_circ_0000347	chr11:85722072-85742653|-	chr11:86011029-86031611|-	chr11	85722072	85742653	1000	-	85722072	85742653	0,0,255	6	107,112,94,103,76,143	0,1251,3840,11337,15261,20438
hsa_circ_0024843	chr11:128963515-129034322|-	chr11:129093620-129164427|-	chr11	128963515	129034322	1000	-	128963515	129034322	0,0,255	4	87,85,92,109	0,29825,31182,70698
hsa_circ_0000371	chr11:128993340-128994789|-	chr11:129123445-129124894|-	chr11	128993340	128994789	1000	-	128993340	128994789	0,0,255	2	85,92	0,1357
hsa_circ_0024946	chr12:459786-465703|-	chr12:350620-356537|-	chr12	459786	465703	1000	-	459786	465703	0,0,255	5	159,120,159,92,106	0,1584,3455,4537,5811
hsa_circ_0025349	chr12:7556130-7586290|-	chr12:7403534-7433694|-	chr12	7556130	7586290	1000	-	7556130	7586290	0,0,255	4	321,321,321,321	0,2997,28881,29839
hsa_circ_0025641	chr12:26217430-26220646|+	chr12:26064497-26067713|+	chr12	26217430	26220646	1000	+	26217430	26220646	255,0,0	2	890,145	0,3071
hsa_circ_0007478	chr12:27143382-27152609|-	chr12:26990449-26999676|-	chr12	27143382	27152609	1000	-	27143382	27152609	0,0,255	4	178,172,121,151	0,4787,6292,9076
hsa_circ_0001964	chr12:27521194-27533337|+	chr12:27368261-27380404|+	chr12	27521194	27533337	1000	+	27521194	27533337	255,0,0	4	151,102,42,158	0,1867,8084,11985
hsa_circ_0025722	chr12:27521194-27556474|+	chr12:27368261-27403541|+	chr12	27521194	27556474	1000	+	27521194	27556474	255,0,0	13	151,102,42,158,80,93,118,144,241,107,151,59,109	0,1867,8084,11985,17219,18966,20917,21834,32272,32995,33262,34357,35171
hsa_circ_0003770	chr12:49333437-49334971|-	chr12:48939654-48941188|-	chr12	49333437	49334971	1000	-	49333437	49334878	0,0,255	3	125,111,241	0,342,1293
hsa_circ_0027118	chr12:57492287-57493873|-	chr12:57098504-57100090|-	chr12	57492287	57493873	1000	-	57492287	57493873	0,0,255	6	93,111,64,147,137,95	0,287,510,789,1262,1491
hsa_circ_0000417	chr12:69644908-69656342|+	chr12:69251128-69262562|+	chr12	69644908	69656342	1000	+	69644908	69656339	255,0,0	8	210,104,146,174,505,116,154,190	0,1922,5568,6603,7461,8299,8915,11244
hsa_circ_0000419	chr12:70193988-70195501|+	chr12:69800208-69801721|+	chr12	70193988	70195501	1000	+	70193988	70195501	255,0,0	2	129,113	0,1400
hsa_circ_0027545	chr12:70671911-70713144|+	chr12:70278131-70319364|+	chr12	70671911	70713144	1000	+	70713144	70713144	255,0,0	4	143,224,123,67	0,15939,32763,41166
hsa_circ_0006910	chr12:72051305-72054207|-	chr12:71657525-71660427|-	chr12	72051305	72054207	1000	-	72054207	72054207	0,0,255	1	2902	0
hsa_circ_0003012	chr12:105303432-105322472|-	chr12:104909654-104928694|-	chr12	105303432	105322472	1000	-	105303432	105322305	0,0,255	2	108,722	0,18318
hsa_circ_0006260	chr12:105321750-105322472|-	chr12:104927972-104928694|-	chr12	105321750	105322472	1000	-	105321750	105322305	0,0,255	1	722	0
hsa_circ_0004516	chr12:110922882-110925748|+	chr12:110485077-110487943|+	chr12	110922882	110925748	1000	+	110922882	110925748	255,0,0	4	122,130,184,83	0,1247,1456,2783
hsa_circ_0002457	chr12:111990083-111993723|-	chr12:111552279-111555919|-	chr12	111990083	111993723	1000	-	111990083	111993723	0,0,255	4	151,72,60,37	0,626,1878,3603
hsa_circ_0000441	chr12:116534473-116549317|-	chr12:116096668-116111512|-	chr12	116534473	116549317	1000	-	116534473	116549317	0,0,255	2	84,85	0,14759
hsa_circ_0005465	chr12:122861935-122865105|-	chr12:122377388-122380558|-	chr12	122861935	122865105	1000	-	122861935	122864999	0,0,255	2	572,191	0,2979
hsa_circ_0029308	chr12:124904502-124915333|-	chr12:124419956-124430787|-	chr12	124904502	124915333	1000	-	124904502	124915333	0,0,255	5	99,55,179,94,173	0,2544,6665,9656,10658
hsa_circ_0029309	chr12:124904502-124922542|-	chr12:124419956-124437996|-	chr12	124904502	124922542	1000	-	124904502	124922542	0,0,255	6	99,55,179,94,173,67	0,2544,6665,9656,10658,17973
hsa_circ_0006689	chr12:129293332-129299615|-	chr12:128808787-128815070|-	chr12	129293332	129299615	1000	-	129293332	129299615	0,0,255	4	169,78,169,296	0,608,1155,5987
hsa_circ_0005966	chr13:20576989-20580726|+	chr13:20002849-20006586|+	chr13	20576989	20580726	1000	+	20576989	20580726	255,0,0	3	286,166,213	0,2224,3524
hsa_circ_0029633	chr13:20625572-20641530|+	chr13:20051432-20067390|+	chr13	20625572	20641530	1000	+	20625572	20641530	255,0,0	9	166,35,130,116,172,126,95,169,152	0,844,7142,8014,9620,11413,13018,15418,15806
hsa_circ_0029693	chr13:21619823-21620369|-	chr13:21045684-21046230|-	chr13	21619823	21620369	1000	-	21619823	21620165	0,0,255	1	546	0
hsa_circ_0000467	chr13:21742126-21742538|-	chr13:21167987-21168399|-	chr13	21742126	21742538	1000	-	21742126	21742538	0,0,255	1	412	0
hsa_circ_0029775	chr13:25478063-25487229|-	chr13:24903925-24913091|-	chr13	25478063	25487229	1000	-	25478063	25487163	0,0,255	7	133,1615,103,109,297,124,510	0,1420,3165,4092,5864,8020,8656
hsa_circ_0006290	chr13:30104674-30110339|-	chr13:29530537-29536202|-	chr13	30104674	30110339	1000	-	30104674	30110325	0,0,255	3	175,159,384	0,2286,5281
hsa_circ_0003587	chr13:30801548-30815223|-	chr13:30227411-30241086|-	chr13	30801548	30815223	1000	-	30801548	30815223	0,0,255	5	135,127,159,106,128	0,3056,3902,13048,13547
hsa_circ_0008068	chr13:30801548-30857928|-	chr13:30227411-30283791|-	chr13	30801548	30857928	1000	-	30801548	30857914	0,0,255	8	135,127,159,106,128,169,161,176	0,3056,3902,13048,13547,28035,52651,56204
