circpedia	hg19	hg38	circname	gene_Ensembl	gene_Refseq	transcript_Ensembl	transcript_Refseq
CIRCHSA_MIA2_7	chr14:39782543-39796226|+	chr14:39313339-39327022|+	circMIA2(18-24)	ENSG00000150527.18	MIA2	ENST00000553728.1	MIA2-210
CIRCHSA_TERT_10	chr5:1266578-1282739|-	chr5:1266463-1282624|-	circTERT(4-11)	ENSG00000164362.21	TERT	ENST00000656021.1	TERT-206
CIRCHSA_ARHGAP26_3	chr5:142434003-142437312|+	chr5:143054438-143057747|+	circARHGAP26(15,16,17)	ENSG00000145819.18	ARHGAP26	ENST00000645722.2	ARHGAP26-222
CIRCHSA_CCNB1_2	chr5:68470703-68471364|+	chr5:69174876-69175537|+	circCCNB1(6,7)	ENSG00000134057.15	CCNB1	ENST00000506572.5	CCNB1-204
CIRCHSA_SYNE1_80	chr6:152650864-152653025|-	chr6:152329729-152331890|-	circSYNE1(77)	ENSG00000131018.25	SYNE1	ENST00000423061.6	SYNE1-211
CIRCHSA_APLF_25	chr2:68717321-68772444|+	chr2:68490189-68545312|+	circAPLF(2-8)	ENSG00000169621.10	APLF	ENST00000303795.9	APLF-201
CIRCHSA_SEC23IP_6	chr10:121685547-121693299|+	chr10:119926035-119933787|+	circSEC23IP(13-18)	ENSG00000107651.14	SEC23IP	ENST00000369075.8	SEC23IP-201
CIRCHSA_PPFIBP1_58	chr12:27824363-27829532|+	chr12:27671430-27676599|+	circPPFIBP1(11-15)	ENSG00000110841.14	PPFIBP1	ENST00000540114.5	PPFIBP1-210
CIRCHSA_TASOR_1	chr3:56661064-56662642|-	chr3:56627036-56628614|-	circTASOR(19,20,21)	ENSG00000163946.14	TASOR	ENST00000683822.1	TASOR-211
CIRCHSA_TASOR_8	chr3:56694758-56707753|-	chr3:56660730-56673725|-	circTASOR(2-11)	ENSG00000163946.14	TASOR	ENST00000683822.1	TASOR-211
CIRCHSA_TPP2_20	chr13:103279361-103282545|+	chr13:102627011-102630195|+	circTPP2(7-10)	ENSG00000134900.13	TPP2	ENST00000698381.1	TPP2-217
CIRCHSA_ARHGEF10L_22	chr1:17907047-18014242|+	chr1:17580552-17687747|+	circARHGEF10L(2-27)	ENSG00000074964.17	ARHGEF10L	ENST00000361221.8	ARHGEF10L-202
CIRCHSA_ANKLE2_4	chr12:133310970-133331719|-	chr12:132734384-132755133|-	circANKLE2(2-10)	ENSG00000176915.15	ANKLE2	ENST00000357997.10	ANKLE2-201
CIRCHSA_DIAPH3_1	chr13:60348322-60385057|-	chr13:59774188-59810923|-	circDIAPH3(25,26,27)	ENSG00000139734.19	DIAPH3	ENST00000400324.9	DIAPH3-205
CIRCHSA_DIAPH3_4	chr13:60384921-60413582|-	chr13:59810787-59839448|-	circDIAPH3(23,24,25)	ENSG00000139734.19	DIAPH3	ENST00000400324.9	DIAPH3-205
CIRCHSA_ZNF236_32	chr18:74561481-74672811|+	chr18:76849525-76960855|+	circZNF236(2-30)	ENSG00000130856.17	ZNF236	ENST00000320610.14	ZNF236-202
CIRCHSA_PPP4R1_117	chr18:9577061-9595151|-	chr18:9577063-9595153|-	circPPP4R1(3-10)	ENSG00000154845.16	PPP4R1	ENST00000400556.8	PPP4R1-203
CIRCHSA_USP53_3	chr4:120166491-120194863|+	chr4:119245336-119273708|+	circUSP53(4-15)	ENSG00000145390.12	USP53	ENST00000274030.11	USP53-201
CIRCHSA_PLEKHB2_3	chr2:131883325-131897848|+	chr2:131125752-131140275|+	circPLEKHB2(3-7)	ENSG00000115762.17	PLEKHB2	ENST00000409158.5	PLEKHB2-204
CIRCHSA_UNC13B_4	chr9:35295692-35313986|+	chr9:35295695-35313989|+	circUNC13B(8,9,10)	ENSG00000198722.15	UNC13B	ENST00000617908.4	UNC13B-205
CIRCHSA_PUM2_105	chr2:20507738-20527139|-	chr2:20307977-20327378|-	circPUM2(2-7)	ENSG00000055917.16	PUM2	ENST00000361078.7	PUM2-202
CIRCHSA_R3HDM1_12	chr2:136402948-136437894|+	chr2:135645378-135680324|+	circR3HDM1(16-21)	ENSG00000048991.17	R3HDM1	ENST00000683871.1	R3HDM1-221
CIRCHSA_KAT6A_3	chr8:41832221-41845081|-	chr8:41974703-41987563|-	circKAT6A(3-8)	ENSG00000083168.11	KAT6A	ENST00000265713.8	KAT6A-201
CIRCHSA_SMYD3_20	chr1:246490502-246498776|-	chr1:246327200-246335474|-	circSMYD3(3,4,5)	ENSG00000185420.19	SMYD3	ENST00000630181.2	SMYD3-218
CIRCHSA_DLG1_6	chr3:196807921-196846401|-	chr3:197081050-197119530|-	circDLG1(13-18)	ENSG00000075711.21	DLG1	ENST00000346964.6	DLG1-201
CIRCHSA_PARD3_1	chr10:34558584-34573173|-	chr10:34269656-34284245|-	circPARD3(19,20)	ENSG00000148498.17	PARD3	ENST00000545260.5	PARD3-213
CIRCHSA_KIAA2026_3	chr9:5968018-5988545|-	chr9:5968018-5988545|-	circKIAA2026(2,3)	ENSG00000183354.12	KIAA2026	ENST00000381461.6	KIAA2026-201
CIRCHSA_MCTP1_4	chr5:94244955-94259726|-	chr5:94909250-94924021|-	circMCTP1(7-10)	ENSG00000175471.20	MCTP1	ENST00000515393.6	MCTP1-218
CIRCHSA_MCTP1_8	chr5:94204037-94248681|-	chr5:94868332-94912976|-	circMCTP1(9-17)	ENSG00000175471.20	MCTP1	ENST00000515393.6	MCTP1-218
CIRCHSA_ZMYM2_3	chr13:20576989-20580726|+	chr13:20002849-20006586|+	circZMYM2(5,6,7)	ENSG00000121741.17	ZMYM2	ENST00000382881.7	ZMYM2-204
CIRCHSA_DEK_3	chr6:18236682-18258636|-	chr6:18236451-18258405|-	circDEK(3-9)	ENSG00000124795.17	DEK	ENST00000652689.1	DEK-212
CIRCHSA_SENP6_12	chr6:76368977-76388643|+	chr6:75659261-75678927|+	circSENP6(7-15)	ENSG00000112701.18	SENP6	ENST00000370010.6	SENP6-202
CIRCHSA_SENP6_17	chr6:76412360-76412788|+	chr6:75702644-75703072|+	circSENP6(18)	ENSG00000112701.18	SENP6	ENST00000370010.6	SENP6-202
CIRCHSA_DPP9_5	chr19:4702038-4705982|-	chr19:4702026-4705970|-	circDPP9(3-7)	ENSG00000142002.19	DPP9	ENST00000646573.2	DPP9-226
CIRCHSA_CENPJ_4	chr13:25478063-25487229|-	chr13:24903925-24913091|-	circCENPJ(2-8)	ENSG00000151849.16	CENPJ	ENST00000381884.9	CENPJ-201
CIRCHSA_CPEB2_1	chr4:15008928-15034835|+	chr4:15007304-15033211|+	circCPEB2(2-5)	ENSG00000137449.17	CPEB2	ENST00000538197.7	CPEB2-208
CIRCHSA_ENSG00000234426_7	chr6:89008579-89033864|-	chr6:88298860-88324145|-	circENSG00000234426(2-5)	ENSG00000234426.3	ENSG00000234426	ENST00000648572.1	ENST00000648572
CIRCHSA_ARL13B_1	chr3:93722502-93722752|+	chr3:94003658-94003908|+	circARL13B(2)	ENSG00000169379.17	ARL13B	ENST00000535334.5	ARL13B-210
CIRCHSA_AKAP10_6	chr17:19861326-19861884|-	chr17:19958013-19958571|-	circAKAP10(4)	ENSG00000108599.15	AKAP10	ENST00000225737.11	AKAP10-201
CIRCHSA_UPF2_14	chr10:12039670-12056183|-	chr10:11997671-12014184|-	circUPF2(3-7)	ENSG00000151461.20	UPF2	ENST00000356352.6	UPF2-201
CIRCHSA_EML4_61	chr2:42507989-42530369|+	chr2:42280849-42303229|+	circEML4(6-14)	ENSG00000143924.19	EML4	ENST00000402711.6	EML4-203
CIRCHSA_USP48_10	chr1:22074630-22078108|-	chr1:21748137-21751615|-	circUSP48(6,7)	ENSG00000090686.16	USP48	ENST00000308271.14	USP48-201
CIRCHSA_EPB41L2_11	chr6:131276244-131277639|-	chr6:130955104-130956499|-	circEPB41L2(2,3)	ENSG00000079819.19	EPB41L2	ENST00000528282.5	EPB41L2-220
CIRCHSA_MACROH2A1_9	chr5:134705095-134724816|-	chr5:135369405-135389126|-	circMACROH2A1(2,3,4)	ENSG00000113648.17	MACROH2A1	ENST00000511689.6	MACROH2A1-217
CIRCHSA_ARIH1_1	chr15:72810407-72837305|+	chr15:72518066-72544964|+	circARIH1(2,3)	ENSG00000166233.15	ARIH1	ENST00000379887.9	ARIH1-201
CIRCHSA_PBX4_2	chr19:19675741-19680393|-	chr19:19564932-19569584|-	circPBX4(5,6)	ENSG00000105717.14	PBX4	ENST00000557978.6	PBX4-202
CIRCHSA_IFT74_6	chr9:27009017-27048272|+	chr9:27009019-27048274|+	circIFT74(9-16)	ENSG00000096872.17	IFT74	ENST00000433700.5	IFT74-203
CIRCHSA_CDC42BPA_11	chr1:227327276-227335260|-	chr1:227139575-227147559|-	circCDC42BPA(7-10)	ENSG00000143776.20	CDC42BPA	ENST00000366767.7	CDC42BPA-204
CIRCHSA_MVP_7	chr16:29845053-29847119|+	chr16:29833732-29835798|+	circMVP(4,5,6)	ENSG00000013364.19	MVP	ENST00000395353.5	MVP-202
CIRCHSA_PHRF1_1	chr11:581491-582081|+	chr11:581491-582081|+	circPHRF1(2,3)	ENSG00000070047.13	PHRF1	ENST00000416188.3	PHRF1-203
CIRCHSA_FBH1_24	chr10:5944982-5956232|+	chr10:5903019-5914269|+	circFBH1(2-8)	ENSG00000134452.20	FBH1	ENST00000397269.7	FBH1-203
CIRCHSA_PANK3_1	chr5:167986036-167993271|-	chr5:168559031-168566266|-	circPANK3(3-6)	ENSG00000120137.7	PANK3	ENST00000239231.7	PANK3-201
CIRCHSA_USP1_15	chr1:62910408-62911100|+	chr1:62444737-62445429|+	circUSP1(6)	ENSG00000162607.13	USP1	ENST00000371146.5	USP1-202
CIRCHSA_TXLNA_3	chr1:32653554-32655850|+	chr1:32187953-32190249|+	circTXLNA(5,6)	ENSG00000084652.16	TXLNA	ENST00000373610.8	TXLNA-202
CIRCHSA_DKC1_2	chrX:153996576-153997585|+	chrX:154768301-154769310|+	circDKC1(8,9)	ENSG00000130826.19	DKC1	ENST00000620277.4	DKC1-212
CIRCHSA_EXOC6B_5	chr2:72945231-72960247|-	chr2:72718102-72733118|-	circEXOC6B(3-6)	ENSG00000144036.16	EXOC6B	ENST00000272427.11	EXOC6B-201
CIRCHSA_ZFHX3_5	chr16:72991325-72994093|-	chr16:72957426-72960194|-	circZFHX3(2)	ENSG00000140836.17	ZFHX3	ENST00000268489.10	ZFHX3-201
CIRCHSA_CDK14_23	chr7:90376995-90492584|+	chr7:90747680-90863269|+	circCDK14(4,5,6)	ENSG00000058091.17	CDK14	ENST00000380050.8	CDK14-202
CIRCHSA_PCM1_29	chr8:17847367-17872349|+	chr8:17989858-18014840|+	circPCM1(27-36)	ENSG00000078674.19	PCM1	ENST00000325083.13	PCM1-201
CIRCHSA_UBR5_78	chr8:103301680-103317523|-	chr8:102289452-102305295|-	circUBR5(21-35)	ENSG00000104517.13	UBR5	ENST00000520539.6	UBR5-207
CIRCHSA_EZH1_6	chr17:40855757-40882936|-	chr17:42703739-42730918|-	circEZH1(2-19)	ENSG00000108799.13	EZH1	ENST00000428826.7	EZH1-202
CIRCHSA_OCRL_5	chrX:128674720-128722240|+	chrX:129540743-129588263|+	circOCRL(2-21)	ENSG00000122126.18	OCRL	ENST00000371113.9	OCRL-202
CIRCHSA_EXT2_1	chr11:44129232-44135851|+	chr11:44107682-44114301|+	circEXT2(2,3,4)	ENSG00000151348.16	EXT2	ENST00000682993.1	EXT2-214
CIRCHSA_EXT2_7	chr11:44129232-44193292|+	chr11:44107682-44171742|+	circEXT2(2-8)	ENSG00000151348.16	EXT2	ENST00000682993.1	EXT2-214
CIRCHSA_GRB10_3	chr7:50737418-50771605|-	chr7:50669721-50703908|-	circGRB10(2,3,4)	ENSG00000106070.20	GRB10	ENST00000398810.6	GRB10-203
CIRCHSA_THOC2_2	chrX:122744768-122748040|-	chrX:123610917-123614189|-	circTHOC2(4-8)	ENSG00000125676.20	THOC2	ENST00000448128.5	THOC2-209
CIRCHSA_MPDZ_13	chr9:13205034-13250371|-	chr9:13205035-13250372|-	circMPDZ(2-12)	ENSG00000107186.17	MPDZ	ENST00000319217.12	MPDZ-202
CIRCHSA_UBQLN1_4	chr9:86292641-86293514|-	chr9:83677726-83678599|-	circUBQLN1(5,6)	ENSG00000135018.14	UBQLN1	ENST00000376395.9	UBQLN1-202
CIRCHSA_UBQLN1_7	chr9:86293355-86301070|-	chr9:83678440-83686155|-	circUBQLN1(2-5)	ENSG00000135018.14	UBQLN1	ENST00000376395.9	UBQLN1-202
CIRCHSA_UBQLN1_9	chr9:86294689-86301070|-	chr9:83679774-83686155|-	circUBQLN1(2,3,4)	ENSG00000135018.14	UBQLN1	ENST00000376395.9	UBQLN1-202
CIRCHSA_NIPBL_4	chr5:36953719-36986403|+	chr5:36953617-36986301|+	circNIPBL(2-10)	ENSG00000164190.19	NIPBL	ENST00000282516.13	NIPBL-201
CIRCHSA_SP140L_2	chr2:231222519-231226412|+	chr2:230357804-230361697|+	circSP140L(3,4,5)	ENSG00000185404.17	SP140L	ENST00000444636.5	SP140L-204
CIRCHSA_HERC1_4	chr15:63966540-63981898|-	chr15:63674341-63689699|-	circHERC1(33-38)	ENSG00000103657.14	HERC1	ENST00000443617.7	HERC1-201
CIRCHSA_EPHB4_2	chr7:100417178-100417918|-	chr7:100819556-100820296|-	circEPHB4(5,6)	ENSG00000196411.10	EPHB4	ENST00000360620.7	EPHB4-202
CIRCHSA_ZFAT_2	chr8:135612678-135622898|-	chr8:134600435-134610655|-	circZFAT(4-7)	ENSG00000066827.16	ZFAT	ENST00000520356.5	ZFAT-208
CIRCHSA_CUL3_4	chr2:225400244-225422573|-	chr2:224535527-224557856|-	circCUL3(2,3)	ENSG00000036257.14	CUL3	ENST00000264414.9	CUL3-201
CIRCHSA_NDUFA10_1	chr2:240929490-240946787|-	chr2:239990073-240007370|-	circNDUFA10(2,3,4)	ENSG00000130414.13	NDUFA10	ENST00000419408.5	NDUFA10-206
CIRCHSA_LRCH3_11	chr3:197592293-197602646|+	chr3:197865422-197875775|+	circLRCH3(16-20)	ENSG00000186001.14	LRCH3	ENST00000438796.6	LRCH3-206
CIRCHSA_PPIL4_1	chr6:149833290-149862722|-	chr6:149512154-149541586|-	circPPIL4(2-12)	ENSG00000131013.4	PPIL4	ENST00000253329.3	PPIL4-201
CIRCHSA_ZFYVE16_4	chr5:79751510-79770649|+	chr5:80455691-80474830|+	circZFYVE16(11-17)	ENSG00000039319.17	ZFYVE16	ENST00000338008.9	ZFYVE16-201
CIRCHSA_NT5C3A_1	chr7:33055281-33066527|-	chr7:33015669-33026915|-	circNT5C3A(3-9)	ENSG00000122643.23	NT5C3A	ENST00000643244.1	NT5C3A-210
CIRCHSA_PTK2_29	chr8:141828375-141900868|-	chr8:140818276-140890769|-	circPTK2(3-10)	ENSG00000169398.20	PTK2	ENST00000522684.5	PTK2-240
CIRCHSA_PALS2_32	chr7:24663284-24690331|+	chr7:24623665-24650712|+	circPALS2(2-5)	ENSG00000105926.16	PALS2	ENST00000222644.10	PALS2-201
CIRCHSA_PALS2_33	chr7:24663284-24708279|+	chr7:24623665-24668660|+	circPALS2(2-9)	ENSG00000105926.16	PALS2	ENST00000222644.10	PALS2-201
CIRCHSA_UGGT2_1	chr13:96485180-96489456|-	chr13:95832926-95837202|-	circUGGT2(37,38)	ENSG00000102595.21	UGGT2	ENST00000376747.8	UGGT2-203
CIRCHSA_SKA3_4	chr13:21742126-21742538|-	chr13:21167987-21168399|-	circSKA3(4)	ENSG00000165480.16	SKA3	ENST00000400018.7	SKA3-203
CIRCHSA_USP34_374	chr2:61484338-61516012|-	chr2:61257203-61288877|-	circUSP34(34-45)	ENSG00000115464.15	USP34	ENST00000398571.7	USP34-201
CIRCHSA_AMFR_2	chr16:56419830-56448256|-	chr16:56385918-56414344|-	circAMFR(2-10)	ENSG00000159461.15	AMFR	ENST00000290649.10	AMFR-201
CIRCHSA_SLC35D2_33	chr9:99119692-99130587|-	chr9:96357410-96368305|-	circSLC35D2(3-6)	ENSG00000130958.13	SLC35D2	ENST00000482643.2	SLC35D2-204
CIRCHSA_UGGT1_17	chr2:128922303-128928858|+	chr2:128164729-128171284|+	circUGGT1(26,27,28)	ENSG00000136731.13	UGGT1	ENST00000259253.11	UGGT1-201
CIRCHSA_CLIP1_9	chr12:122861935-122865105|-	chr12:122377388-122380558|-	circCLIP1(2,3)	ENSG00000130779.22	CLIP1	ENST00000361654.8	CLIP1-203
CIRCHSA_YWHAZ_1	chr8:101936182-101937267|-	chr8:100923954-100925039|-	circYWHAZ(3,4,5)	ENSG00000164924.18	YWHAZ	ENST00000395958.6	YWHAZ-207
CIRCHSA_ABCA5_182	chr17:67270083-67280213|-	chr17:69273942-69284072|-	circABCA5(12,13,14)	ENSG00000154265.16	ABCA5	ENST00000586995.5	ABCA5-204
CIRCHSA_SPIRE1_5	chr18:12493070-12546903|-	chr18:12493071-12546904|-	circSPIRE1(3-8)	ENSG00000134278.16	SPIRE1	ENST00000409402.9	SPIRE1-202
CIRCHSA_SELENOI_9	chr2:26597907-26606215|+	chr2:26375039-26383347|+	circSELENOI(6,7)	ENSG00000138018.19	SELENOI	ENST00000260585.12	SELENOI-201
CIRCHSA_FAM169A_3	chr5:74109664-74137504|-	chr5:74813839-74841679|-	circFAM169A(2-5)	ENSG00000198780.13	FAM169A	ENST00000514215.5	FAM169A-206
CIRCHSA_C21orf58_11	chr21:47722398-47738134|-	chr21:46302484-46318220|-	circC21orf58(2-7)	ENSG00000160298.18	C21orf58	ENST00000397683.5	C21orf58-205
CIRCHSA_EFR3A_1	chr8:132952745-132958880|+	chr8:131940498-131946633|+	circEFR3A(2,3,4)	ENSG00000132294.15	EFR3A	ENST00000254624.10	EFR3A-201
CIRCHSA_SGMS1_2	chr10:52193235-52226692|-	chr10:50433475-50466932|-	circSGMS1(4,5,6)	ENSG00000198964.14	SGMS1	ENST00000429490.5	SGMS1-203
CIRCHSA_SLC7A1_1	chr13:30104674-30110339|-	chr13:29530537-29536202|-	circSLC7A1(3,4,5)	ENSG00000139514.13	SLC7A1	ENST00000380752.10	SLC7A1-201
CIRCHSA_FAIM_3	chr3:138340248-138347998|+	chr3:138621406-138629156|+	circFAIM(3,4,5)	ENSG00000158234.13	FAIM	ENST00000338446.8	FAIM-201
CIRCHSA_PLEKHM3_1	chr2:208841374-208842310|-	chr2:207976650-207977586|-	circPLEKHM3(3)	ENSG00000178385.15	PLEKHM3	ENST00000427836.8	PLEKHM3-202
CIRCHSA_ME1_4	chr6:84055891-84117620|-	chr6:83346172-83407901|-	circME1(2-5)	ENSG00000065833.9	ME1	ENST00000369705.4	ME1-201
CIRCHSA_ARL13B_24	chr3:93714717-93722752|+	chr3:93995873-94003908|+	circARL13B(2,3,4)	ENSG00000169379.17	ARL13B	ENST00000680414.1	ARL13B-220
CIRCHSA_ERICH1_1	chr8:618597-624047|-	chr8:668597-674047|-	circERICH1(2,3)	ENSG00000104714.14	ERICH1	ENST00000522706.5	ERICH1-206
CIRCHSA_PARGP1_6	chr10:51632845-51656468|+	chr10:45939360-45962994|-	circPARGP1(2-5)	ENSG00000239883.9	PARGP1	ENST00000688192.1	PARGP1-207
CIRCHSA_TEAD1_1	chr11:12785725-12785981|+	chr11:12764178-12764434|+	circTEAD1(3)	ENSG00000187079.20	TEAD1	ENST00000527636.7	TEAD1-206
CIRCHSA_CAPZA1_15	chr1:113196219-113202401|+	chr1:112653597-112659779|+	circCAPZA1(5-8)	ENSG00000116489.13	CAPZA1	ENST00000498626.1	CAPZA1-206
CIRCHSA_AP5M1_1	chr14:57740961-57747140|+	chr14:57274243-57280422|+	circAP5M1(2,3)	ENSG00000053770.12	AP5M1	ENST00000261558.8	AP5M1-201
CIRCHSA_DNA2_38	chr10:70196767-70196998|-	chr10:68437010-68437241|-	circDNA2(10)	ENSG00000138346.15	DNA2	ENST00000551118.6	DNA2-208
CIRCHSA_CEP70_4	chr3:138289159-138291774|-	chr3:138570317-138572932|-	circCEP70(3-6)	ENSG00000114107.9	CEP70	ENST00000264982.8	CEP70-201
CIRCHSA_EXOSC1_1	chr10:99196947-99197507|-	chr10:97437190-97437750|-	circEXOSC1(6,7)	ENSG00000171311.13	EXOSC1	ENST00000370902.8	EXOSC1-204
CIRCHSA_EIF4G3_44	chr1:21154109-21212864|-	chr1:20827616-20886371|-	circEIF4G3(15-28)	ENSG00000075151.24	EIF4G3	ENST00000374935.7	EIF4G3-204
CIRCHSA_ILKAP_4	chr2:239090705-239093928|-	chr2:238182064-238185287|-	circILKAP(5-8)	ENSG00000132323.9	ILKAP	ENST00000463129.5	ILKAP-204
CIRCHSA_ILKAP_6	chr2:239090705-239103511|-	chr2:238182064-238194870|-	circILKAP(2-8)	ENSG00000132323.9	ILKAP	ENST00000463129.5	ILKAP-204
