exorbase	hg19	hg38	circBase ID	Gene symbol	Gene type	Sample type	Tumor frequency of EVPs(Sample number)	Benign frequency of EVPs(Sample number)	Healthy frequency of EVPs(Sample number)	Urine frequency of EVPs(Sample number)	CSF frequency of EVPs(Sample number)	Bile frequency of EVPs(Sample number)	Tumor frequency(Sample number)	Healthy frequency(Sample number)	Urine frequency(Sample number)	CSF frequency(Sample number)	Tumor mean(EVPs)	Benign mean(EVPs)	Healthy mean(EVPs)	Urine mean(EVPs)	CSF mean(EVPs)	Bile mean(EVPs)	Tumor mean	Healthy mean	Urine mean	CSF mean	Diff group
exo_circ_001219	chr1:21083658-21100103|-	chr1:20757165-20773610|-	hsa_circ_0000024	HP1BP3	protein coding gene	Blood;EVPs in Blood;EVPs in Bile;EVPs in CSF;EVPs in Urine;Urine	0.765(1552)	0.739(372)	0.75(244)	0.376(125)	0.2(5)	0.19(21)	0.771(385)	0.549(175)	0.5(30)	0(4)	65.913015	62.758065	53.590164	0.879399	0.8	1.761905	84.051948	41.485714	18.7	0.0	EVPs in Bile(down);EVPs in GBM(down);EVPs in MEL(down);EVPs in OV(up);EVPs in Urine(down);CHB(down);CRC(up);NSCLC(up);MM(up);GC(up)
exo_circ_001385	chr1:21295966-21307720|-	chr1:20969473-20981227|-	hsa_circ_0000025	EIF4G3	protein coding gene	Blood;EVPs in Blood;EVPs in Bile;EVPs in CSF;EVPs in Urine	0.357(1552)	0.309(372)	0.357(244)	0.36(125)	0.2(5)	0.048(21)	0.291(385)	0.154(175)	0(30)	0(4)	7.135954	5.064516	6.42623	0.566795	0.4	0.666667	13.046753	5.977143	0.0	0.0	EVPs in Bile(down);EVPs in MEL(down);EVPs in OV(up);CHB(down);ESCA(down);HCC(up);NSCLC(down);Urine(down)
exo_circ_001564	chr1:22074630-22078108|-	chr1:21748137-21751615|-	hsa_circ_0002166	USP48	protein coding gene	Blood;EVPs in Blood;EVPs in Urine	0.056(1552)	0.043(372)	0.041(244)	0.064(125)	0(5)	0(21)	0.068(385)	0.034(175)	0(30)	0(4)	1.135309	1.045699	1.32377	0.143602	0.0	0.0	0.254545	0.217143	0.0	0.0	EVPs in SCLC(up);HCC(down);GC(up)
exo_circ_001879	chr1:27087346-27089776|+	chr1:26760855-26763285|+	hsa_circ_0006913	ARID1A	protein coding gene	Blood;EVPs in Blood;EVPs in Bile;EVPs in Urine	0.089(1552)	0.065(372)	0.07(244)	0.08(125)	0(5)	0.048(21)	0.153(385)	0.063(175)	0(30)	0(4)	1.965206	2.134409	1.688525	0.061898	0.0	0.047619	0.688312	0.297143	0.0	0.0	EVPs in ML(up);EVPs in OV(up);EVPs in SCLC(up);CRC(up);NSCLC(up)
exo_circ_001962	chr1:28362054-28374937|-	chr1:28035543-28048426|-	hsa_circ_0008057	EYA3	protein coding gene	Blood;EVPs in Blood;EVPs in Urine	0.114(1552)	0.102(372)	0.111(244)	0.2(125)	0(5)	0(21)	0.322(385)	0.223(175)	0(30)	0(4)	1.858247	1.946237	1.590164	0.19543	0.0	0.0	6.202597	4.16	0.0	0.0	EVPs in MEL(down);EVPs in Urine(down);CHB(down);CRC(up);ESCA(up);HCC(down);NSCLC(up);MGUS(down);MM(down);GC(up);Urine(down)
exo_circ_002000	chr1:28800065-28807116|+	chr1:28473553-28480604|+	hsa_circ_0011137	PHACTR4	protein coding gene	Blood;EVPs in Blood;EVPs in Urine	0.216(1552)	0.218(372)	0.238(244)	0.264(125)	0(5)	0(21)	0.148(385)	0.131(175)	0(30)	0(4)	6.025773	6.758065	5.553279	0.647625	0.0	0.0	1.87013	4.165714	0.0	0.0	EVPs in Bile(down);EVPs in MEL(down);EVPs in ML(down);MM(up);GC(down)
exo_circ_002184	chr1:31465236-31468067|-	chr1:30992389-30995220|-	hsa_circ_0000043	PUM1	protein coding gene	Blood;EVPs in Blood;EVPs in Bile;EVPs in CSF;EVPs in Urine	0.796(1552)	0.742(372)	0.721(244)	0.456(125)	0.2(5)	0.286(21)	0.384(385)	0.314(175)	0(30)	0(4)	86.610825	80.849462	65.983607	1.618111	11.0	7.380952	13.324675	10.011429	0.0	0.0	EVPs in Bile(down);EVPs in GBM(down);EVPs in KIRC(up);EVPs in MEL(down);EVPs in OV(up);EVPs in Urine(down);CHB(down);ESCA(up);NSCLC(up);MM(down);Urine(down)
exo_circ_002198	chr1:31532050-31532424|-	chr1:31059203-31059577|-	hsa_circ_0000045	PUM1	protein coding gene	Blood;EVPs in Blood;EVPs in Bile;EVPs in Urine	0.052(1552)	0.038(372)	0.045(244)	0.064(125)	0(5)	0.048(21)	0.018(385)	0.074(175)	0(30)	0(4)	0.941366	0.241935	0.295082	0.020758	0.0	0.380952	0.067532	0.514286	0.0	0.0	EVPs in SCLC(up)
exo_circ_002243	chr1:32381495-32385259|-	chr1:31915894-31919658|-	hsa_circ_0007364	PTP4A2	protein coding gene	Blood;CSF;EVPs in Blood;EVPs in Bile;EVPs in CSF;EVPs in Urine;Urine	0.605(1552)	0.589(372)	0.631(244)	0.44(125)	0.2(5)	0.048(21)	0.109(385)	0.309(175)	0.2(30)	0.25(4)	23.947809	21.553763	21.872951	1.427098	46.2	0.190476	1.166234	3.177143	2.766667	8.25	EVPs in Bile(down);EVPs in GBM(down);EVPs in MEL(down);EVPs in ML(down);EVPs in NSCLC(down);EVPs in Urine(down);CHB(down);CRC(down);ESCA(down);NSCLC(down);GC(down)
exo_circ_002260	chr1:32495898-32510991|+	chr1:32030297-32045390|+	hsa_circ_0004289	KHDRBS1	protein coding gene	Blood;EVPs in Blood;EVPs in Urine;Urine	0.074(1552)	0.035(372)	0.037(244)	0.216(125)	0(5)	0(21)	0.268(385)	0.223(175)	0.033(30)	0(4)	1.404639	0.846774	0.905738	0.129215	0.0	0.0	1.114286	1.262857	4.666667	0.0	EVPs in CRC(up);EVPs in OV(up);EVPs in Urine(down);CHB(down)
exo_circ_002292	chr1:32653554-32655850|+	chr1:32187953-32190249|+	hsa_circ_0003238	TXLNA	protein coding gene	Blood;EVPs in Blood;EVPs in Bile;EVPs in Urine	0.04(1552)	0.024(372)	0.029(244)	0.096(125)	0(5)	0.048(21)	0.039(385)	0.011(175)	0(30)	0(4)	0.709407	0.830645	0.254098	0.259499	0.0	0.142857	0.046753	0.017143	0.0	0.0	NA
exo_circ_002358	chr1:33413822-33415375|-	chr1:32948221-32949774|-	hsa_circ_0000048	RNF19B	protein coding gene	Blood;EVPs in Blood;EVPs in Bile;EVPs in Urine;Urine	0.736(1552)	0.667(372)	0.746(244)	0.368(125)	0(5)	0.238(21)	0.769(385)	0.766(175)	0.367(30)	0(4)	60.407216	58.370968	46.016393	0.694254	0.0	6.238095	68.711688	55.028571	12.066667	0.0	EVPs in Bile(down);EVPs in CRC(up);EVPs in GBM(down);EVPs in GC(down);EVPs in MEL(down);EVPs in OV(up);EVPs in Urine(down);CHB(down);MM(up);Urine(down)
exo_circ_002450	chr1:35824525-35827390|+	chr1:35358924-35361789|+	hsa_circ_0011536	ZMYM4	protein coding gene	Blood;CSF;EVPs in Blood;EVPs in Bile;EVPs in CSF;EVPs in Urine;Urine	0.644(1552)	0.578(372)	0.697(244)	0.48(125)	0.2(5)	0.19(21)	0.792(385)	0.777(175)	0.433(30)	0.25(4)	42.530284	39.930108	63.008197	1.290129	35.4	1.47619	115.555844	67.062857	12.2	8.25	EVPs in Bile(down);EVPs in GBM(down);EVPs in MEL(down);EVPs in Urine(down);CHB(down);CRC(up);Urine(down)
exo_circ_002525	chr1:36213507-36219537|-	chr1:35747906-35753936|-	NA	CLSPN	protein coding gene	Blood;EVPs in Blood;EVPs in Urine	0.024(1552)	0.03(372)	0.025(244)	0.008(125)	0(5)	0(21)	0.008(385)	0.063(175)	0(30)	0(4)	0.360825	0.591398	0.622951	0.000591	0.0	0.0	0.023377	0.171429	0.0	0.0	CRC(down);HCC(down)
exo_circ_002746	chr1:39816456-39824936|+	chr1:39350784-39359264|+	hsa_circ_0011821	MACF1	protein coding gene	EVPs in Blood;EVPs in Urine;Urine	0.084(1552)	0.065(372)	0.049(244)	0.152(125)	0(5)	0(21)	0(385)	0(175)	0.033(30)	0(4)	2.972938	1.137097	0.963115	0.079966	0.0	0.0	0.0	0.0	4.033333	0.0	EVPs in CRC(up);EVPs in OV(up);EVPs in Urine(down)
exo_circ_002795	chr1:40319641-40323089|-	chr1:39853969-39857417|-	hsa_circ_0000057	TRIT1	protein coding gene	Blood;EVPs in Blood;EVPs in Bile;EVPs in Urine	0.24(1552)	0.18(372)	0.193(244)	0.256(125)	0(5)	0.095(21)	0.068(385)	0.091(175)	0(30)	0(4)	6.397552	5.803763	3.827869	0.205833	0.0	0.285714	2.945455	1.845714	0.0	0.0	EVPs in BRCA(up);EVPs in CRC(up);EVPs in MEL(down);CRC(down);HCC(up);GC(down)
exo_circ_002895	chr1:42041214-42050989|-	chr1:41575543-41585318|-	hsa_circ_0011950	HIVEP3	protein coding gene	Blood;EVPs in Blood;EVPs in Bile;EVPs in Urine	0.044(1552)	0.027(372)	0.029(244)	0.096(125)	0(5)	0.048(21)	0.003(385)	0.011(175)	0(30)	0(4)	0.739691	0.327957	0.57377	0.067568	0.0	0.571429	0.049351	0.154286	0.0	0.0	EVPs in SCLC(up);EVPs in Urine(down)
exo_circ_003055	chr1:44773981-44785416|-	chr1:44308309-44319744|-	hsa_circ_0012144	ERI3	protein coding gene	Blood;EVPs in Blood;EVPs in CSF;EVPs in Urine	0.194(1552)	0.169(372)	0.213(244)	0.2(125)	0.2(5)	0(21)	0.039(385)	0.074(175)	0(30)	0(4)	4.66817	5.298387	5.188525	0.13687	7.4	0.0	0.275325	0.657143	0.0	0.0	EVPs in Bile(down);EVPs in GBM(down);EVPs in KIRC(down);EVPs in MEL(down);EVPs in ML(down);EVPs in NSCLC(down);CHB(down);CRC(down);ESCA(down);NSCLC(down);GC(down);Urine(down)
exo_circ_003315	chr1:51001040-51061888|-	chr1:50535368-50596216|-	hsa_circ_0012397	FAF1	protein coding gene	Blood;EVPs in Blood;EVPs in Urine	0.057(1552)	0.035(372)	0.049(244)	0.264(125)	0(5)	0(21)	0.052(385)	0.04(175)	0(30)	0(4)	1.407861	0.677419	1.512295	0.380261	0.0	0.0	0.322078	0.154286	0.0	0.0	EVPs in SCLC(up)
exo_circ_003710	chr1:53736699-53737018|-	chr1:53271027-53271346|-	hsa_circ_0012593	LRP8	protein coding gene	Blood;EVPs in Blood	0.019(1552)	0.013(372)	0.004(244)	0(125)	0(5)	0(21)	0.036(385)	0.057(175)	0(30)	0(4)	0.293814	0.311828	0.02459	0.0	0.0	0.0	0.225974	0.468571	0.0	0.0	EVPs in CRC(up);EVPs in PDAC(up);GC(down)
exo_circ_003916	chr1:58971731-59002413|-	chr1:58506059-58536741|-	hsa_circ_0000072	OMA1	protein coding gene	Blood;EVPs in Blood;EVPs in Bile;EVPs in Urine	0.602(1552)	0.556(372)	0.475(244)	0.448(125)	0(5)	0.095(21)	0.153(385)	0.286(175)	0(30)	0(4)	30.159794	28.034946	17.516393	1.101442	0.0	1.380952	1.496104	3.262857	0.0	0.0	EVPs in BRCA(up);EVPs in CRC(up);EVPs in KIRC(up);EVPs in MEL(down);EVPs in ML(up);EVPs in OV(up);EVPs in SCLC(up);EVPs in Urine(down);CHB(down);ESCA(down);HCC(down);NSCLC(down);Urine(down)
exo_circ_003919	chr1:58971731-59004982|-	chr1:58506059-58539310|-	hsa_circ_0002316	OMA1	protein coding gene	Blood;EVPs in Blood;EVPs in Bile;EVPs in CSF;Urine	0.588(1552)	0.54(372)	0.52(244)	0(125)	0.2(5)	0.143(21)	0.634(385)	0.566(175)	0.367(30)	0(4)	30.769974	35.043011	28.889344	0.0	3.0	1.952381	11.119481	9.062857	8.6	0.0	EVPs in Bile(down);EVPs in GBM(down);EVPs in MEL(down);EVPs in OV(up);EVPs in Urine(down);CHB(down);MM(up)
exo_circ_004081	chr1:62907158-62907970|+	chr1:62441487-62442299|+	NA	USP1	protein coding gene	Blood;EVPs in Blood;EVPs in Urine	0.234(1552)	0.175(372)	0.197(244)	0.08(125)	0(5)	0(21)	0.065(385)	0.046(175)	0(30)	0(4)	6.159794	6.658602	6.668033	0.241119	0.0	0.0	1.992208	0.651429	0.0	0.0	EVPs in Bile(down);EVPs in MEL(down);EVPs in Urine(down);CRC(down);ESCA(down);HCC(up);NSCLC(down);GC(down);Urine(down)
exo_circ_004090	chr1:62910408-62911100|+	chr1:62444737-62445429|+	NA	USP1	protein coding gene	Blood;EVPs in Blood	0.039(1552)	0.027(372)	0.029(244)	0(125)	0(5)	0(21)	0.018(385)	0.04(175)	0(30)	0(4)	0.517397	0.55914	0.463115	0.0	0.0	0.0	0.122078	0.222857	0.0	0.0	EVPs in Urine(down);CRC(down);GC(down)
exo_circ_004118	chr1:63042932-63091072|-	chr1:62577261-62625401|-	hsa_circ_0012814	ANGPTL3	protein coding gene	Blood;EVPs in Blood;EVPs in Urine;Urine	0.015(1552)	0.024(372)	0.008(244)	0.04(125)	0(5)	0(21)	0.174(385)	0.074(175)	0.033(30)	0(4)	0.173969	0.534946	0.295082	0.01007	0.0	0.0	0.724675	0.257143	0.166667	0.0	EVPs in Urine(up);CRC(up);GC(up)
exo_circ_004271	chr1:65830317-65831879|+	chr1:65364634-65366196|+	hsa_circ_0002454	DNAJC6	protein coding gene	Blood;EVPs in Blood;EVPs in Bile;EVPs in Urine	0.575(1552)	0.54(372)	0.68(244)	0.328(125)	0(5)	0.048(21)	0.065(385)	0.166(175)	0(30)	0(4)	31.710696	29.239247	43.696721	0.914429	0.0	0.619048	4.657143	9.988571	0.0	0.0	EVPs in Bile(down);EVPs in CSF(down);EVPs in GBM(down);EVPs in MEL(down);EVPs in ML(down);EVPs in SCLC(down);EVPs in Urine(down);CHB(down);CRC(down);ESCA(down);NSCLC(down);MGUS(up);GC(down);Urine(down)
exo_circ_004343	chr1:67423741-67428843|+	chr1:66958058-66963160|+	NA	MIER1	protein coding gene	Blood;CSF;EVPs in Blood;EVPs in Bile;EVPs in CSF;EVPs in Urine;Urine	0.919(1552)	0.919(372)	0.922(244)	0.6(125)	0.2(5)	0.381(21)	0.862(385)	0.891(175)	0.6(30)	0.25(4)	258.052835	253.217742	245.319672	4.577738	13.0	8.142857	1496.145455	898.634286	19.233333	3.5	EVPs in Bile(down);EVPs in CSF(down);EVPs in GBM(down);EVPs in MEL(down);EVPs in Urine(down);CHB(down);CSF(down);NSCLC(up);MM(up);Urine(down)
exo_circ_004611	chr1:78097534-78107340|-	chr1:77631849-77641655|-	NA	AC118549.1	protein coding gene	Blood;EVPs in Blood;EVPs in Bile;EVPs in Urine;Urine	0.182(1552)	0.145(372)	0.172(244)	0.384(125)	0(5)	0.048(21)	0.605(385)	0.434(175)	0.133(30)	0(4)	4.512887	4.172043	6.504098	0.417463	0.0	1.428571	11.836364	6.668571	2.333333	0.0	EVPs in MEL(down);EVPs in ML(down);EVPs in Urine(down);CHB(down);CRC(up);NSCLC(up);GC(up)
exo_circ_004810	chr1:82302569-82327803|+	chr1:81836884-81862118|+	NA	ADGRL2	protein coding gene	EVPs in Blood;EVPs in Urine	0.009(1552)	0.003(372)	0(244)	0.08(125)	0(5)	0(21)	0.005(385)	0(175)	0(30)	0(4)	0.219716	0.115591	0.0	0.010841	0.0	0.0	0.096104	0.0	0.0	0.0	EVPs in HCC(up);EVPs in Urine(up)
exo_circ_005211	chr1:91382196-91406866|-	chr1:90916639-90941309|-	NA	ZNF644	protein coding gene	Blood;EVPs in Blood;EVPs in Urine	0.01(1552)	0.003(372)	0(244)	0.04(125)	0(5)	0(21)	0.021(385)	0.006(175)	0(30)	0(4)	0.240979	0.013441	0.0	0.01137	0.0	0.0	0.083117	0.108571	0.0	0.0	EVPs in HCC(up);EVPs in Urine(up)
exo_circ_005216	chr1:91403041-91447927|-	chr1:90937484-90982370|-	NA	ZNF644	protein coding gene	Blood;EVPs in Blood;EVPs in Urine;Urine	0.057(1552)	0.056(372)	0.033(244)	0.136(125)	0(5)	0(21)	0.234(385)	0.149(175)	0.133(30)	0(4)	1.146263	1.647849	1.036885	0.094068	0.0	0.0	1.47013	0.668571	3.5	0.0	EVPs in CRC(up);EVPs in OV(up);EVPs in SCLC(up);EVPs in Urine(down)
exo_circ_005311	chr1:93070863-93104794|-	chr1:92605306-92639237|-	NA	EVI5	protein coding gene	Blood;EVPs in Blood;EVPs in Bile;EVPs in Urine	0.062(1552)	0.059(372)	0.041(244)	0.096(125)	0(5)	0.048(21)	0.018(385)	0.006(175)	0(30)	0(4)	1.221005	1.091398	1.540984	0.076525	0.0	0.095238	0.028571	0.017143	0.0	0.0	EVPs in MEL(down);CRC(up)
exo_circ_005534	chr1:94360169-94367225|-	chr1:93894613-93901669|-	hsa_circ_0003513	GCLM	protein coding gene	Blood;EVPs in Blood;EVPs in Bile;EVPs in Urine	0.318(1552)	0.253(372)	0.311(244)	0.16(125)	0(5)	0.048(21)	0.094(385)	0.126(175)	0(30)	0(4)	10.37049	8.330645	12.381148	0.080286	0.0	0.095238	3.654545	5.045714	0.0	0.0	EVPs in MEL(down);EVPs in ML(down);EVPs in Urine(down);CRC(down);ESCA(down);HCC(up);NSCLC(down);Urine(down)
exo_circ_005541	chr1:94685813-94697199|-	chr1:94220257-94231643|-	hsa_circ_0003310	ARHGAP29	protein coding gene	Blood;EVPs in Blood;EVPs in Urine	0.181(1552)	0.116(372)	0.111(244)	0.2(125)	0(5)	0(21)	0.016(385)	0.057(175)	0(30)	0(4)	5.953608	7.276882	7.237705	0.136165	0.0	0.0	0.25974	0.457143	0.0	0.0	CRC(down);GC(down)
exo_circ_005575	chr1:95609446-95616975|+	chr1:95143890-95151419|+	hsa_circ_0000095	TMEM56	protein coding gene	Blood;EVPs in Blood;EVPs in Urine	0.477(1552)	0.513(372)	0.422(244)	0.152(125)	0(5)	0(21)	0.418(385)	0.251(175)	0(30)	0(4)	22.143041	35.405914	17.598361	0.156838	0.0	0.0	17.174026	19.32	0.0	0.0	EVPs in Bile(down);EVPs in GBM(down);EVPs in MEL(down);EVPs in ML(down);EVPs in OV(up);EVPs in Urine(down);ESCA(up);NSCLC(up);MM(up)
exo_circ_005785	chr1:101372407-101387397|+	chr1:100906851-100921841|+	hsa_circ_0000098	SLC30A7	protein coding gene	Blood;EVPs in Blood;EVPs in Urine	0.255(1552)	0.226(372)	0.225(244)	0.168(125)	0(5)	0(21)	0.436(385)	0.263(175)	0(30)	0(4)	6.719072	8.392473	8.295082	0.142773	0.0	0.0	8.464935	6.194286	0.0	0.0	EVPs in MEL(down);EVPs in OV(up);CHB(down);CRC(up);MGUS(down);Urine(down)
exo_circ_005947	chr1:109242192-109242343|+	chr1:108699570-108699721|+	NA	NA	NA	Blood;CSF;EVPs in Blood;EVPs in Urine;Urine	0.026(1552)	0.013(372)	0.033(244)	0.008(125)	0(5)	0(21)	0.036(385)	0.057(175)	0.067(30)	0.25(4)	0.414948	0.36828	0.159836	0.301668	0.0	0.0	0.179221	0.171429	0.433333	3.75	NA
exo_circ_006260	chr1:113143415-113153625|-	chr1:112600793-112611003|-	hsa_circ_0000108	ST7L	protein coding gene	Blood;EVPs in Blood;EVPs in Urine;Urine	0.05(1552)	0.035(372)	0.029(244)	0.064(125)	0(5)	0(21)	0.592(385)	0.434(175)	0.067(30)	0(4)	0.624356	0.680108	0.188525	0.18771	0.0	0.0	10.922078	7.417143	0.1	0.0	EVPs in CRC(up);CHB(down);MM(up);Urine(down)
exo_circ_006274	chr1:113196219-113202401|+	chr1:112653597-112659779|+	hsa_circ_0000109	CAPZA1	protein coding gene	Blood;EVPs in Blood;EVPs in Bile;EVPs in CSF;EVPs in Urine;Urine	0.794(1552)	0.774(372)	0.807(244)	0.152(125)	0.4(5)	0.143(21)	0.829(385)	0.857(175)	0.5(30)	0(4)	79.271907	84.174731	84.25	0.165182	81.2	2.190476	215.205195	147.634286	9.166667	0.0	EVPs in Bile(down);EVPs in GBM(down);EVPs in MEL(down);EVPs in ML(down);EVPs in Urine(down);CHB(down);CSF(down);Urine(down)
exo_circ_006795	chr1:145640882-145650540|+	chr1:145784538-145794196|-	NA	RNF115	protein coding gene	Blood;EVPs in Blood;EVPs in Bile;EVPs in CSF;EVPs in Urine;Urine	0.322(1552)	0.25(372)	0.258(244)	0.264(125)	0.2(5)	0.048(21)	0.678(385)	0.64(175)	0.2(30)	0(4)	8.833119	7.231183	7.778689	0.344082	0.2	0.047619	14.942857	11.365714	6.7	0.0	EVPs in MEL(down);EVPs in OV(up);EVPs in SCLC(up);CHB(down);CSF(down);MGUS(down)
exo_circ_006878	chr1:146724277-146731572|+	chr1:147252622-147259918|+	hsa_circ_0004220	CHD1L	protein coding gene	Blood;EVPs in Blood;EVPs in CSF;EVPs in Urine	0.371(1552)	0.323(372)	0.311(244)	0.224(125)	0.4(5)	0(21)	0.164(385)	0.08(175)	0(30)	0(4)	11.000644	12.682796	10.754098	0.169392	0.8	0.0	5.875325	4.268571	0.0	0.0	EVPs in Bile(down);EVPs in GBM(down);EVPs in MEL(down);EVPs in OV(up);EVPs in Urine(down);HCC(up);MM(up);GC(down)
