hg19	hg38	circBase	circAtlas	circBank	ArrayStar	HGNC	strand	spliced_length	circBase_type	CSCD_type	algorithm
chr10:105176247-105198565	chr10:103416490-103438808	hsa_circ_0019841	NA	hsa_circPDCD11_032	ASCRP3012708	PDCD11	+	2507	exonic	NA	NA
chr10:105382226-105420872	chr10:103622469-103661114	hsa_circ_0005620	hsa-SH3PXD2A_000019	hsa_circSH3PXD2A_009	ASCRP3003856	SH3PXD2A	NA	4865	exonic	Intergenic	circRNA_finder
chr10:105382226-105420872	chr10:103622469-103661114	hsa_circ_0005620	hsa-SH3PXD2A_000019,hsa-SH3PXD2A_0001	hsa_circSH3PXD2A_009	ASCRP3003856	SH3PXD2A	-	4865	exonic	Exon,Intron	circRNA_finder,CIRI,find_circ,circexplorer2
chr10:1117078-1118233	chr10:1071138-1072293	hsa_circ_0000204	hsa-WDR37_0037	hsa_circWDR37_005	ASCRP3012838	WDR37	+	1155	sense overlapping	Exon,Intron	circRNA_finder,CIRI,find_circ
chr10:1130342-1142186	chr10:1084402-1096246	hsa_circ_0000206	hsa-WDR37_000002,hsa-WDR37_0008	hsa_circWDR37_026	ASCRP3003921	WDR37	+	330	exonic	Exon,Intron	circRNA_finder,CIRI,find_circ,circexplorer2
chr10:1130342-1142186	chr10:1084402-1096246	hsa_circ_0000206	hsa-WDR37_000002	hsa_circWDR37_026	ASCRP3003921	WDR37	NA	330	exonic	Intergenic	circRNA_finder
chr10:116590610-116608496	chr10:114830851-114848737	hsa_circ_0020080	hsa-FAM160B1_000001,hsa-FAM160B1_0003	hsa_circFAM160B1_004	ASCRP3001454	FAM160B1,FHIP2A	+	1758	exonic	Exon,Intron	circRNA_finder,CIRI,find_circ,circexplorer2
chr10:116590610-116608496	chr10:114830851-114848737	hsa_circ_0020080	hsa-FAM160B1_000001	hsa_circFAM160B1_004	ASCRP3001454	FAM160B1	NA	1758	exonic	Intergenic	circRNA_finder
chr10:1170157-1170964	chr10:1124217-1125024	hsa_circ_0017469	hsa-WDR37_000017,hsa-WDR37_0010	hsa_circWDR37_047	ASCRP3008218	WDR37	+	250	exonic	Exon,Intron	circRNA_finder,CIRI,find_circ,circexplorer2
chr10:1170157-1170964	chr10:1124217-1125024	hsa_circ_0017469	hsa-WDR37_000017	hsa_circWDR37_047	ASCRP3008218	WDR37	NA	250	exonic	Intergenic	circRNA_finder
chr10:11789347-11791591	chr10:11747348-11749592	hsa_circ_0017693	hsa-ECHDC3_0002	hsa_circECHDC3_001	ASCRP3008739	ECHDC3	+	220	exonic	NA	NA
chr10:11789347-11797607	chr10:11747348-11755608	hsa_circ_0017695	hsa-ECHDC3_000001,hsa-ECHDC3_0001	hsa_circECHDC3_003	ASCRP3002457	ECHDC3	+	421	exonic	Exon,Intron	circRNA_finder,CIRI,find_circ,circexplorer2
chr10:12039670-12046726	chr10:11997671-12004727	hsa_circ_0007448	hsa-UPF2_000005	hsa_circUPF2_014	ASCRP3001470	UPF2	NA	538	exonic	Intergenic	circRNA_finder
chr10:12039670-12046726	chr10:11997671-12004727	hsa_circ_0007448	hsa-UPF2_000005,hsa-UPF2_0004	hsa_circUPF2_014	ASCRP3001470	UPF2	-	538	exonic	Exon,Intron	circRNA_finder,CIRI,find_circ,circexplorer2
chr10:12039670-12056183	chr10:11997671-12014184	hsa_circ_0000213	hsa-UPF2_000076	hsa_circUPF2_008	ASCRP3007674	UPF2	NA	699	exonic	Intergenic	circRNA_finder
chr10:12039670-12056183	chr10:11997671-12014184	hsa_circ_0000213	hsa-UPF2_000076,hsa-UPF2_0018	hsa_circUPF2_008	ASCRP3007674	UPF2	-	699	exonic	Exon,Intron	circRNA_finder,CIRI,find_circ,circexplorer2
chr10:120445494-120450915	chr10:118685982-118691403	NA	hsa-CACUL1_0019	NA	ASCRP3004751	CACUL1	-	NA	exonic	NA	NA
chr10:120445494-120489922	chr10:118685982-118730410	hsa_circ_0092846	hsa-CACUL1_000026	hsa_circCACUL1_002	ASCRP3002141	CACUL1	NA	4791	exonic	Intergenic	circRNA_finder
chr10:120445494-120489922	chr10:118685982-118730410	hsa_circ_0092846	hsa-CACUL1_000026,hsa-CACUL1_0007	hsa_circCACUL1_002	ASCRP3002141	CACUL1	-	4791	exonic	Exon,Intron	circRNA_finder,CIRI,find_circ
chr10:12123470-12139995	chr10:12081471-12097996	hsa_circ_0017726	hsa-DHTKD1_000015,hsa-DHTKD1_0026	hsa_circDHTKD1_010	ASCRP3007542	DHTKD1	+	1517	exonic	Exon,Intron	circRNA_finder,CIRI,find_circ,circexplorer2
chr10:12123470-12139995	chr10:12081471-12097996	hsa_circ_0017726	hsa-DHTKD1_000015	hsa_circDHTKD1_010	ASCRP3007542	DHTKD1	NA	1517	exonic	Intergenic	circRNA_finder
chr10:12159671-12160917	chr10:12117672-12118918	hsa_circ_0092911	hsa-DHTKD1_0035	hsa_circDHTKD1_061	ASCRP3001119	DHTKD1	+	253	exonic	Exon,Intron	circRNA_finder,CIRI,find_circ,circexplorer2
chr10:122273422-122280607	chr10:120513910-120521095	hsa_circ_0008896	hsa-PLPP4_0001,hsa-PPAPDC1A_000011	hsa_circPPAPDC1A_006	ASCRP3004840	PLPP4,PPAPDC1A	+	280	exonic	Exon,Intron	circRNA_finder,CIRI,find_circ,circexplorer2
chr10:122273422-122280607	chr10:120513910-120521095	hsa_circ_0008896	hsa-PPAPDC1A_000011	hsa_circPPAPDC1A_006	ASCRP3004840	PPAPDC1A	NA	280	exonic	Intergenic	circRNA_finder
chr10:126727565-126727724	chr10:125038996-125039155	hsa_circ_0020353	hsa-CTBP2_000001,hsa-CTBP2_0001	hsa_circCTBP2_017	ASCRP3012661	CTBP2	-	159	exonic	NA	NA
chr10:126727565-126799662	chr10:125038996-125111093	hsa_circ_0005418	hsa-CTBP2_000017	hsa_circCTBP2_010	ASCRP3010224	CTBP2	NA	263	exonic	Intergenic	circRNA_finder
chr10:126727565-126799662	chr10:125038996-125111093	hsa_circ_0005418	hsa-CTBP2_000017,hsa-CTBP2_0002	hsa_circCTBP2_010	ASCRP3010224	CTBP2	-	263	exonic	Exon,Intron	circRNA_finder,CIRI,find_circ,circexplorer2
chr10:126727565-126811437	chr10:125038996-125122868	hsa_circ_0002545	hsa-CTBP2_000006	hsa_circCTBP2_007	ASCRP3002577	CTBP2	NA	12038	sense overlapping	Intergenic	circRNA_finder
chr10:126727565-126811437	chr10:125038996-125122868	hsa_circ_0002545	hsa-CTBP2_000006,hsa-CTBP2_0015	hsa_circCTBP2_007	ASCRP3002577	CTBP2	-	12038	sense overlapping	Exon,Intron	circRNA_finder,CIRI,find_circ
chr10:126799558-126811437	chr10:125110989-125122868	hsa_circ_0004875	hsa-CTBP2_000008	hsa_circCTBP2_006	ASCRP3010206	CTBP2	NA	11879	intronic	Intergenic	circRNA_finder
chr10:126799558-126811437	chr10:125110989-125122868	hsa_circ_0004875	hsa-CTBP2_000008,hsa-CTBP2_0012	hsa_circCTBP2_006	ASCRP3010206	CTBP2	-	11879	intronic	Exon,Intron	circRNA_finder,CIRI,find_circ
chr10:13375816-13387028	chr10:13333816-13345028	hsa_circ_0003136	NA	hsa_circSEPHS1_001	ASCRP3008334	SEPHS1	NA	638	exonic	Intergenic	circRNA_finder
chr10:13375816-13387028	chr10:13333816-13345028	hsa_circ_0003136	hsa-SEPHS1_0001	hsa_circSEPHS1_001	ASCRP3008334	SEPHS1	-	638	exonic	Exon,Intron	circRNA_finder,CIRI,find_circ,circexplorer2
chr10:20534273-20534434	chr10:20245344-20245505	hsa_circ_0093278	hsa-PLXDC2_0034	hsa_circPLXDC2_015	ASCRP3011023	PLXDC2	+	161	exonic	Exon,Intron	circRNA_finder,CIRI,find_circ,circexplorer2
chr10:22856779-22862386	chr10:22567850-22573457	hsa_circ_0017969	hsa-PIP4K2A_0014	hsa_circPIP4K2A_010	ASCRP3002443	PIP4K2A	-	186	exonic	NA	NA
chr10:27024168-27024508	chr10:26735239-26735579	hsa_circ_0018004	hsa-PDSS1_0040	hsa_circPDSS1_018	ASCRP3006866	PDSS1	+	195	exonic	Exon,Intron	circRNA_finder,CIRI,find_circ,circexplorer2
chr10:3160973-3162236	chr10:3118781-3120044	hsa_circ_0006608	hsa-PFKP_000004,hsa-PFKP_0006	hsa_circPFKP_023	ASCRP3006440	PFKP	+	241	exonic	Exon,Intron	circRNA_finder,CIRI,find_circ,circexplorer2
chr10:3160973-3162236	chr10:3118781-3120044	hsa_circ_0006608	hsa-PFKP_000004	hsa_circPFKP_023	ASCRP3006440	PFKP	NA	241	exonic	Intergenic	circRNA_finder
chr10:3822518-3824406	chr10:3780326-3782214	hsa_circ_0017516	NA	hsa_circKLF6_002	ASCRP3013292	KLF6	-	1888	exonic	NA	NA
chr10:43312046-43319232	chr10:42816598-42823784	hsa_circ_0018242	hsa-BMS1_000001,hsa-BMS1_0003	hsa_circBMS1_013	ASCRP3004129	BMS1	+	1127	exonic	Exon,Intron	circRNA_finder,CIRI,find_circ,circexplorer2
chr10:43312046-43319232	chr10:42816598-42823784	hsa_circ_0018242	hsa-BMS1_000001	hsa_circBMS1_013	ASCRP3004129	BMS1	NA	1127	exonic	Intergenic	circRNA_finder
chr10:51853027-51853677	chr10:50093267-50093917	hsa_circ_0002261	NA	hsa_circFAM21A_009	ASCRP3010323	FAM21A,WASHC2A	+	177	exonic	Exon,Intron	circRNA_finder,circexplorer2
chr10:51853027-51853677	chr10:50093267-50093917	hsa_circ_0002261	NA	hsa_circFAM21A_009	ASCRP3010323	FAM21A	NA	177	exonic	Intergenic	circRNA_finder
chr10:52193235-52350007	chr10:50433475-50590247	hsa_circ_0018401	hsa-SGMS1_000005,hsa-SGMS1_0007	hsa_circSGMS1_008	ASCRP3007605	SGMS1	-	452	exonic	Exon,Intron	CIRI,circexplorer2
chr10:53459000-53459207	chr10:51699240-51699447	hsa_circ_0000238	NA	hsa_circPRKG1_006	ASCRP3007469	PRKG1	+	207	intronic	Intron	find_circ
chr10:53459000-53459207	chr10:51699240-51699447	hsa_circ_0000238	NA	hsa_circPRKG1_006	ASCRP3007469	CSTF2T,PRKG1	NA	207	intronic	Exon	find_circ
chr10:61865662-61898845	chr10:60105904-60139087	hsa_circ_0093807	hsa-ANK3_000005	hsa_circANK3_025	ASCRP3000861	ANK3	NA	714	exonic	Intergenic	circRNA_finder
chr10:61865662-61898845	chr10:60105904-60139087	hsa_circ_0093807	hsa-ANK3_000005,hsa-ANK3_0005	hsa_circANK3_025	ASCRP3000861	ANK3	-	714	exonic	Exon,Intron	circRNA_finder,CIRI,find_circ,circexplorer2
chr10:62021616-62039397	chr10:60261858-60279639	hsa_circ_0018440	NA	hsa_circANK3_008	ASCRP3008803	ANK3	NA	684	exonic	Intergenic	circRNA_finder
chr10:62021616-62039397	chr10:60261858-60279639	hsa_circ_0018440	hsa-ANK3_0002	hsa_circANK3_008	ASCRP3008803	ANK3	-	684	exonic	Exon,Intron	circRNA_finder,CIRI,find_circ,circexplorer2
chr10:70096955-70098444	chr10:68337198-68338687	hsa_circ_0018497	hsa-HNRNPH3_0037	hsa_circHNRNPH3_001	ASCRP3012577	HNRNPH3	+	459	exonic	Exon	circexplorer2,circRNA_finder
chr10:70096955-70101437	chr10:68337198-68341680	hsa_circ_0018499	hsa-HNRNPH3_0003	hsa_circHNRNPH3_003	ASCRP3013101	HNRNPH3	+	894	exonic	Exon,Intron	circRNA_finder,CIRI,find_circ,circexplorer2
chr10:70096955-70101437	chr10:68337198-68341680	hsa_circ_0018499	NA	hsa_circHNRNPH3_003	ASCRP3013101	HNRNPH3	NA	894	exonic	Intergenic	circRNA_finder
chr10:70218860-70229920	chr10:68459103-68470163	hsa_circ_0009172	hsa-DNA2_000002	hsa_circDNA2_007	ASCRP3001644	DNA2	NA	645	exonic	Intergenic	circRNA_finder
chr10:70218860-70229920	chr10:68459103-68470163	hsa_circ_0009172	hsa-DNA2_000002,hsa-DNA2_0014	hsa_circDNA2_007	ASCRP3001644	DNA2	-	645	exonic	Exon,Intron	circRNA_finder,CIRI,find_circ,circexplorer2
chr10:70411602-70432802	chr10:68651845-68673045	hsa_circ_0094004	hsa-TET1_0016	hsa_circTET1_015	ASCRP3007608	TET1	+	548	exonic	Exon,Intron	circRNA_finder,CIRI,find_circ,circexplorer2
chr10:71977567-71978573	chr10:70217811-70218817	hsa_circ_0018652	hsa-PPA1_000002	hsa_circPPA1_002	ASCRP3010938	PPA1	NA	174	exonic	Intergenic	circRNA_finder
chr10:71977567-71978573	chr10:70217811-70218817	hsa_circ_0018652	hsa-PPA1_000002,hsa-PPA1_0007	hsa_circPPA1_002	ASCRP3010938	PPA1	-	174	exonic	Exon,Intron	circRNA_finder,CIRI,find_circ,circexplorer2
chr10:7262372-7327916	chr10:7220410-7285954	hsa_circ_0017628	hsa-SFMBT2_000006	hsa_circSFMBT2_026	ASCRP3012668	SFMBT2	NA	894	exonic	Intergenic	circRNA_finder
chr10:7262372-7327916	chr10:7220410-7285954	hsa_circ_0017628	hsa-SFMBT2_000006,hsa-SFMBT2_0011	hsa_circSFMBT2_026	ASCRP3012668	SFMBT2	-	894	exonic	Exon,Intron	circRNA_finder,CIRI,find_circ,circexplorer2
chr10:7318853-7327916	chr10:7276891-7285954	hsa_circ_0000211	hsa-SFMBT2_000001	hsa_circSFMBT2_020	ASCRP3012217	SFMBT2	NA	434	exonic	Intergenic	circRNA_finder
chr10:7318853-7327916	chr10:7276891-7285954	hsa_circ_0000211	hsa-SFMBT2_000001,hsa-SFMBT2_0003	hsa_circSFMBT2_020	ASCRP3012217	SFMBT2	-	434	exonic	Exon,Intron	circRNA_finder,CIRI,find_circ,circexplorer2
chr10:7325865-7327916	chr10:7283903-7285954	hsa_circ_0017643	hsa-SFMBT2_000005	hsa_circSFMBT2_019	ASCRP3001302	SFMBT2	NA	336	exonic	Intergenic	circRNA_finder
chr10:7325865-7327916	chr10:7283903-7285954	hsa_circ_0017643	hsa-SFMBT2_000005,hsa-SFMBT2_0005	hsa_circSFMBT2_019	ASCRP3001302	SFMBT2	-	336	exonic	Exon,Intron	circRNA_finder,CIRI,find_circ,circexplorer2
chr10:73585593-73594262	chr10:71825836-71834505	hsa_circ_0018722	NA	hsa_circPSAP_007	ASCRP3011057	PSAP	-	737	exonic	Exon,Intron	circRNA_finder,CIRI,circexplorer2
chr10:74033914-74035797	chr10:72274156-72276039	hsa_circ_0018744	NA	hsa_circDDIT4_002	ASCRP3010619	DDIT4	+	1610	exonic	NA	NA
chr10:74100546-74100928	chr10:72340788-72341170	hsa_circ_0008662	hsa-DNAJB12_000003	hsa_circDNAJB12_005	ASCRP3003554	DNAJB12	NA	266	exonic	Intergenic	circRNA_finder
chr10:74100546-74100928	chr10:72340788-72341170	hsa_circ_0008662	hsa-DNAJB12_000003,hsa-DNAJB12_0003	hsa_circDNAJB12_005	ASCRP3003554	DNAJB12	-	266	exonic	Exon,Intron	circRNA_finder,CIRI,find_circ,circexplorer2
chr10:75156276-75160615	chr10:73396518-73400857	hsa_circ_0006276	hsa-ANXA7_000001	hsa_circANXA7_006	ASCRP3013076	ANXA7	NA	436	exonic	Intergenic	circRNA_finder
chr10:75156276-75160615	chr10:73396518-73400857	hsa_circ_0006276	hsa-ANXA7_000001,hsa-ANXA7_0012	hsa_circANXA7_006	ASCRP3013076	ANXA7	-	436	exonic	Exon,Intron	circRNA_finder,CIRI,find_circ,circexplorer2
chr10:76598440-76603236	chr10:74838682-74843478	hsa_circ_0005164	hsa-KAT6B_000001,hsa-KAT6B_0011	hsa_circKAT6B_001	ASCRP3005515	KAT6B	+	949	exonic	Exon,Intron	circRNA_finder,CIRI,find_circ,circexplorer2
chr10:76598440-76603236	chr10:74838682-74843478	hsa_circ_0005164	hsa-KAT6B_000001	hsa_circKAT6B_001	ASCRP3005515	KAT6B	NA	949	exonic	Intergenic	circRNA_finder
chr10:76910271-76928416	chr10:75150513-75168658	hsa_circ_0018905	hsa-SAMD8_000002,hsa-SAMD8_0002	hsa_circSAMD8_003	ASCRP3012086	SAMD8	+	807	exonic	Exon,Intron	circRNA_finder,CIRI,find_circ,circexplorer2
chr10:76910271-76928416	chr10:75150513-75168658	hsa_circ_0018905	hsa-SAMD8_000002	hsa_circSAMD8_003	ASCRP3012086	SAMD8	NA	807	exonic	Intergenic	circRNA_finder
chr10:79613111-79614128	chr10:77853353-77854370	hsa_circ_0006649	hsa-DLG5_000001	hsa_circDLG5_008	ASCRP3004249	DLG5	NA	328	exonic	Intergenic	circRNA_finder
chr10:79613111-79614128	chr10:77853353-77854370	hsa_circ_0006649	hsa-DLG5_000001,hsa-DLG5_0004	hsa_circDLG5_008	ASCRP3004249	DLG5	-	328	exonic	Exon,Intron	circRNA_finder,CIRI,find_circ,circexplorer2
chr10:80961340-80976031	chr10:79201583-79216274	hsa_circ_0003605	hsa-ZMIZ1_000001,hsa-ZMIZ1_0001	hsa_circZMIZ1_011	ASCRP3012926	ZMIZ1	+	329	exonic	Exon,Intron	circRNA_finder,CIRI,find_circ,circexplorer2
chr10:80961340-80976031	chr10:79201583-79216274	hsa_circ_0003605	hsa-ZMIZ1_000001	hsa_circZMIZ1_011	ASCRP3012926	ZMIZ1	NA	329	exonic	Intergenic	circRNA_finder
chr10:81059688-81060008	chr10:79299931-79300251	hsa_circ_0092353	NA	hsa_circZMIZ1_013	ASCRP3006403	ZMIZ1	+	320	intronic	NA	NA
chr10:88231964-88233730	chr10:86472207-86473973	hsa_circ_0005828	hsa-WAPAL_000013,hsa-WAPL_0057	hsa_circWAPAL_003	ASCRP3000201	WAPAL,WAPL	-	386	exonic	Exon,Intron	circRNA_finder,CIRI,find_circ,circexplorer2
chr10:93608139-93611093	chr10:91848382-91851336	hsa_circ_0008332	hsa-TNKS2_000013,hsa-TNKS2_0013	hsa_circTNKS2_032	ASCRP3003796	TNKS2	+	457	exonic	Exon,Intron	circRNA_finder,CIRI,find_circ,circexplorer2
chr10:93608139-93611093	chr10:91848382-91851336	hsa_circ_0008332	hsa-TNKS2_000013	hsa_circTNKS2_032	ASCRP3003796	TNKS2	NA	457	exonic	Intergenic	circRNA_finder
chr10:98703869-98711953	chr10:96944112-96952196	hsa_circ_0008102	hsa-LCOR_000017,hsa-LCOR_0002	hsa_circLCOR_016	ASCRP3006196	LCOR	+	515	exonic	Exon,Intron	circRNA_finder,CIRI,find_circ,circexplorer2
chr10:98703869-98711953	chr10:96944112-96952196	hsa_circ_0008102	hsa-LCOR_000017	hsa_circLCOR_016	ASCRP3006196	LCOR	NA	515	exonic	Intergenic	circRNA_finder
chr11:102076623-102080295	chr11:102205892-102209564	hsa_circ_0006286	hsa-YAP1_000008,hsa-YAP1_0008	hsa_circYAP1_012	ASCRP3000808	YAP1	+	230	exonic	Exon,Intron	circRNA_finder,CIRI,find_circ,circexplorer2
chr11:102076623-102080295	chr11:102205892-102209564	hsa_circ_0006286	hsa-YAP1_000008	hsa_circYAP1_012	ASCRP3000808	YAP1	NA	230	exonic	Intergenic	circRNA_finder
chr11:102076623-102094483	chr11:102205892-102223752	hsa_circ_0005990	hsa-YAP1_000011,hsa-YAP1_0014	hsa_circYAP1_013	ASCRP3007446	YAP1	+	361	exonic	Exon,Intron	circRNA_finder,CIRI,find_circ,circexplorer2
chr11:102076623-102094483	chr11:102205892-102223752	hsa_circ_0005990	hsa-YAP1_000011	hsa_circYAP1_013	ASCRP3007446	YAP1	NA	361	exonic	Intergenic	circRNA_finder
chr11:103173821-103229087	chr11:103303092-103358359	hsa_circ_0024144	hsa-DYNC2H1_000003,hsa-DYNC2H1_0020	hsa_circDYNC2H1_057	ASCRP3011771	DYNC2H1	+	1061	exonic	Exon,Intron	circRNA_finder,CIRI,find_circ,circexplorer2
chr11:103173821-103229087	chr11:103303092-103358359	hsa_circ_0024144	hsa-DYNC2H1_000003	hsa_circDYNC2H1_057	ASCRP3011771	DYNC2H1	NA	1061	exonic	Intergenic	circRNA_finder
chr11:107260799-107263621	chr11:107390073-107392895	hsa_circ_0094798	hsa-CWF19L2_000002	hsa_circCWF19L2_010	ASCRP3012423	CWF19L2	NA	255	exonic	Intergenic	circRNA_finder
chr11:107260799-107263621	chr11:107390073-107392895	hsa_circ_0094798	hsa-CWF19L2_000002,hsa-CWF19L2_0012	hsa_circCWF19L2_010	ASCRP3012423	CWF19L2	-	255	exonic	Exon,Intron	circRNA_finder,CIRI,find_circ,circexplorer2
chr11:107673726-107686691	chr11:107803000-107815965	hsa_circ_0094814	hsa-SLC35F2_000001	hsa_circSLC35F2_005	ASCRP3012741	SLC35F2	NA	829	exonic	Intergenic	circRNA_finder
chr11:107673726-107686691	chr11:107803000-107815965	hsa_circ_0094814	hsa-SLC35F2_000001,hsa-SLC35F2_0002	hsa_circSLC35F2_005	ASCRP3012741	SLC35F2	-	829	exonic	Exon,Intron	circRNA_finder,CIRI,find_circ,circexplorer2
chr11:116734383-116744352	chr11:116863667-116873636	hsa_circ_0000357	hsa-SIK3_000032	hsa_circSIK3_017	ASCRP3007278	SIK3	NA	378	exonic	Intergenic	circRNA_finder
chr11:116734383-116744352	chr11:116863667-116873636	hsa_circ_0000357	hsa-SIK3_000032,hsa-SIK3_0019	hsa_circSIK3_017	ASCRP3007278	SIK3	-	378	exonic	Exon,Intron	circRNA_finder,CIRI,find_circ,circexplorer2
chr11:118625413-118627996	chr11:118754704-118757287	hsa_circ_0024490	hsa-DDX6_000016	hsa_circDDX6_027	ASCRP3009562	DDX6	NA	466	exonic	Intergenic	circRNA_finder
chr11:118625413-118627996	chr11:118754704-118757287	hsa_circ_0024490	hsa-DDX6_000016,hsa-DDX6_0017	hsa_circDDX6_027	ASCRP3009562	DDX6	-	466	exonic	Exon,Intron	circRNA_finder,CIRI,find_circ,circexplorer2
chr11:120276826-120351139	chr11:120406117-120480430	hsa_circ_0024615	NA	hsa_circARHGEF12_013	ASCRP3008683	ARHGEF12	+	4205	exonic	NA	NA
chr11:122953792-122955421	chr11:123083084-123084713	hsa_circ_0003997	hsa-CLMP_000001,hsa-CLMP_0002	hsa_circCLMP_003	ASCRP3006838	CLMP	-	493	exonic	Exon,Intron	circRNA_finder,CIRI,find_circ,circexplorer2
chr11:122954387-122968660	chr11:123083679-123097952	NA	NA	NA	ASCRP3008133	CLMP	-	NA	exonic	NA	NA
chr11:123464789-123465546	chr11:123594081-123594838	hsa_circ_0006239	hsa-GRAMD1B_000001,hsa-GRAMD1B_0002	hsa_circGRAMD1B_003	ASCRP3006431	GRAMD1B	+	189	exonic	Exon,Intron	circRNA_finder,CIRI,find_circ,circexplorer2
chr11:125442353-125445304	chr11:125572457-125575408	hsa_circ_0095288	hsa-EI24_0006	hsa_circEI24_001	ASCRP3009921	EI24	+	258	exonic	Exon,Intron	circRNA_finder,CIRI,find_circ,circexplorer2
chr11:125472197-125488456	chr11:125602302-125618561	hsa_circ_0024770	NA	hsa_circSTT3A_013	ASCRP3011493	STT3A	+	1814	exonic	Exon,Intron	circexplorer2,circRNA_finder
chr11:128628009-128651918	chr11:128758114-128782023	hsa_circ_0000370	hsa-FLI1_000001,hsa-FLI1_0003	hsa_circFLI1_003	ASCRP3010625	FLI1	+	637	exonic	Exon,Intron	circRNA_finder,CIRI,find_circ,circexplorer2
chr11:128628009-128651918	chr11:128758114-128782023	hsa_circ_0000370	hsa-FLI1_000001	hsa_circFLI1_003	ASCRP3010625	FLI1	NA	637	exonic	Intergenic	circRNA_finder
chr11:20007406-20007883	chr11:19985860-19986337	NA	NA	NA	ASCRP3010521	NAV2	+	NA	intronic	NA	NA
chr11:20101609-20104725	chr11:20080063-20083179	hsa_circ_0004819	hsa-NAV2_000014,hsa-NAV2_0016	hsa_circNAV2_034	ASCRP3004025	NAV2	+	328	exonic	Exon,Intron	circRNA_finder,CIRI,find_circ,circexplorer2
chr11:20101609-20104725	chr11:20080063-20083179	hsa_circ_0004819	hsa-NAV2_000014	hsa_circNAV2_034	ASCRP3004025	NAV2	NA	328	exonic	Intergenic	circRNA_finder
chr11:22225349-22249132	chr11:22203803-22227586	hsa_circ_0021506	hsa-ANO5_000031,hsa-ANO5_0012	hsa_circANO5_004	ASCRP3011466	ANO5	+	608	exonic	Exon,Intron	circRNA_finder,CIRI,find_circ,circexplorer2
chr11:22225349-22249132	chr11:22203803-22227586	hsa_circ_0021506	hsa-ANO5_000031	hsa_circANO5_004	ASCRP3011466	ANO5	NA	608	exonic	Intergenic	circRNA_finder
chr11:224077-233215	chr11:224077-233215	hsa_circ_0006467	hsa-SIRT3_0008	hsa_circSIRT3_003	ASCRP3008809	SIRT3	-	496	exonic	Exon,Intron	circRNA_finder,find_circ,circexplorer2
chr11:238997-244761	chr11:238997-244761	hsa_circ_0095629	hsa-PSMD13_000002,hsa-PSMD13_0002	hsa_circPSMD13_002	ASCRP3003787	PSMD13	+	301	exonic	Exon,Intron	circRNA_finder,CIRI,find_circ,circexplorer2
