hg38,miRNA
chr1:200760838-200815644,miR-4745-5p
chr1:200760838-200815644,miR-4752
chr1:200760838-200815644,miR-4761-3p
chr1:200760838-200815644,miR-4766-5p
chr1:200760838-200815644,miR-4773
chr1:200760838-200815644,miR-4786-5p
chr1:200760838-200815644,miR-4789-3p
chr1:200760838-200815644,miR-4799-3p
chr1:200760838-200815644,miR-487-3p
chr1:200760838-200815644,miR-487a-3p
chr1:200760838-200815644,miR-488-3p
chr1:200760838-200815644,miR-495-3p
chr1:200760838-200815644,miR-498
chr1:200760838-200815644,miR-499a-3p
chr1:200760838-200815644,miR-499b-3p
chr1:200760838-200815644,miR-5000-5p
chr1:200760838-200815644,miR-5008-3p
chr1:200760838-200815644,miR-5047
chr1:200760838-200815644,miR-505-3p.1
chr1:200760838-200815644,miR-507
chr1:200760838-200815644,miR-5087
chr1:200760838-200815644,miR-511-5p
chr1:200760838-200815644,miR-5190
chr1:200760838-200815644,miR-522-3p
chr1:200760838-200815644,miR-522-3p
chr1:200760838-200815644,miR-526b-5p
chr1:200760838-200815644,miR-526b-5p
chr1:200760838-200815644,miR-539-3p
chr1:200760838-200815644,miR-544a
chr1:200760838-200815644,miR-548a-3p
chr1:200760838-200815644,miR-548ac
chr1:200760838-200815644,miR-548ae-3p
chr1:200760838-200815644,miR-548ah-3p
chr1:200760838-200815644,miR-548aj-3p
chr1:200760838-200815644,miR-548am-3p
chr1:200760838-200815644,miR-548aq-3p
chr1:200760838-200815644,miR-548ar-3p
chr1:200760838-200815644,miR-548av-3p
chr1:200760838-200815644,miR-548az-3p
chr1:200760838-200815644,miR-548b-3p
chr1:200760838-200815644,miR-548bb-3p
chr1:200760838-200815644,miR-548d-3p
chr1:200760838-200815644,miR-548e-3p
chr1:200760838-200815644,miR-548f-3p
chr1:200760838-200815644,miR-548g-3p
chr1:200760838-200815644,miR-548h-3p
chr1:200760838-200815644,miR-548j-3p
chr1:200760838-200815644,miR-548p
chr1:200760838-200815644,miR-548s
chr1:200760838-200815644,miR-548u
chr1:200760838-200815644,miR-548x-3p
chr1:200760838-200815644,miR-548z
chr1:200760838-200815644,miR-552-3p
chr1:200760838-200815644,miR-5582-3p
chr1:200760838-200815644,miR-5586-5p
chr1:200760838-200815644,miR-5588-5p
chr1:200760838-200815644,miR-561-5p
chr1:200760838-200815644,miR-5696
chr1:200760838-200815644,miR-573
chr1:200760838-200815644,miR-578
chr1:200760838-200815644,miR-578
chr1:200760838-200815644,miR-580-3p
chr1:200760838-200815644,miR-581
chr1:200760838-200815644,miR-591
chr1:200760838-200815644,miR-592
chr1:200760838-200815644,miR-597-3p
chr1:200760838-200815644,miR-597-3p
chr1:200760838-200815644,miR-597-5p
chr1:200760838-200815644,miR-607
chr1:200760838-200815644,miR-6073
chr1:200760838-200815644,miR-615-5p
chr1:200760838-200815644,miR-620
chr1:200760838-200815644,miR-629-5p
chr1:200760838-200815644,miR-642-3p
chr1:200760838-200815644,miR-643
chr1:200760838-200815644,miR-648
chr1:200760838-200815644,miR-6500-5p
chr1:200760838-200815644,miR-6504-3p
chr1:200760838-200815644,miR-6516-5p
chr1:200760838-200815644,miR-654-3p
chr1:200760838-200815644,miR-660-3p
chr1:200760838-200815644,miR-664b-3p
chr1:200760838-200815644,miR-665
chr1:200760838-200815644,miR-6735-5p
chr1:200760838-200815644,miR-6737-3p
chr1:200760838-200815644,miR-6739-3p
chr1:200760838-200815644,miR-6749-3p
chr1:200760838-200815644,miR-6754-5p
chr1:200760838-200815644,miR-6759-3p
chr1:200760838-200815644,miR-676-5p
chr1:200760838-200815644,miR-6760-5p
chr1:200760838-200815644,miR-6761-5p
chr1:200760838-200815644,miR-6768-5p
chr1:200760838-200815644,miR-6780a-3p
chr1:200760838-200815644,miR-6783-3p
chr1:200760838-200815644,miR-6790-3p
chr1:200760838-200815644,miR-6792-3p
chr1:200760838-200815644,miR-6794-3p
chr1:200760838-200815644,miR-6796-3p
chr1:200760838-200815644,miR-6801-5p
chr1:200760838-200815644,miR-6804-5p
chr1:200760838-200815644,miR-6806-3p
chr1:200760838-200815644,miR-6818-5p
chr1:200760838-200815644,miR-6821-3p
chr1:200760838-200815644,miR-6830-3p
chr1:200760838-200815644,miR-6830-5p
chr1:200760838-200815644,miR-6833-5p
chr1:200760838-200815644,miR-6839-3p
chr1:200760838-200815644,miR-6839-5p
chr1:200760838-200815644,miR-6853-3p
chr1:200760838-200815644,miR-6864-3p
chr1:200760838-200815644,miR-6867-5p
chr1:200760838-200815644,miR-6874-5p
chr1:200760838-200815644,miR-6879-5p
chr1:200760838-200815644,miR-6888-5p
chr1:200760838-200815644,miR-6889-3p
chr1:200760838-200815644,miR-6891-5p
chr1:200760838-200815644,miR-7112-3p
chr1:200760838-200815644,miR-7114-5p
chr1:200760838-200815644,miR-7152-5p
chr1:200760838-200815644,miR-7155-3p
chr1:200760838-200815644,miR-7156-3p
chr1:200760838-200815644,miR-7156-5p
chr1:200760838-200815644,miR-7157-3p
chr1:200760838-200815644,miR-7160-5p
chr1:200760838-200815644,miR-7161-5p
chr1:200760838-200815644,miR-7641
chr1:200760838-200815644,miR-766-3p
chr1:200760838-200815644,miR-769-5p
chr1:200760838-200815644,miR-770-5p
chr1:200760838-200815644,miR-7703
chr1:200760838-200815644,miR-7843-3p
chr1:200760838-200815644,miR-7843-5p
chr1:200760838-200815644,miR-7847-3p
chr1:200760838-200815644,miR-7856-5p
chr1:200760838-200815644,miR-7977
chr1:200760838-200815644,miR-8077
chr1:200760838-200815644,miR-873-3p
chr1:200760838-200815644,miR-876-3p
chr1:200760838-200815644,miR-877-3p
chr1:200760838-200815644,miR-885-5p
chr1:200760838-200815644,miR-888-3p
chr1:200760838-200815644,miR-892a
chr1:200760838-200815644,miR-93-3p
chr1:200760838-200815644,miR-935
chr1:200760838-200815644,miR-935
chr1:200760838-200815644,miR-99-3p
chr1:211662772-211670407,let-7c-3p
chr1:211662772-211670407,miR-1185-1-3p
chr1:211662772-211670407,miR-1185-5p
chr1:211662772-211670407,miR-1202
chr1:211662772-211670407,miR-1225-3p
chr1:211662772-211670407,miR-1233-3p
chr1:211662772-211670407,miR-1236-3p
chr1:211662772-211670407,miR-1249-3p
chr1:211662772-211670407,miR-1251-5p
chr1:211662772-211670407,miR-1255b-2-3p
chr1:211662772-211670407,miR-1266-3p
chr1:211662772-211670407,miR-128-3p
chr1:211662772-211670407,miR-1284
chr1:211662772-211670407,miR-1287-3p
chr1:211662772-211670407,miR-1296-3p
chr1:211662772-211670407,miR-1298-5p
chr1:211662772-211670407,miR-1299
chr1:211662772-211670407,miR-1301-5p
chr1:211662772-211670407,miR-1324
chr1:211662772-211670407,miR-144-5p
chr1:211662772-211670407,miR-1468-5p
chr1:211662772-211670407,miR-146a-3p
chr1:211662772-211670407,miR-148a-5p
chr1:211662772-211670407,miR-148b-5p
chr1:211662772-211670407,miR-149-5p
chr1:211662772-211670407,miR-150-5p
chr1:211662772-211670407,miR-1539
chr1:211662772-211670407,miR-155-3p
chr1:211662772-211670407,miR-181a-2-3p
chr1:211662772-211670407,miR-186-5p
chr1:211662772-211670407,miR-1909-5p
chr1:211662772-211670407,miR-203a-5p
chr1:211662772-211670407,miR-203b-3p
chr1:211662772-211670407,miR-205-5p
chr1:211662772-211670407,miR-2054
chr1:211662772-211670407,miR-20b-3p
chr1:211662772-211670407,miR-2116-3p
chr1:211662772-211670407,miR-2116-5p
chr1:211662772-211670407,miR-2117
chr1:211662772-211670407,miR-216a-3p
chr1:211662772-211670407,miR-216a-5p
chr1:211662772-211670407,miR-22-5p
chr1:211662772-211670407,miR-2276-3p
chr1:211662772-211670407,miR-2355-3p
chr1:211662772-211670407,miR-2355-5p
chr1:211662772-211670407,miR-2392
chr1:211662772-211670407,miR-24-3p
chr1:211662772-211670407,miR-26b-3p
chr1:211662772-211670407,miR-27a-3p
chr1:211662772-211670407,miR-27b-3p
chr1:211662772-211670407,miR-29a-5p
chr1:211662772-211670407,miR-301a-5p
chr1:211662772-211670407,miR-301b-5p
chr1:211662772-211670407,miR-302c-5p
chr1:211662772-211670407,miR-3064-5p
chr1:211662772-211670407,miR-3074-3p
chr1:211662772-211670407,miR-3074-5p
chr1:211662772-211670407,miR-30a-3p
chr1:211662772-211670407,miR-30d-3p
chr1:211662772-211670407,miR-30e-3p
chr1:211662772-211670407,miR-3120-5p
chr1:211662772-211670407,miR-3121-3p
chr1:211662772-211670407,miR-3124-3p
chr1:211662772-211670407,miR-3140-5p
chr1:211662772-211670407,miR-3143
chr1:211662772-211670407,miR-3147
chr1:211662772-211670407,miR-3152-5p
chr1:211662772-211670407,miR-3153
chr1:211662772-211670407,miR-3158-3p
chr1:211662772-211670407,miR-3159
chr1:211662772-211670407,miR-3160-3p
chr1:211662772-211670407,miR-3174
chr1:211662772-211670407,miR-3177-5p
chr1:211662772-211670407,miR-3187-5p
chr1:211662772-211670407,miR-3191-5p
chr1:211662772-211670407,miR-3193
chr1:211662772-211670407,miR-320a
chr1:211662772-211670407,miR-320b
chr1:211662772-211670407,miR-320c
chr1:211662772-211670407,miR-345-5p
chr1:211662772-211670407,miR-346
chr1:211662772-211670407,miR-3591-5p
chr1:211662772-211670407,miR-3605-5p
chr1:211662772-211670407,miR-3607-5p
chr1:211662772-211670407,miR-3614-5p
chr1:211662772-211670407,miR-3622b-5p
chr1:211662772-211670407,miR-3652
chr1:211662772-211670407,miR-3653-3p
chr1:211662772-211670407,miR-3660
chr1:211662772-211670407,miR-3679-3p
chr1:211662772-211670407,miR-3679-5p
chr1:211662772-211670407,miR-3681-3p
chr1:211662772-211670407,miR-3685
chr1:211662772-211670407,miR-371b-5p
chr1:211662772-211670407,miR-373-5p
chr1:211662772-211670407,miR-374a-5p
chr1:211662772-211670407,miR-374b-3p
chr1:211662772-211670407,miR-377-3p
chr1:211662772-211670407,miR-378c
chr1:211662772-211670407,miR-378j
chr1:211662772-211670407,miR-384
chr1:211662772-211670407,miR-3908
chr1:211662772-211670407,miR-3909
chr1:211662772-211670407,miR-3921
chr1:211662772-211670407,miR-3923
chr1:211662772-211670407,miR-3925-3p
chr1:211662772-211670407,miR-3972
chr1:211662772-211670407,miR-421
chr1:211662772-211670407,miR-4263
chr1:211662772-211670407,miR-4264
chr1:211662772-211670407,miR-4272
chr1:211662772-211670407,miR-4273
chr1:211662772-211670407,miR-4276
chr1:211662772-211670407,miR-4282
chr1:211662772-211670407,miR-4284
chr1:211662772-211670407,miR-4286
chr1:211662772-211670407,miR-4288
chr1:211662772-211670407,miR-4297
chr1:211662772-211670407,miR-4305
chr1:211662772-211670407,miR-4310
chr1:211662772-211670407,miR-4325
chr1:211662772-211670407,miR-4326
chr1:211662772-211670407,miR-433-3p
chr1:211662772-211670407,miR-4330
chr1:211662772-211670407,miR-4429
chr1:211662772-211670407,miR-4430
chr1:211662772-211670407,miR-4446-3p
chr1:211662772-211670407,miR-4460
chr1:211662772-211670407,miR-4474-5p
chr1:211662772-211670407,miR-4492
chr1:211662772-211670407,miR-4494
chr1:211662772-211670407,miR-4498
chr1:211662772-211670407,miR-449c-3p
chr1:211662772-211670407,miR-4503
chr1:211662772-211670407,miR-451b
chr1:211662772-211670407,miR-4524a-3p
chr1:211662772-211670407,miR-4524b-3p
chr1:211662772-211670407,miR-4526
chr1:211662772-211670407,miR-4529-3p
chr1:211662772-211670407,miR-4652-3p
chr1:211662772-211670407,miR-4653-5p
chr1:211662772-211670407,miR-4659a-3p
chr1:211662772-211670407,miR-4659b-3p
chr1:211662772-211670407,miR-4668-5p
chr1:211662772-211670407,miR-4672
chr1:211662772-211670407,miR-4676-5p
chr1:211662772-211670407,miR-4677-5p
chr1:211662772-211670407,miR-4684-5p
chr1:211662772-211670407,miR-4686
chr1:211662772-211670407,miR-4699-5p
chr1:211662772-211670407,miR-4704-3p
chr1:211662772-211670407,miR-4709-5p
chr1:211662772-211670407,miR-4713-5p
chr1:211662772-211670407,miR-4727-3p
chr1:211662772-211670407,miR-4738-3p
chr1:211662772-211670407,miR-4753-3p
chr1:211662772-211670407,miR-4768-5p
chr1:211662772-211670407,miR-4772-3p
chr1:211662772-211670407,miR-4773
chr1:211662772-211670407,miR-4774-3p
chr1:211662772-211670407,miR-4775
chr1:211662772-211670407,miR-4778-5p
chr1:211662772-211670407,miR-4782-5p
chr1:211662772-211670407,miR-4793-5p
chr1:211662772-211670407,miR-4794
chr1:211662772-211670407,miR-4797-5p
chr1:211662772-211670407,miR-483-3p.1
chr1:211662772-211670407,miR-483-3p.2
chr1:211662772-211670407,miR-486-5p
chr1:211662772-211670407,miR-493-3p
chr1:211662772-211670407,miR-499a-3p
chr1:211662772-211670407,miR-499b-3p
chr1:211662772-211670407,miR-499b-5p
chr1:211662772-211670407,miR-5001-5p
chr1:211662772-211670407,miR-5006-5p
chr1:211662772-211670407,miR-5009-5p
chr1:211662772-211670407,miR-500a-5p
chr1:211662772-211670407,miR-500b-5p
chr1:211662772-211670407,miR-501-5p
chr1:211662772-211670407,miR-502-5p
chr1:211662772-211670407,miR-505-3p.2
chr1:211662772-211670407,miR-5089-3p
chr1:211662772-211670407,miR-509-5p
chr1:211662772-211670407,miR-513b-3p
chr1:211662772-211670407,miR-513c-5p
chr1:211662772-211670407,miR-514b-5p
chr1:211662772-211670407,miR-516b-5p
chr1:211662772-211670407,miR-5190
chr1:211662772-211670407,miR-5196-3p
chr1:211662772-211670407,miR-532-3p
chr1:211662772-211670407,miR-548aa
chr1:211662772-211670407,miR-548an
chr1:211662772-211670407,miR-548ap-3p
chr1:211662772-211670407,miR-548e-3p
chr1:211662772-211670407,miR-548t-3p
chr1:211662772-211670407,miR-5581-5p
chr1:211662772-211670407,miR-5584-3p
chr1:211662772-211670407,miR-5584-5p
chr1:211662772-211670407,miR-561-3p
chr1:211662772-211670407,miR-567
chr1:211662772-211670407,miR-5681b
chr1:211662772-211670407,miR-5696
chr1:211662772-211670407,miR-5706
chr1:211662772-211670407,miR-575
chr1:211662772-211670407,miR-576-3p
chr1:211662772-211670407,miR-582-3p
chr1:211662772-211670407,miR-597-3p
chr1:211662772-211670407,miR-6069
chr1:211662772-211670407,miR-6071
chr1:211662772-211670407,miR-6078
chr1:211662772-211670407,miR-616-5p
chr1:211662772-211670407,miR-619-3p
chr1:211662772-211670407,miR-622
chr1:211662772-211670407,miR-627-3p
chr1:211662772-211670407,miR-628-3p
chr1:211662772-211670407,miR-628-5p
chr1:211662772-211670407,miR-629-3p
chr1:211662772-211670407,miR-629-5p
chr1:211662772-211670407,miR-630
chr1:211662772-211670407,miR-632
chr1:211662772-211670407,miR-6501-3p
chr1:211662772-211670407,miR-6502-5p
chr1:211662772-211670407,miR-6503-5p
chr1:211662772-211670407,miR-6504-5p
chr1:211662772-211670407,miR-6505-5p
chr1:211662772-211670407,miR-6507-5p
chr1:211662772-211670407,miR-664a-5p
chr1:211662772-211670407,miR-6719-3p
chr1:211662772-211670407,miR-6724-5p
chr1:211662772-211670407,miR-6726-3p
chr1:211662772-211670407,miR-6728-3p
chr1:211662772-211670407,miR-6733-5p
chr1:211662772-211670407,miR-6736-3p
chr1:211662772-211670407,miR-6739-5p
chr1:211662772-211670407,miR-676-3p
chr1:211662772-211670407,miR-676-5p
chr1:211662772-211670407,miR-6765-3p
chr1:211662772-211670407,miR-6768-5p
chr1:211662772-211670407,miR-6780a-3p
chr1:211662772-211670407,miR-6788-5p
chr1:211662772-211670407,miR-6796-3p
chr1:211662772-211670407,miR-6809-3p
chr1:211662772-211670407,miR-6812-3p
chr1:211662772-211670407,miR-6814-5p
chr1:211662772-211670407,miR-6822-3p
chr1:211662772-211670407,miR-6828-3p
chr1:211662772-211670407,miR-6830-3p
chr1:211662772-211670407,miR-6833-3p
chr1:211662772-211670407,miR-6839-3p
chr1:211662772-211670407,miR-6839-5p
chr1:211662772-211670407,miR-6840-3p
chr1:211662772-211670407,miR-6841-3p
chr1:211662772-211670407,miR-6845-3p
chr1:211662772-211670407,miR-6847-3p
chr1:211662772-211670407,miR-6852-3p
chr1:211662772-211670407,miR-6858-3p
chr1:211662772-211670407,miR-6860
chr1:211662772-211670407,miR-6867-3p
chr1:211662772-211670407,miR-6873-3p
chr1:211662772-211670407,miR-6874-3p
chr1:211662772-211670407,miR-6895-3p
chr1:211662772-211670407,miR-7-5p
chr1:211662772-211670407,miR-7156-5p
chr1:211662772-211670407,miR-7157-5p
chr1:211662772-211670407,miR-7158-3p
chr1:211662772-211670407,miR-759
chr1:211662772-211670407,miR-760
chr1:211662772-211670407,miR-762
chr1:211662772-211670407,miR-767-3p
chr1:211662772-211670407,miR-7843-3p
chr1:211662772-211670407,miR-7849-3p
chr1:211662772-211670407,miR-7850-5p
chr1:211662772-211670407,miR-7977
chr1:211662772-211670407,miR-8057
chr1:211662772-211670407,miR-8058
chr1:211662772-211670407,miR-8066
chr1:211662772-211670407,miR-8086
chr1:211662772-211670407,miR-8089
chr1:211662772-211670407,miR-8485
chr1:211662772-211670407,miR-873-3p
chr1:211662772-211670407,miR-873-5p
chr1:211662772-211670407,miR-873-5p.1
chr1:211662772-211670407,miR-877-3p
chr1:211662772-211670407,miR-885-3p
chr1:211662772-211670407,miR-942-5p
chr1:211662772-211670407,miR-96-3p
chr1:211662772-211670407,miR-99a-3p
chr1:211662772-211670407,miR-99b-3p
chr1:22489879-22491533,let-7a-2-3p
chr1:22489879-22491533,let-7g-3p
chr1:22489879-22491533,miR-100-3p
chr1:22489879-22491533,miR-103a-3p
chr1:22489879-22491533,miR-107
chr1:22489879-22491533,miR-1184
chr1:22489879-22491533,miR-1207-3p
chr1:22489879-22491533,miR-122-5p
chr1:22489879-22491533,miR-1225-3p
chr1:22489879-22491533,miR-1233-3p
chr1:22489879-22491533,miR-1233-5p
chr1:22489879-22491533,miR-1236-3p
chr1:22489879-22491533,miR-1236-3p
chr1:22489879-22491533,miR-1237-3p
chr1:22489879-22491533,miR-1238-3p
chr1:22489879-22491533,miR-124-5p
chr1:22489879-22491533,miR-1245b-3p
chr1:22489879-22491533,miR-1248
chr1:22489879-22491533,miR-1250-3p
chr1:22489879-22491533,miR-1252-5p
chr1:22489879-22491533,miR-1253
chr1:22489879-22491533,miR-1253
chr1:22489879-22491533,miR-125a-3p
chr1:22489879-22491533,miR-125b-2-3p
chr1:22489879-22491533,miR-1263
