hg38	miRNA	algorithm	MRE_start	MRE_end	site_type	score	MFE
chr2:101150489-101151121	miR-1908-3p	TargetScan,miRanda	22.0	28.0	7mer-m8	175.0	-52.36
chr2:105866162-105870494	miR-1972	TargetScan,miRanda	18.0	25.0	8mer-1a	200.0	-50.44
chr2:134369257-134369652	miR-4739	TargetScan,miRanda	68.0	73.0	6mer	183.0	-50.57
chr2:20224752-20224977	miR-1908-3p	TargetScan,miRanda	84.0	90.0	7mer-m8	181.0	-52.29
chr2:216134659-216135393	miR-6089	TargetScan,miRanda	28.0	34.0	7mer-m8	185.0	-51.33
chr2:216134664-216135499	miR-6089	TargetScan,miRanda	23.0	29.0	7mer-m8	185.0	-51.33
chr2:216134664-216135531	miR-6089	TargetScan,miRanda	23.0	29.0	7mer-m8	185.0	-51.33
chr2:216134664-216135566	miR-6089	TargetScan,miRanda	23.0	29.0	7mer-m8	185.0	-51.33
chr2:216134664-216135570	miR-6089	TargetScan,miRanda	23.0	29.0	7mer-m8	185.0	-51.33
chr2:219549091-219549587	miR-197-5p	TargetScan,miRanda	42.0	49.0	8mer-1a	210.0	-52.69
chr2:219549091-219549587	miR-3132	TargetScan,miRanda	42.0	49.0	8mer-1a	210.0	-52.69
chr2:231236035-231236536	miR-1972	TargetScan,miRanda	18.0	25.0	8mer-1a	200.0	-50.44
chr2:235062465-235062638	miR-6089	TargetScan,miRanda	42.0	47.0	6mer	172.0	-50.2
chr2:238275245-238275428	miR-1972	TargetScan,miRanda	18.0	24.0	7mer-m8	200.0	-50.1
chr2:241063462-241064079	miR-6089	TargetScan,miRanda	26.0	32.0	7mer-m8	180.0	-51.85
chr2:241063884-241064079	miR-6089	TargetScan,miRanda	26.0	32.0	7mer-m8	180.0	-51.85
chr2:241063884-241064087	miR-6089	TargetScan,miRanda	34.0	40.0	7mer-m8	180.0	-51.85
chr2:241378341-241388979	miR-6089	TargetScan,miRanda	25.0	31.0	7mer-m8	177.0	-53.68
chr2:241378341-241389034	miR-6089	TargetScan,miRanda	25.0	31.0	7mer-m8	177.0	-53.68
chr2:25538745-25541218	miR-1972	TargetScan,miRanda	18.0	25.0	8mer-1a	200.0	-50.44
chr2:27225536-27227237	miR-6089	TargetScan,miRanda	27.0	33.0	7mer-m8	175.0	-50.19
chr2:55049864-55050091	miR-6089	TargetScan,miRanda	65.0	71.0	7mer-m8	177.0	-51.39
chr2:55049864-55050379	miR-6089	TargetScan,miRanda	65.0	71.0	7mer-m8	177.0	-51.39
chr2:74875559-74876091	miR-6089	TargetScan,miRanda	21.0	27.0	7mer-m8	176.0	-50.86
chr2:9474647-9474968	miR-6089	TargetScan,miRanda	33.0	39.0	7mer-m8	181.0	-53.3
chr2:99342911-99343233	miR-1972	TargetScan,miRanda	18.0	24.0	7mer-m8	200.0	-50.1
chr3:143121041-143121162	miR-6089	TargetScan,miRanda	65.0	71.0	7mer-m8	173.0	-53.21
chr3:156816441-156816783	miR-6089	TargetScan,miRanda	20.0	26.0	7mer-m8	173.0	-50.29
chr3:158719516-158721873	miR-6089	TargetScan,miRanda	17.0	23.0	7mer-m8	190.0	-51.79
chr3:185404812-185408344	miR-6089	TargetScan,miRanda	21.0	27.0	7mer-m8	188.0	-57.27
chr3:186139809-186140265	miR-1972	TargetScan,miRanda	32.0	39.0	8mer-1a	200.0	-50.44
chr3:196352476-196352798	miR-6089	TargetScan,miRanda	39.0	45.0	7mer-m8	184.0	-50.71
chr3:196352539-196352798	miR-6089	TargetScan,miRanda	39.0	45.0	7mer-m8	184.0	-50.71
chr3:197672968-197696158	miR-1972	TargetScan,miRanda	18.0	24.0	7mer-m8	200.0	-50.1
chr3:27466614-27468894	miR-6089	TargetScan,miRanda	21.0	27.0	7mer-m8	184.0	-50.43
chr3:27468221-27468894	miR-6089	TargetScan,miRanda	21.0	27.0	7mer-m8	184.0	-50.43
chr3:27468481-27468894	miR-6089	TargetScan,miRanda	21.0	27.0	7mer-m8	184.0	-50.43
chr3:46685960-46686355	miR-4638-3p	TargetScan,miRanda	50.0	56.0	7mer-m8	191.0	-51.34
chr3:49846370-49846780	miR-1972	TargetScan,miRanda	20.0	26.0	7mer-m8	200.0	-50.1
chr3:53282429-53288835	miR-6089	TargetScan,miRanda	33.0	39.0	7mer-m8	185.0	-50.44
chr3:57756906-57757146	miR-6089	TargetScan,miRanda	78.0	84.0	7mer-1a	176.0	-52.89
chr3:58121428-58148255	miR-6789-5p	TargetScan,miRanda	32.0	38.0	7mer-m8	180.0	-50.33
chr3:58121433-58123247	miR-6789-5p	TargetScan,miRanda	27.0	33.0	7mer-m8	180.0	-50.33
chr3:58121433-58123544	miR-6789-5p	TargetScan,miRanda	27.0	33.0	7mer-m8	180.0	-50.33
chr3:58121444-58123226	miR-6789-5p	TargetScan,miRanda	16.0	22.0	7mer-m8	180.0	-50.33
chr3:58121444-58123247	miR-6789-5p	TargetScan,miRanda	16.0	22.0	7mer-m8	180.0	-50.33
chr5:103702337-103704835	miR-6089	TargetScan,miRanda	19.0	25.0	7mer-m8	184.0	-52.19
chr5:10404345-10404521	miR-1972	TargetScan,miRanda	18.0	25.0	8mer-1a	200.0	-50.44
chr5:138465533-138466068	miR-1207-5p	TargetScan,miRanda	27.0	33.0	7mer-m8	189.0	-50.86
chr5:138465533-138466068	miR-4763-3p	TargetScan,miRanda	27.0	33.0	7mer-m8	189.0	-50.86
chr5:139648760-139680695	miR-6089	TargetScan,miRanda	36.0	42.0	7mer-m8	185.0	-52.98
chr5:173327526-173328102	miR-4688	TargetScan,miRanda	49.0	55.0	7mer-m8	192.0	-51.17
chr5:173327526-173328102	miR-6743-5p	TargetScan,miRanda	49.0	55.0	7mer-m8	192.0	-51.17
chr5:177524434-177524540	miR-6803-5p	TargetScan,miRanda	23.0	28.0	6mer	175.0	-51.84
chr5:179807045-179824087	miR-1908-3p	TargetScan,miRanda	19.0	25.0	7mer-m8	178.0	-53.07
chr5:64251665-64259662	miR-1972	TargetScan,miRanda	18.0	25.0	8mer-1a	200.0	-50.44
chr5:76716395-76732281	miR-1470	TargetScan,miRanda	32.0	39.0	8mer-1a	191.0	-52.74
chr6:125975853-125979477	miR-1972	TargetScan,miRanda	18.0	25.0	8mer-1a	200.0	-50.44
chr6:24851130-24852046	miR-6089	TargetScan,miRanda	29.0	35.0	7mer-m8	180.0	-50.74
chr6:29942917-29943302	miR-6089	TargetScan,miRanda	56.0	63.0	8mer-1a	184.0	-52.27
chr6:37022474-37022678	miR-6089	TargetScan,miRanda	24.0	30.0	7mer-m8	192.0	-54.33
chr6:43434317-43434583	miR-4271	TargetScan,miRanda	30.0	37.0	8mer-1a	205.0	-52.03
chr6:43434317-43434583	miR-4725-3p	TargetScan,miRanda	30.0	37.0	8mer-1a	205.0	-52.03
chr6:43434317-43434583	miR-6780b-5p	TargetScan,miRanda	30.0	37.0	8mer-1a	205.0	-52.03
chr7:100115712-100116378	miR-1972	TargetScan,miRanda	18.0	25.0	8mer-1a	200.0	-50.44
chr7:116672217-116672393	miR-1908-3p	TargetScan,miRanda	85.0	91.0	7mer-m8	173.0	-50.95
chr7:127825642-127825920	miR-6089	TargetScan,miRanda	16.0	22.0	7mer-m8	184.0	-50.43
chr7:129952653-129952789	miR-6089	TargetScan,miRanda	52.0	58.0	7mer-m8	184.0	-50.12
chr7:150341076-150341609	miR-6089	TargetScan,miRanda	90.0	96.0	7mer-m8	180.0	-51.85
chr7:27164699-27164877	miR-6089	TargetScan,miRanda	42.0	48.0	7mer-m8	184.0	-56.97
chr7:44107884-44109184	miR-4492	TargetScan,miRanda	26.0	32.0	7mer-m8	190.0	-52.36
chr7:44107884-44109184	miR-4498	TargetScan,miRanda	26.0	32.0	7mer-m8	190.0	-52.36
chr7:44107884-44109184	miR-762	TargetScan,miRanda	26.0	32.0	7mer-m8	190.0	-52.36
chr7:44662673-44668223	miR-6089	TargetScan,miRanda	40.0	46.0	7mer-m8	190.0	-51.8
chr7:44662693-44663338	miR-6089	TargetScan,miRanda	20.0	26.0	7mer-m8	190.0	-51.8
chr7:66376320-66376428	miR-4707-5p	TargetScan,miRanda	80.0	87.0	8mer-1a	179.0	-50.26
chr7:74084309-74084605	miR-6089	TargetScan,miRanda	19.0	25.0	7mer-m8	176.0	-51.13
chr8:104022611-104022763	miR-6089	TargetScan,miRanda	26.0	32.0	7mer-m8	185.0	-52.24
chr8:120355643-120355807	miR-6089	TargetScan,miRanda	29.0	36.0	8mer-1a	189.0	-51.83
chr8:124998583-124998893	miR-4787-5p	TargetScan,miRanda	51.0	57.0	7mer-1a	172.0	-52.33
chr8:131904185-131968745	miR-6089	TargetScan,miRanda	29.0	35.0	7mer-m8	181.0	-50.97
chr8:144262696-144263124	miR-7112-5p	TargetScan,miRanda	56.0	61.0	6mer	200.0	-53.8
chr8:19005766-19009683	miR-1972	TargetScan,miRanda	18.0	24.0	7mer-m8	200.0	-50.1
chr9:126696689-126696857	miR-6089	TargetScan,miRanda	41.0	47.0	7mer-m8	193.0	-53.5
chr9:136500551-136501727	miR-5090	TargetScan,miRanda	42.0	48.0	7mer-1a	170.0	-50.96
chr9:136500551-136501727	miR-6775-5p	TargetScan,miRanda	42.0	48.0	7mer-1a	170.0	-50.96
chr9:136943051-136943287	miR-4750-3p	TargetScan,miRanda	41.0	47.0	7mer-m8	188.0	-50.66
chr10:102344757-102344921	miR-1972	TargetScan,miRanda	18.0	24.0	7mer-m8	200.0	-50.1
chr10:102344757-102345007	miR-1972	TargetScan,miRanda	18.0	24.0	7mer-m8	200.0	-50.1
chr10:110872511-110874021	miR-4492	TargetScan,miRanda	26.0	32.0	7mer-m8	186.0	-53.33
chr10:110872511-110874021	miR-4498	TargetScan,miRanda	26.0	32.0	7mer-m8	186.0	-53.33
chr10:110872511-110874021	miR-762	TargetScan,miRanda	26.0	32.0	7mer-m8	186.0	-53.33
chr10:119140447-119153964	miR-6089	TargetScan,miRanda	21.0	27.0	7mer-m8	180.0	-50.24
chr10:119151760-119153959	miR-6089	TargetScan,miRanda	16.0	22.0	7mer-m8	180.0	-50.24
chr10:125159909-125160318	miR-4787-5p	TargetScan,miRanda	39.0	44.0	6mer	172.0	-50.83
chr10:16791271-16810012	miR-6089	TargetScan,miRanda	26.0	32.0	7mer-m8	188.0	-53.12
chr10:70123440-70132793	miR-6089	TargetScan,miRanda	78.0	84.0	7mer-m8	179.0	-50.74
chr10:86521553-86521665	miR-1908-3p	TargetScan,miRanda	72.0	78.0	7mer-m8	178.0	-52.28
chr10:86521553-86521760	miR-1908-3p	TargetScan,miRanda	72.0	78.0	7mer-m8	178.0	-52.28
chr10:86521553-86521763	miR-1908-3p	TargetScan,miRanda	72.0	78.0	7mer-m8	178.0	-52.28
chr10:92252790-92288228	miR-1972	TargetScan,miRanda	25.0	32.0	8mer-1a	200.0	-50.44
chr11:11842138-11892071	miR-6089	TargetScan,miRanda	85.0	92.0	8mer-1a	177.0	-50.37
chr11:1290340-1309595	miR-4767	TargetScan,miRanda	46.0	52.0	7mer-m8	175.0	-50.71
chr11:1310159-1310351	miR-6089	TargetScan,miRanda	20.0	26.0	7mer-m8	183.0	-51.03
chr11:134111374-134112318	miR-6089	TargetScan,miRanda	19.0	25.0	7mer-m8	184.0	-50.71
chr11:35139202-35139345	miR-1207-5p	TargetScan,miRanda	37.0	43.0	7mer-m8	182.0	-50.11
chr11:35139202-35139345	miR-4763-3p	TargetScan,miRanda	37.0	43.0	7mer-m8	182.0	-50.11
chr11:47177906-47178935	miR-4667-5p	TargetScan,miRanda	35.0	41.0	7mer-m8	180.0	-50.09
chr11:47177906-47178935	miR-4700-5p	TargetScan,miRanda	35.0	41.0	7mer-m8	180.0	-50.09
chr11:47177906-47178935	miR-8089	TargetScan,miRanda	35.0	41.0	7mer-m8	180.0	-50.09
chr11:47178606-47178926	miR-4667-5p	TargetScan,miRanda	26.0	32.0	7mer-m8	180.0	-50.09
chr11:47178606-47178926	miR-4700-5p	TargetScan,miRanda	26.0	32.0	7mer-m8	180.0	-50.09
chr11:47178606-47178926	miR-8089	TargetScan,miRanda	26.0	32.0	7mer-m8	180.0	-50.09
chr11:61878247-61878352	miR-6746-5p	TargetScan,miRanda	19.0	25.0	7mer-m8	200.0	-55.83
chr11:62639759-62646561	miR-6789-5p	TargetScan,miRanda	47.0	52.0	6mer	173.0	-50.74
chr11:65550893-65551132	miR-1207-5p	TargetScan,miRanda	32.0	38.0	7mer-m8	179.0	-50.07
chr11:65550893-65551132	miR-4763-3p	TargetScan,miRanda	32.0	38.0	7mer-m8	179.0	-50.07
chr11:65551064-65551125	miR-1207-5p	TargetScan,miRanda	25.0	31.0	7mer-m8	179.0	-50.07
chr11:65551064-65551125	miR-4763-3p	TargetScan,miRanda	25.0	31.0	7mer-m8	179.0	-50.07
chr11:65977899-65978573	miR-6089	TargetScan,miRanda	69.0	75.0	7mer-m8	185.0	-54.7
chr11:65977899-65978577	miR-6089	TargetScan,miRanda	73.0	79.0	7mer-m8	185.0	-54.7
chr12:122243516-122243800	miR-1972	TargetScan,miRanda	18.0	25.0	8mer-1a	200.0	-50.44
chr12:122256313-122257166	miR-1972	TargetScan,miRanda	18.0	25.0	8mer-1a	200.0	-50.44
chr12:95790318-95790528	miR-6089	TargetScan,miRanda	79.0	85.0	7mer-m8	181.0	-54.41
chr13:113839788-113864003	miR-6089	TargetScan,miRanda	44.0	50.0	7mer-m8	181.0	-53.14
chr14:103114943-103115220	miR-1972	TargetScan,miRanda	18.0	24.0	7mer-m8	200.0	-50.1
chr14:103114943-103115390	miR-1972	TargetScan,miRanda	18.0	24.0	7mer-m8	200.0	-50.1
chr14:104780161-104795629	miR-6089	TargetScan,miRanda	37.0	43.0	7mer-m8	182.0	-52.22
chr14:22846191-22846419	miR-5090	TargetScan,miRanda	22.0	28.0	7mer-m8	198.0	-54.45
chr14:22846191-22846419	miR-6775-5p	TargetScan,miRanda	22.0	28.0	7mer-m8	198.0	-54.45
chr14:22846191-22846434	miR-5090	TargetScan,miRanda	22.0	28.0	7mer-m8	198.0	-54.45
chr14:22846191-22846434	miR-6775-5p	TargetScan,miRanda	22.0	28.0	7mer-m8	198.0	-54.45
chr14:22846191-22846678	miR-5090	TargetScan,miRanda	22.0	28.0	7mer-m8	198.0	-54.45
chr14:22846191-22846678	miR-6775-5p	TargetScan,miRanda	22.0	28.0	7mer-m8	198.0	-54.45
chr14:22981806-22981930	miR-4492	TargetScan,miRanda	18.0	23.0	6mer	170.0	-52.9
chr14:22981806-22981930	miR-4498	TargetScan,miRanda	18.0	23.0	6mer	170.0	-52.9
chr14:22981806-22981930	miR-762	TargetScan,miRanda	18.0	23.0	6mer	170.0	-52.9
chr14:34875137-34875242	miR-6089	TargetScan,miRanda	63.0	69.0	7mer-m8	188.0	-50.74
chr14:34875137-34875246	miR-6089	TargetScan,miRanda	67.0	73.0	7mer-m8	193.0	-52.85
chr14:34875137-34875261	miR-6089	TargetScan,miRanda	82.0	88.0	7mer-m8	193.0	-52.85
chr14:34875137-34875267	miR-6089	TargetScan,miRanda	88.0	94.0	7mer-m8	193.0	-52.85
chr14:34875159-34875267	miR-6089	TargetScan,miRanda	88.0	94.0	7mer-m8	193.0	-52.85
chr14:34875167-34875252	miR-6089	TargetScan,miRanda	73.0	79.0	7mer-m8	193.0	-52.85
chr14:49768188-49768400	miR-6089	TargetScan,miRanda	47.0	53.0	7mer-m8	178.0	-50.05
chr14:64732864-64732973	miR-1292-5p	TargetScan,miRanda	75.0	82.0	8mer-1a	177.0	-50.28
chr14:73096207-73104597	miR-6089	TargetScan,miRanda	21.0	27.0	7mer-m8	181.0	-50.42
chr14:96506114-96507121	miR-6089	TargetScan,miRanda	41.0	47.0	7mer-m8	189.0	-52.14
chr15:69453020-69453619	miR-1908-3p	TargetScan,miRanda	21.0	27.0	7mer-m8	182.0	-54.21
chr15:69453020-69453622	miR-1908-3p	TargetScan,miRanda	21.0	27.0	7mer-m8	182.0	-54.21
chr15:69453020-69453626	miR-1908-3p	TargetScan,miRanda	21.0	27.0	7mer-m8	182.0	-54.21
chr16:2172901-2173945	miR-7113-3p	TargetScan,miRanda	15.0	21.0	7mer-m8	197.0	-52.26
chr16:28495898-28496084	miR-6089	TargetScan,miRanda	32.0	38.0	7mer-m8	172.0	-51.06
chr16:30527237-30527320	miR-6089	TargetScan,miRanda	77.0	83.0	7mer-m8	181.0	-50.06
chr16:30892932-30893987	miR-4492	TargetScan,miRanda	30.0	36.0	7mer-m8	200.0	-62.0
chr16:30892932-30893987	miR-4498	TargetScan,miRanda	30.0	36.0	7mer-m8	200.0	-62.0
chr16:30892932-30893987	miR-762	TargetScan,miRanda	30.0	36.0	7mer-m8	200.0	-62.0
chr16:46581056-46596312	miR-6089	TargetScan,miRanda	41.0	47.0	7mer-m8	180.0	-50.27
chr16:4737569-4737734	miR-3620-5p	TargetScan,miRanda	44.0	50.0	7mer-m8	186.0	-50.33
chr16:85384955-85385190	miR-6089	TargetScan,miRanda	36.0	41.0	6mer	176.0	-52.46
chr17:37361378-37362760	miR-6089	TargetScan,miRanda	24.0	30.0	7mer-m8	188.0	-53.59
chr17:38806060-38807104	miR-6089	TargetScan,miRanda	17.0	23.0	7mer-m8	182.0	-50.07
chr17:38806065-38807109	miR-6089	TargetScan,miRanda	22.0	28.0	7mer-m8	182.0	-50.07
chr17:42114257-42117053	miR-4492	TargetScan,miRanda	53.0	59.0	7mer-m8	182.0	-51.88
chr17:42114257-42117053	miR-4498	TargetScan,miRanda	53.0	59.0	7mer-m8	182.0	-51.88
chr17:42114257-42117053	miR-762	TargetScan,miRanda	53.0	59.0	7mer-m8	182.0	-51.88
chr17:45228851-45229235	miR-6803-5p	TargetScan,miRanda	30.0	35.0	6mer	172.0	-51.91
chr17:50271617-50271807	miR-1972	TargetScan,miRanda	32.0	38.0	7mer-m8	200.0	-50.1
chr17:7223317-7223493	miR-324-5p	TargetScan,miRanda	40.0	46.0	7mer-m8	205.0	-52.39
chr17:76736462-76736738	miR-636	TargetScan,miRanda	19.0	26.0	8mer-1a	205.0	-54.96
chr18:12622749-12633988	miR-1972	TargetScan,miRanda	18.0	24.0	7mer-m8	200.0	-50.1
chr18:31102018-31102268	miR-6089	TargetScan,miRanda	77.0	83.0	7mer-m8	181.0	-52.26
chr18:58330777-58341797	miR-6089	TargetScan,miRanda	31.0	37.0	7mer-m8	184.0	-50.89
chr19:1038545-1038680	miR-6089	TargetScan,miRanda	34.0	40.0	7mer-1a	174.0	-52.21
chr19:1038545-1038693	miR-6089	TargetScan,miRanda	34.0	40.0	7mer-1a	174.0	-52.21
chr19:1038545-1038909	miR-6089	TargetScan,miRanda	34.0	40.0	7mer-1a	174.0	-52.21
chr19:1038546-1038687	miR-6089	TargetScan,miRanda	33.0	39.0	7mer-1a	174.0	-52.21
chr19:1253839-1254166	miR-6089	TargetScan,miRanda	34.0	40.0	7mer-1a	176.0	-50.43
chr19:15422630-15424273	miR-5090	TargetScan,miRanda	28.0	34.0	7mer-m8	181.0	-50.56
chr19:15422630-15424273	miR-6775-5p	TargetScan,miRanda	28.0	34.0	7mer-m8	181.0	-50.56
chr19:15423186-15424289	miR-5090	TargetScan,miRanda	44.0	50.0	7mer-m8	181.0	-50.56
chr19:15423186-15424289	miR-6775-5p	TargetScan,miRanda	44.0	50.0	7mer-m8	181.0	-50.56
chr19:18907063-18919359	miR-6089	TargetScan,miRanda	34.0	40.0	7mer-m8	176.0	-52.82
chr19:18912983-18919359	miR-6089	TargetScan,miRanda	34.0	40.0	7mer-m8	176.0	-52.82
chr19:18913013-18919352	miR-6089	TargetScan,miRanda	27.0	33.0	7mer-m8	176.0	-52.82
chr19:18913013-18919367	miR-6089	TargetScan,miRanda	42.0	48.0	7mer-m8	176.0	-52.82
chr19:2110251-2110706	miR-6089	TargetScan,miRanda	20.0	26.0	7mer-m8	193.0	-51.5
chr19:2110258-2110706	miR-6089	TargetScan,miRanda	20.0	26.0	7mer-m8	193.0	-51.5
chr19:3754986-3755600	miR-6089	TargetScan,miRanda	41.0	47.0	7mer-m8	181.0	-53.98
chr19:39354005-39356911	miR-4492	TargetScan,miRanda	89.0	95.0	7mer-m8	182.0	-50.81
chr19:39354005-39356911	miR-4498	TargetScan,miRanda	89.0	95.0	7mer-m8	182.0	-50.81
chr19:39354005-39356911	miR-762	TargetScan,miRanda	89.0	95.0	7mer-m8	182.0	-50.81
chr19:39356437-39356911	miR-4492	TargetScan,miRanda	89.0	95.0	7mer-m8	182.0	-50.81
chr19:39356437-39356911	miR-4498	TargetScan,miRanda	89.0	95.0	7mer-m8	182.0	-50.81
chr19:39356437-39356911	miR-762	TargetScan,miRanda	89.0	95.0	7mer-m8	182.0	-50.81
chr19:39356700-39356911	miR-4492	TargetScan,miRanda	89.0	95.0	7mer-m8	182.0	-50.81
chr19:39356700-39356911	miR-4498	TargetScan,miRanda	89.0	95.0	7mer-m8	182.0	-50.81
chr19:39356700-39356911	miR-762	TargetScan,miRanda	89.0	95.0	7mer-m8	182.0	-50.81
chr19:39356736-39356911	miR-4492	TargetScan,miRanda	89.0	95.0	7mer-m8	182.0	-50.81
chr19:39356736-39356911	miR-4498	TargetScan,miRanda	89.0	95.0	7mer-m8	182.0	-50.81
chr19:39356736-39356911	miR-762	TargetScan,miRanda	89.0	95.0	7mer-m8	182.0	-50.81
chr19:39922931-39924835	miR-6089	TargetScan,miRanda	27.0	32.0	6mer	172.0	-54.75
chr19:41869048-41869715	miR-6076	TargetScan,miRanda	34.0	41.0	8mer-1a	200.0	-51.05
chr19:41869048-41869715	miR-6797-3p	TargetScan,miRanda	34.0	41.0	8mer-1a	200.0	-51.05
chr19:4445696-4446030	miR-4746-5p	TargetScan,miRanda	37.0	43.0	7mer-m8	205.0	-55.25
chr19:46383003-46383271	miR-6089	TargetScan,miRanda	76.0	82.0	7mer-m8	182.0	-54.37
chr19:47226807-47227011	miR-3190-3p	TargetScan,miRanda	17.0	24.0	8mer-1a	205.0	-50.88
chr19:54987120-54987510	miR-6089	TargetScan,miRanda	37.0	43.0	7mer-m8	180.0	-50.84
chr19:55230864-55231639	miR-6804-3p	TargetScan,miRanda	35.0	41.0	7mer-m8	200.0	-52.78
chr20:25283277-25283421	miR-4492	TargetScan,miRanda	31.0	37.0	7mer-m8	187.0	-52.3
chr20:25283277-25283421	miR-4498	TargetScan,miRanda	31.0	37.0	7mer-m8	187.0	-52.3
chr20:25283277-25283421	miR-762	TargetScan,miRanda	31.0	37.0	7mer-m8	187.0	-52.3
chr20:3292244-3293466	miR-6089	TargetScan,miRanda	16.0	22.0	7mer-m8	184.0	-50.43
chr20:33546772-33546905	miR-1972	TargetScan,miRanda	18.0	24.0	7mer-m8	200.0	-50.1
chr20:33676866-33686084	miR-6089	TargetScan,miRanda	51.0	57.0	7mer-m8	179.0	-51.6
chr20:50906716-50909157	miR-6089	TargetScan,miRanda	21.0	27.0	7mer-m8	180.0	-50.24
chr20:50908851-50909157	miR-6089	TargetScan,miRanda	21.0	27.0	7mer-m8	180.0	-50.24
chr20:51791040-51791599	miR-4667-5p	TargetScan,miRanda	36.0	42.0	7mer-m8	185.0	-51.55
chr20:51791040-51791599	miR-4700-5p	TargetScan,miRanda	36.0	42.0	7mer-m8	185.0	-51.55
chr20:51791040-51791599	miR-8089	TargetScan,miRanda	36.0	42.0	7mer-m8	185.0	-51.55
chr20:62804833-62805467	miR-4492	TargetScan,miRanda	42.0	48.0	7mer-m8	187.0	-51.24
chr20:62804833-62805467	miR-4498	TargetScan,miRanda	42.0	48.0	7mer-m8	187.0	-51.24
chr20:62804833-62805467	miR-762	TargetScan,miRanda	42.0	48.0	7mer-m8	187.0	-51.24
chr21:15860430-15863749	miR-1972	TargetScan,miRanda	20.0	26.0	7mer-m8	200.0	-50.1
chr21:31227258-31242259	miR-1972	TargetScan,miRanda	18.0	24.0	7mer-m8	200.0	-50.1
chr22:36500888-36502224	miR-1972	TargetScan,miRanda	18.0	25.0	8mer-1a	200.0	-50.44
chr22:37632695-37632916	miR-6089	TargetScan,miRanda	83.0	89.0	7mer-m8	178.0	-50.78
chr22:38866611-38867114	miR-6089	TargetScan,miRanda	56.0	62.0	7mer-m8	171.0	-52.83
chr22:41635805-41637878	miR-1972	TargetScan,miRanda	35.0	42.0	8mer-1a	200.0	-50.44
