hg19	hg38	circBase	circAtlas	circBank	ArrayStar	HGNC	strand	spliced_length	circBase_type	CSCD_type	algorithm
chr1:23356961-23385660	chr1:23030468-23059167	hsa_circ_0007822	hsa-KDM1A_000012,hsa-KDM1A_0013	hsa_circKDM1A_008	ASCRP3000033	KDM1A	+	816	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr20:16506736-16509085	chr20:16526091-16528440	hsa_circ_0059490	hsa-KIF16B_000001,hsa-KIF16B_0010	hsa_circKIF16B_002	ASCRP3000021	KIF16B	-	184	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr20:25398740-25405963	chr20:25418104-25425327	hsa_circ_0114859	hsa-GINS1_0008	hsa_circGINS1_007	ASCRP3000022	GINS1	+	330	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr21:46275124-46285362	chr21:44855209-44865447	hsa_circ_0061985	hsa-PTTG1IP_0001	hsa_circPTTG1IP_003	ASCRP3000006	PTTG1IP	-	381	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr2:110321942-110350696	chr2:109564365-109593119	hsa_circ_0002076	hsa-SEPT10_000002,hsa-SEPT10_0005	hsa_circSEPT10_005	ASCRP3000040	SEPT10,SEPTIN10	-	998	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr2:128944256-128945188	chr2:128186682-128187614	hsa_circ_0056439	hsa-UGGT1_000036,hsa-UGGT1_0016	hsa_circUGGT1_070	ASCRP3000059	UGGT1	+	283	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr2:200233327-200246543	chr2:199368604-199381820	hsa_circ_0057691	hsa-SATB2_000001,hsa-SATB2_0002	hsa_circSATB2_035	ASCRP3000025	SATB2	-	354	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr4:144464661-144465125	chr4:143543508-143543972	hsa_circ_0001445	hsa-SMARCA5_000036,hsa-SMARCA5_0005	hsa_circSMARCA5_013	ASCRP3000038	SMARCA5	+	269	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr4:337570-338219	chr4:343781-344430	hsa_circ_0068784	hsa-ZNF141_000001,hsa-ZNF141_0003	hsa_circZNF141_001	ASCRP3000065	ZNF141	+	223	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr5:137278563-137278905	chr5:137942874-137943216	hsa_circ_0001534	hsa-FAM13B_000081,hsa-FAM13B_0008	hsa_circFAM13B_045	ASCRP3000015	FAM13B	-	248	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr6:135639656-135644462	chr6:135318518-135323324	hsa_circ_0130754	hsa-AHI1_000007,hsa-AHI1_0003	hsa_circAHI1_044	ASCRP3000031	AHI1	-	261	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr6:136472297-136476896	chr6:136151159-136155758	hsa_circ_0002198	hsa-PDE7B_000001,hsa-PDE7B_0006	hsa_circPDE7B_005	ASCRP3000013	PDE7B	+	329	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr6:18256591-18258636	chr6:18256360-18258405	hsa_circ_0008846	hsa-DEK_000017,hsa-DEK_0018	hsa_circDEK_001	ASCRP3000017	DEK	-	307	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
chr8:125597327-125603476	chr8:124585086-124591235	hsa_circ_0135681	hsa-MTSS1_000022,hsa-MTSS1_0001	hsa_circMTSS1_005	ASCRP3000004	MTSS1	-	252	exonic	Exon,Intron	circexplorer2,circrna_finder,ciri,find_circ
